file_name,group_key,directory,extension,count,first_index,last_index,zero_padded_width,min_member_size,max_member_size,example_first,example_last,target_observation_candidate,implicit_sequence_index_ready
Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands,.csv,249,2,250,4,126277841,167359074,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0002.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0250.csv,false,true
In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera,.bmp,246,2,247,4,4001078,4001078,In-situ Meas Data/Layer Camera/A0002.bmp,In-situ Meas Data/Layer Camera/A0247.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/B{index}.bmp,In-situ Meas Data/Layer Camera,.bmp,246,1,246,4,4001078,4001078,In-situ Meas Data/Layer Camera/B0001.bmp,In-situ Meas Data/Layer Camera/B0246.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0001/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0001,.bmp,2661,1,2661,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0001/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0001/frame02661.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0002/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0002,.bmp,2927,1,2927,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0002/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0002/frame02927.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0003/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0003,.bmp,6884,1,6884,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0003/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0003/frame06884.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0004/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0004,.bmp,2928,1,2928,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0004/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0004/frame02928.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0006/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0006,.bmp,4624,1,4624,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0006/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0006/frame04624.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0007/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0007,.bmp,3884,1,3884,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0007/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0007/frame03884.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0008/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0008,.bmp,3769,1,3769,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0008/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0008/frame03769.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0009/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0009,.bmp,4701,1,4701,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0009/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0009/frame04701.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0010/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0010,.bmp,2878,1,2878,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0010/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0010/frame02878.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0011/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0011,.bmp,3523,1,3523,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0011/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0011/frame03523.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0012/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0012,.bmp,5408,1,5408,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0012/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0012/frame05408.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0013/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0013,.bmp,2637,1,2637,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0013/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0013/frame02637.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0014/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0014,.bmp,2947,1,2947,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0014/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0014/frame02947.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0015/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0015,.bmp,6591,1,6591,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0015/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0015/frame06591.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0016/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0016,.bmp,2911,1,2911,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0016/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0016/frame02911.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0017/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0017,.bmp,4722,1,4722,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0017/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0017/frame04722.bmp,true,true
In-situ Meas Data.zip,In-situ Meas Data/Melt Pool Camera/MIA_L0018/frame{index}.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0018,.bmp,6299,1,6299,5,16438,16438,In-situ Meas Data/Melt Pool Camera/MIA_L0018/frame00001.bmp,In-situ Meas Data/Melt Pool Camera/MIA_L0018/frame06299.bmp,true,true
