row_id,source_layer_index,split_name,source_file_name,source_group_key,source_member_name,target_file_name,target_group_key,target_member_name,target_type,target_layer_index,join_offset,source_coverage,target_coverage,target_width,target_height,target_bits_per_pixel,target_channels
In-situ Meas Data/Layer Camera/A{index}.bmp::0002,2,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0002.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0002.bmp,layer_camera,2,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0003,3,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0003.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0003.bmp,layer_camera,3,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0004,4,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0004.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0004.bmp,layer_camera,4,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0005,5,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0005.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0005.bmp,layer_camera,5,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0006,6,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0006.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0006.bmp,layer_camera,6,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0007,7,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0007.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0007.bmp,layer_camera,7,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0008,8,train,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0008.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0008.bmp,layer_camera,8,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0009,9,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0009.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0009.bmp,layer_camera,9,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0010,10,val,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0010.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0010.bmp,layer_camera,10,0,0.987952,1.000000,2000,2000,8,1
In-situ Meas Data/Layer Camera/A{index}.bmp::0011,11,test,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer{index}.csv,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0011.csv,In-situ Meas Data.zip,In-situ Meas Data/Layer Camera/A{index}.bmp,In-situ Meas Data/Layer Camera/A0011.bmp,layer_camera,11,0,0.987952,1.000000,2000,2000,8,1
