target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_intensity_mean,mean,constant:mean:fit=train,test,26,0.711468,0.617270,0.006718,0.309167,1.426059,0.711468
target_intensity_mean,mean,constant:mean:fit=train,train,76,3.322762,1.744483,0.031399,0.116150,4.709487,3.322762
target_intensity_mean,mean,constant:mean:fit=train,val,26,0.723440,0.606949,0.006848,0.236238,1.094724,0.723440
target_intensity_mean,knn,model:knn:fit=train,test,26,4.855808,3.169043,0.045853,2.110083,9.663194,4.855808
target_intensity_mean,knn,model:knn:fit=train,train,76,2.315174,0.979216,0.021878,0.080929,1.768765,2.315174
target_intensity_mean,knn,model:knn:fit=train,val,26,3.825270,2.244203,0.036211,1.249135,9.165106,3.825270
target_intensity_mean,extra_trees,model:extra_trees:fit=train,test,26,9.826492,7.205329,0.092791,4.270086,15.121652,9.826492
target_intensity_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_intensity_mean,extra_trees,model:extra_trees:fit=train,val,26,9.083277,6.610690,0.085984,2.966127,15.415926,9.083277
target_intensity_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.941027,1.768602,0.018329,0.843470,3.115584,1.941027
target_intensity_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.531452,0.970156,0.023922,0.088489,1.832152,2.531452
target_intensity_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.864686,1.674837,0.017652,0.608910,3.224851,1.864686
target_intensity_std,mean,constant:mean:fit=train,test,26,2.215968,1.877193,0.081658,0.430270,1.833705,2.215968
target_intensity_std,mean,constant:mean:fit=train,train,76,2.260856,1.963277,0.080036,0.250997,4.335647,2.260856
target_intensity_std,mean,constant:mean:fit=train,val,26,2.104431,1.804473,0.077438,0.429921,1.405813,2.104431
target_intensity_std,knn,model:knn:fit=train,test,26,1.292170,1.010132,0.047616,0.250898,0.960344,1.292170
target_intensity_std,knn,model:knn:fit=train,train,76,0.963550,0.609813,0.034110,0.106972,1.733826,0.963550
target_intensity_std,knn,model:knn:fit=train,val,26,1.011970,0.713004,0.037238,0.206739,0.681147,1.011970
target_intensity_std,extra_trees,model:extra_trees:fit=train,test,26,1.293064,1.015375,0.047649,0.251071,1.284503,1.293064
target_intensity_std,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_intensity_std,extra_trees,model:extra_trees:fit=train,val,26,1.191022,0.895839,0.043827,0.243318,1.188782,1.191022
target_intensity_std,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.713065,0.662930,0.026276,0.138454,0.580366,0.713065
target_intensity_std,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.875317,0.544406,0.030987,0.097177,1.506941,0.875317
target_intensity_std,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.559497,0.515555,0.020588,0.114302,0.384056,0.559497
target_intensity_min,mean,constant:mean:fit=train,test,26,7.530013,7.487854,0.350620,2.510004,8.096826,7.530013
