feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
base_guard_replay,knn,model:knn:fit=train,test,26,1.292170,1.010132,0.047616,0.250898,0.960344,1.292170
base_guard_replay,knn,model:knn:fit=train,train,76,0.963550,0.609813,0.034110,0.106972,1.733826,0.963550
base_guard_replay,knn,model:knn:fit=train,val,26,1.011970,0.713004,0.037238,0.206739,0.681147,1.011970
base_guard_replay,extra_trees,model:extra_trees:fit=train,test,26,1.293064,1.015375,0.047649,0.251071,1.284503,1.293064
base_guard_replay,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base_guard_replay,extra_trees,model:extra_trees:fit=train,val,26,1.191022,0.895839,0.043827,0.243318,1.188782,1.191022
base_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.713065,0.662930,0.026276,0.138454,0.580366,0.713065
base_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.875317,0.544406,0.030987,0.097177,1.506941,0.875317
base_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.559497,0.515555,0.020588,0.114302,0.384056,0.559497
base_energy,knn,model:knn:fit=train,test,26,1.274264,0.970705,0.046956,0.247421,1.119225,1.274264
base_energy,knn,model:knn:fit=train,train,76,0.967233,0.615035,0.034241,0.107381,1.733826,0.967233
base_energy,knn,model:knn:fit=train,val,26,1.032806,0.728581,0.038005,0.210995,0.865369,1.032806
base_energy,extra_trees,model:extra_trees:fit=train,test,26,1.737387,1.320065,0.064022,0.337345,1.316304,1.737387
base_energy,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base_energy,extra_trees,model:extra_trees:fit=train,val,26,1.547696,1.167653,0.056952,0.316184,1.251807,1.547696
base_energy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.713065,0.662930,0.026276,0.138454,0.580366,0.713065
base_energy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.875317,0.544406,0.030987,0.097177,1.506941,0.875317
base_energy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.559497,0.515555,0.020588,0.114302,0.384056,0.559497
base_density,knn,model:knn:fit=train,test,26,1.274264,0.970705,0.046956,0.247421,1.119225,1.274264
base_density,knn,model:knn:fit=train,train,76,0.976653,0.616493,0.034574,0.108427,1.798789,0.976653
base_density,knn,model:knn:fit=train,val,26,1.032806,0.728581,0.038005,0.210995,0.865369,1.032806
base_density,extra_trees,model:extra_trees:fit=train,test,26,1.484208,1.182149,0.054693,0.288185,1.274740,1.484208
base_density,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base_density,extra_trees,model:extra_trees:fit=train,val,26,1.436629,1.100583,0.052865,0.293494,1.189540,1.436629
base_density,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.713065,0.662930,0.026276,0.138454,0.580366,0.713065
base_density,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.875317,0.544406,0.030987,0.097177,1.506941,0.875317
base_density,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.559497,0.515555,0.020588,0.114302,0.384056,0.559497
base_green,knn,model:knn:fit=train,test,26,1.310757,1.025709,0.048301,0.254507,1.119225,1.310757
base_green,knn,model:knn:fit=train,train,76,0.996770,0.662650,0.035286,0.110660,1.741016,0.996770
base_green,knn,model:knn:fit=train,val,26,1.032806,0.728581,0.038005,0.210995,0.865369,1.032806
base_green,extra_trees,model:extra_trees:fit=train,test,26,1.681926,1.317663,0.061979,0.326576,1.333204,1.681926
base_green,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base_green,extra_trees,model:extra_trees:fit=train,val,26,1.572894,1.203606,0.057879,0.321331,1.280239,1.572894
base_green,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.713065,0.662930,0.026276,0.138454,0.580366,0.713065
