x,y,t,target_intensity_mean,target_intensity_std,target_intensity_min,target_intensity_max,target_intensity_q90,source_layer_index,target_layer_index,target_camera_code,source_x_mean,source_y_mean,source_p_mean,source_t_mean,source_x_range,source_y_range,source_p_range,source_t_range,source_p_nonzero_fraction,source_rows_read,source_rows_truncated,target_pixel_count,target_width,target_height,target_bits_per_pixel,split_name,row_id,source_member_name,target_member_name,target_center_mean,target_periphery_mean,target_center_periphery_contrast,target_hot_fraction_q90,target_top_half_mean,target_bottom_half_mean,target_left_half_mean,target_right_half_mean,target_vertical_contrast,target_horizontal_contrast,target_quadrant_contrast,target_grid_max_mean,target_grid_min_mean,target_grid_mean_range,target_local_variance_mean,target_gradient_mean,target_gradient_q90,target_sample_stride,target_sampled_width,target_sampled_height,target_sampled_pixel_count,target_intensity_q90_recomputed,target_camera_pair_mean_delta,target_camera_pair_std_delta,target_camera_pair_gradient_delta
-1.811107,-2.760944,2,109.482011,27.023576,10,255,138.000000,2,2,0,-1.811107,-2.760944,145.087036,0.001939,91.010000,50.810000,235.028177,2.000000,0.805249,3019778,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0002,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0002.csv,In-situ Meas Data/Layer Camera/A0002.bmp,135.578609,106.911998,28.666611,0.106720,121.197504,107.190048,111.074080,117.313472,14.007456,-6.239392,20.246848,142.296723,81.018689,61.278034,25.584021,7.251695,12.727922,8,250,250,62500,142.000000,-1.969010,-4.855048,-2.234373
0.110425,-2.399388,3,109.729799,27.457667,10,255,137.000000,3,3,0,0.110425,-2.399388,147.934996,0.003854,91.010000,50.811000,337.921243,2.000000,0.815874,3572844,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0003,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0003.csv,In-situ Meas Data/Layer Camera/A0003.bmp,135.333333,107.320993,28.012340,0.102432,120.957984,107.915168,112.006848,116.866304,13.042816,-4.859456,17.902272,141.696109,81.208397,60.487711,27.814245,7.408304,13.000000,8,250,250,62500,142.000000,-3.757244,-4.930423,-2.501570
-2.168910,-2.532706,4,109.202357,28.071861,11,255,137.000000,4,4,0,-2.168910,-2.532706,142.701208,0.001899,91.010000,50.810000,234.901664,2.000000,0.800250,3083028,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0004,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0004.csv,In-situ Meas Data/Layer Camera/A0004.bmp,134.668367,106.867150,27.801217,0.112832,120.222944,107.635264,111.529376,116.328832,12.587680,-4.799456,17.387136,140.905786,80.826421,60.079365,29.769336,7.506241,13.038405,8,250,250,62500,141.000000,-2.863442,-4.563454,-2.450646
-1.215392,-0.547020,5,109.503286,28.082353,11,255,137.000000,5,5,0,-1.215392,-0.547020,140.633100,0.003100,91.010000,50.810995,234.891638,2.000000,0.790935,2983098,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0005,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0005.csv,In-situ Meas Data/Layer Camera/A0005.bmp,134.354875,107.321165,27.033710,0.113472,120.175136,108.201184,111.749664,116.626656,11.973952,-4.876992,16.850944,141.243472,81.265489,59.977983,30.106556,7.554056,13.038405,8,250,250,62500,141.000000,-6.618103,-6.324084,-2.299383
-1.965121,-2.947774,6,110.760294,28.093828,11,255,138.000000,6,6,0,-1.965121,-2.947774,143.833176,0.003713,91.010000,50.810000,234.882388,2.000000,0.806066,3118681,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0006,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0006.csv,In-situ Meas Data/Layer Camera/A0006.bmp,135.361993,108.655499,26.706494,0.110560,121.370848,109.507904,113.671840,117.206912,11.862944,-3.535072,15.398016,141.367640,82.311316,59.056324,29.033052,7.600615,13.038405,8,250,250,62500,142.000000,-1.424288,-4.548460,-2.322722
0.071529,-2.364212,7,109.395400,27.864478,10,255,137.000000,7,7,0,0.071529,-2.364212,146.913714,0.002150,91.010000,50.810000,235.062382,2.000000,0.817918,3613174,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0007,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0007.csv,In-situ Meas Data/Layer Camera/A0007.bmp,134.436256,107.196401,27.239855,0.112352,119.787872,108.443648,111.741344,116.490176,11.344224,-4.748832,16.093056,141.047619,81.050179,59.997440,27.131268,7.493657,13.000000,8,250,250,62500,141.000000,-2.005354,-4.321395,-2.651869
-2.177034,-2.212818,8,106.123846,26.783186,10,255,134.000000,8,8,0,-2.177034,-2.212818,141.704339,0.002460,91.010000,50.810000,234.853713,2.000000,0.795706,3064493,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0008,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0008.csv,In-situ Meas Data/Layer Camera/A0008.bmp,130.454900,104.065846,26.389055,0.101344,116.933952,104.604224,106.887040,114.651136,12.329728,-7.764096,20.093824,139.071685,77.175371,61.896313,26.569805,7.368103,12.806248,8,250,250,62500,139.000000,-4.267889,-4.951131,-2.700781
-1.156758,-0.738172,9,106.271967,26.408959,11,255,134.000000,9,9,0,-1.156758,-0.738172,140.942875,0.003117,91.010000,50.810000,234.908668,2.000000,0.792798,3016377,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0009,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0009.csv,In-situ Meas Data/Layer Camera/A0009.bmp,130.749307,104.217056,26.532252,0.107856,117.449536,104.463808,106.853280,115.060064,12.985728,-8.206784,21.192512,139.650794,77.406554,62.244240,25.165968,7.318659,12.649111,8,250,250,62500,139.000000,-1.060784,-4.180261,-2.176585
-1.987808,-3.063821,10,105.697655,26.121524,11,255,134.000000,10,10,0,-1.987808,-3.063821,144.022902,0.001832,91.010000,50.810000,234.929079,2.000000,0.805304,3141757,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0010,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0010.csv,In-situ Meas Data/Layer Camera/A0010.bmp,130.710821,103.387333,27.323489,0.113904,116.800576,103.855296,105.743424,114.912448,12.945280,-9.169024,22.114304,139.658730,76.925243,62.733487,23.405194,7.240147,12.649111,8,250,250,62500,138.000000,-2.212081,-4.421030,-2.409792
0.122153,-2.371046,11,107.110061,25.984985,11,255,135.000000,11,11,0,0.122153,-2.371046,146.621315,0.001957,91.010000,50.810000,234.899933,2.000000,0.816573,3600370,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0011,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0011.csv,In-situ Meas Data/Layer Camera/A0011.bmp,131.998362,104.786376,27.211986,0.100320,118.068192,105.329120,107.420768,115.976544,12.739072,-8.555776,21.294848,140.373016,78.851767,61.521249,24.470754,7.246508,12.529964,8,250,250,62500,140.000000,-3.516125,-3.991397,-2.545408
-2.151555,-2.056640,12,105.214887,26.043568,12,255,134.000000,12,12,0,-2.151555,-2.056640,141.322873,0.003550,91.010000,50.810000,234.887035,2.000000,0.791932,3046669,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0012,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0012.csv,In-situ Meas Data/Layer Camera/A0012.bmp,130.442933,102.767266,27.675667,0.107888,116.499936,103.094720,105.001664,114.592992,13.405216,-9.591328,22.996544,139.105991,76.318228,62.787762,23.452610,7.163516,12.529964,8,250,250,62500,138.000000,-0.656211,-3.937173,-2.595767
-0.965579,-0.896508,13,105.359706,26.027428,10,255,134.000000,13,13,0,-0.965579,-0.896508,141.737270,0.001746,91.010000,50.810000,234.916000,2.000000,0.794984,3020744,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0013,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0013.csv,In-situ Meas Data/Layer Camera/A0013.bmp,130.679894,102.905885,27.774009,0.107856,116.536608,103.385248,105.131520,114.790336,13.151360,-9.658816,22.810176,139.022529,76.561700,62.460829,25.158649,7.199211,12.369317,8,250,250,62500,138.000000,-4.575964,-5.354350,-2.071985
-2.151467,-3.149865,14,105.221062,25.957146,13,255,133.000000,14,14,0,-2.151467,-3.149865,143.833481,0.001836,91.010000,50.810997,234.927251,2.000000,0.805944,3209660,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0014,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0014.csv,In-situ Meas Data/Layer Camera/A0014.bmp,130.457420,102.790280,27.667140,0.118960,116.388000,103.248352,105.175808,114.460544,13.139648,-9.284736,22.424384,138.660266,76.521505,62.138761,25.974403,7.260400,12.529964,8,250,250,62500,137.000000,-0.628874,-3.847757,-2.236871
-0.022306,-2.210467,15,105.255833,25.947871,11,255,133.000000,15,15,0,-0.022306,-2.210467,146.521318,0.003733,91.010997,50.810000,235.079607,2.000000,0.813509,3531008,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0015,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0015.csv,In-situ Meas Data/Layer Camera/A0015.bmp,130.451436,102.832597,27.618839,0.104272,116.426048,103.270400,105.165440,114.531008,13.155648,-9.365568,22.521216,138.407834,76.529442,61.878392,24.105317,7.168551,12.529964,8,250,250,62500,138.000000,-1.444633,-3.793109,-2.418121
-2.110904,-2.109956,16,105.125563,25.985204,12,255,133.000000,16,16,0,-2.110904,-2.109956,141.524270,0.001945,91.010000,50.810000,234.860005,2.000000,0.787465,2993269,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0016,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0016.csv,In-situ Meas Data/Layer Camera/A0016.bmp,130.391030,102.699854,27.691176,0.100592,116.361920,103.105792,105.036576,114.431136,13.256128,-9.394560,22.650688,138.672811,76.463390,62.209421,26.743710,7.221109,12.529964,8,250,250,62500,138.000000,1.576909,-3.188151,-2.143963
-1.152383,-0.827753,17,105.149689,25.923780,11,255,133.000000,17,17,0,-1.152383,-0.827753,141.477264,0.003093,91.010000,50.810000,234.937204,2.000000,0.795314,3053346,false,4000000,2000,2000,8,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0017,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0017.csv,In-situ Meas Data/Layer Camera/A0017.bmp,130.400479,102.699790,27.700689,0.118144,116.267936,103.204480,105.094784,114.377632,13.063456,-9.282848,22.346304,138.463390,76.403738,62.059652,26.377116,7.267158,12.529964,8,250,250,62500,137.000000,1.233308,-3.852610,-2.034647
