target,target_min,target_max,target_range,selected_validation_method,selected_validation_rmse,selected_validation_normalized_rmse,selected_test_rmse,selected_test_normalized_rmse,mean_validation_rmse,mean_validation_normalized_rmse,mean_test_rmse,mean_test_normalized_rmse,validation_relative_improvement_over_mean,test_relative_improvement_over_mean,baseline_visible_gap,strong_baseline_solved,zero_variance_target,physical_priority,status,phase106_candidate
target_center_mean,94.300831,140.972978,46.672147,mean,1.467979,0.247314,1.494768,0.266051,1.467979,0.247314,1.494768,0.266051,0.000000,0.000000,false,false,false,8,blocked_no_baseline_visible_gap,false
target_periphery_mean,83.318806,108.655499,25.336694,mean,0.802996,0.322944,0.788815,0.440668,0.802996,0.322944,0.788815,0.440668,0.000000,0.000000,false,false,false,8,blocked_no_baseline_visible_gap,false
target_center_periphery_contrast,10.982026,33.604069,22.622044,hist_gradient_boosting,1.174314,0.255740,1.382751,0.246208,1.592342,0.346778,1.616620,0.287850,0.262524,0.144666,true,false,false,2,candidate_spatial_target_gap_ready_for_focused_validation,true
target_hot_fraction_q90,0.100048,0.118960,0.018912,mean,0.005015,0.279134,0.004282,0.269529,0.005015,0.279134,0.004282,0.269529,0.000000,0.000000,false,false,false,6,blocked_no_baseline_visible_gap,false
target_top_half_mean,81.649376,123.512544,41.863168,mean,1.067997,0.226969,1.417749,0.451292,1.067997,0.226969,1.417749,0.451292,0.000000,0.000000,false,false,false,8,blocked_no_baseline_visible_gap,false
target_bottom_half_mean,90.567456,109.507904,18.940448,mean,1.014427,0.463111,1.037455,0.500664,1.014427,0.463111,1.037455,0.500664,0.000000,0.000000,false,false,false,8,blocked_no_baseline_visible_gap,false
target_left_half_mean,70.683136,116.189632,45.506496,mean,1.970630,0.286761,2.288002,0.363048,1.970630,0.286761,2.288002,0.363048,0.000000,0.000000,false,false,false,8,blocked_no_baseline_visible_gap,false
target_right_half_mean,101.533696,120.797344,19.263648,hist_gradient_boosting,0.771698,0.237545,0.842201,0.373247,1.073832,0.330548,0.924044,0.409518,0.281360,0.088570,true,false,false,8,candidate_spatial_target_gap_ready_for_focused_validation,true
target_vertical_contrast,-8.918080,16.090496,25.008576,mean,1.465468,0.462225,2.006652,0.607176,1.465468,0.462225,2.006652,0.607176,0.000000,0.000000,false,false,false,8,blocked_no_baseline_visible_gap,false
target_horizontal_contrast,-30.850560,0.569504,31.420064,hist_gradient_boosting,2.783770,0.330164,3.025610,0.372841,2.807353,0.332961,3.167273,0.390298,0.008400,0.044727,false,false,false,8,blocked_no_baseline_visible_gap,false
target_quadrant_contrast,12.723776,39.768640,27.044864,hist_gradient_boosting,1.717069,0.212827,1.199239,0.167233,2.947129,0.365291,2.918145,0.406933,0.417376,0.589041,true,false,false,7,candidate_spatial_target_gap_ready_for_focused_validation,true
target_grid_max_mean,114.535903,156.536866,42.000963,hist_gradient_boosting,2.500625,0.217866,4.043057,0.287431,2.971366,0.258879,3.542465,0.251843,0.158426,-0.141312,true,false,false,8,candidate_spatial_target_gap_ready_for_focused_validation,true
target_grid_min_mean,49.351457,82.854583,33.503126,mean,1.280491,0.381802,1.321006,0.422904,1.280491,0.381802,1.321006,0.422904,0.000000,0.000000,false,false,false,8,blocked_no_baseline_visible_gap,false
target_grid_mean_range,52.832053,80.165131,27.333077,hist_gradient_boosting,2.872929,0.251717,3.187148,0.231078,3.763895,0.329781,3.969936,0.287833,0.236714,0.197179,true,false,false,3,candidate_spatial_target_gap_ready_for_focused_validation,true
target_local_variance_mean,20.529254,104.790196,84.260941,extra_trees,4.572187,0.061242,6.951341,0.098667,31.318544,0.419492,30.497149,0.432876,0.854010,0.772066,true,true,false,4,blocked_strong_baseline_solved_validation_target,false
target_gradient_mean,6.966802,10.145527,3.178725,hist_gradient_boosting,0.162704,0.065548,0.218075,0.094519,1.096638,0.441795,1.088842,0.471929,0.851634,0.799719,true,true,false,8,blocked_strong_baseline_solved_validation_target,false
target_gradient_q90,12.083046,16.552945,4.469899,hist_gradient_boosting,0.100008,0.040372,0.166557,0.071204,1.167104,0.471143,1.178434,0.503785,0.914311,0.858663,true,true,false,5,blocked_strong_baseline_solved_validation_target,false
target_camera_pair_mean_delta,-38.009763,38.009763,76.019526,hist_gradient_boosting,1.552134,0.252771,2.174546,0.267120,1.578333,0.257038,1.956662,0.240355,0.016599,-0.111355,false,false,false,8,blocked_no_baseline_visible_gap,false
target_camera_pair_std_delta,-6.324084,6.324084,12.648168,hist_gradient_boosting,0.443558,0.046974,0.614980,0.061175,3.633037,0.384750,3.800224,0.378029,0.877910,0.838173,true,true,false,1,blocked_strong_baseline_solved_validation_target,false
target_camera_pair_gradient_delta,-2.700781,2.700781,5.401561,hist_gradient_boosting,0.155436,0.032559,0.183866,0.040457,2.134205,0.447051,2.091922,0.460299,0.927169,0.912107,true,true,false,0,blocked_strong_baseline_solved_validation_target,false
