feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
phase106_guard_replay,knn,model:knn:fit=train,test,26,2.899530,1.708662,0.108770,0.516281,7.238995,2.899530
phase106_guard_replay,knn,model:knn:fit=train,train,76,2.059458,1.061707,0.074733,0.091038,3.884762,2.059458
phase106_guard_replay,knn,model:knn:fit=train,val,26,2.174192,1.386567,0.082326,0.473492,4.981313,2.174192
phase106_guard_replay,extra_trees,model:extra_trees:fit=train,test,26,4.792691,3.331175,0.179787,0.853371,9.220567,4.792691
phase106_guard_replay,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
phase106_guard_replay,extra_trees,model:extra_trees:fit=train,val,26,3.683092,2.540367,0.139460,0.802099,6.531240,3.683092
phase106_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.382751,0.967409,0.051871,0.246208,3.262600,1.382751
phase106_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.974231,1.077187,0.071641,0.087270,2.836433,1.974231
phase106_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.174314,0.836636,0.044465,0.255740,2.030561,1.174314
source_center_periphery,knn,model:knn:fit=train,test,26,2.899530,1.708662,0.108770,0.516281,7.238995,2.899530
source_center_periphery,knn,model:knn:fit=train,train,76,2.059458,1.061707,0.074733,0.091038,3.884762,2.059458
source_center_periphery,knn,model:knn:fit=train,val,26,2.174192,1.386567,0.082326,0.473492,4.981313,2.174192
source_center_periphery,extra_trees,model:extra_trees:fit=train,test,26,5.770495,4.001763,0.216468,1.027475,10.964332,5.770495
source_center_periphery,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
source_center_periphery,extra_trees,model:extra_trees:fit=train,val,26,4.307927,3.013413,0.163120,0.938174,6.199979,4.307927
source_center_periphery,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.382751,0.967409,0.051871,0.246208,3.262600,1.382751
source_center_periphery,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.974231,1.077187,0.071641,0.087270,2.836433,1.974231
source_center_periphery,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.174314,0.836636,0.044465,0.255740,2.030561,1.174314
source_grid_region,knn,model:knn:fit=train,test,26,3.203328,1.832527,0.120166,0.570374,7.969535,3.203328
source_grid_region,knn,model:knn:fit=train,train,76,1.771156,0.916018,0.064272,0.078293,3.005111,1.771156
source_grid_region,knn,model:knn:fit=train,val,26,2.176018,1.424903,0.082395,0.473890,4.755760,2.176018
source_grid_region,extra_trees,model:extra_trees:fit=train,test,26,6.490312,4.563373,0.243470,1.155643,12.325302,6.490312
source_grid_region,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
source_grid_region,extra_trees,model:extra_trees:fit=train,val,26,5.573387,3.997891,0.211036,1.213764,9.307310,5.573387
source_grid_region,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.537635,1.063994,0.057681,0.273786,3.674452,1.537635
source_grid_region,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.927373,1.024289,0.069940,0.085199,2.650074,1.927373
source_grid_region,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.015222,0.734684,0.038441,0.221094,1.901541,1.015222
source_moment_drift,knn,model:knn:fit=train,test,26,2.977029,1.852070,0.111677,0.530080,5.256580,2.977029
source_moment_drift,knn,model:knn:fit=train,train,76,2.009549,1.278924,0.072922,0.088831,2.420251,2.009549
source_moment_drift,knn,model:knn:fit=train,val,26,2.319986,1.459659,0.087846,0.505243,4.231952,2.319986
source_moment_drift,extra_trees,model:extra_trees:fit=train,test,26,3.988926,2.479717,0.149636,0.710255,9.091601,3.988926
source_moment_drift,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
source_moment_drift,extra_trees,model:extra_trees:fit=train,val,26,2.899322,1.881469,0.109783,0.631410,5.907213,2.899322
source_moment_drift,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.741800,1.270729,0.065340,0.310139,3.543497,1.741800
source_moment_drift,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.893271,1.046860,0.068703,0.083691,2.286593,1.893271
source_moment_drift,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.186112,0.915635,0.044912,0.258310,1.822301,1.186112
