target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_cp_layer_mean,mean,constant:mean:fit=train,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
target_cp_layer_mean,mean,constant:mean:fit=train,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
target_cp_layer_mean,mean,constant:mean:fit=train,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
target_cp_layer_mean,knn,model:knn:fit=train,test,26,2.065833,1.579418,0.077542,0.686094,3.664371,2.065833
target_cp_layer_mean,knn,model:knn:fit=train,train,76,1.514411,0.921335,0.055054,0.128574,1.365533,1.514411
target_cp_layer_mean,knn,model:knn:fit=train,val,26,1.655377,1.348221,0.062723,0.721937,3.113225,1.655377
target_cp_layer_mean,extra_trees,model:extra_trees:fit=train,test,26,4.787206,4.532499,0.179689,1.589903,6.929788,4.787206
target_cp_layer_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_layer_mean,extra_trees,model:extra_trees:fit=train,val,26,4.091785,3.820413,0.155040,1.784493,6.477265,4.091785
target_cp_layer_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.060691,0.863224,0.039813,0.352271,1.894420,1.060691
target_cp_layer_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.250191,0.702298,0.045449,0.106141,1.166351,1.250191
target_cp_layer_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.940098,0.760386,0.035621,0.409992,1.447627,0.940098
target_cp_camera_pair_delta,mean,constant:mean:fit=train,test,26,1.846333,1.716209,1.000000,0.353727,2.504302,1.846333
target_cp_camera_pair_delta,mean,constant:mean:fit=train,train,76,3.304308,2.221752,1.000000,0.109294,6.503932,3.304308
target_cp_camera_pair_delta,mean,constant:mean:fit=train,val,26,1.940769,1.821119,1.000000,0.298729,2.894802,1.940769
target_cp_camera_pair_delta,knn,model:knn:fit=train,test,26,4.069206,2.967250,2.203939,0.779592,5.992480,4.069206
target_cp_camera_pair_delta,knn,model:knn:fit=train,train,76,2.791363,1.656886,0.844765,0.092327,5.512683,2.791363
target_cp_camera_pair_delta,knn,model:knn:fit=train,val,26,2.819104,2.146256,1.452571,0.433925,1.441001,2.819104
target_cp_camera_pair_delta,extra_trees,model:extra_trees:fit=train,test,26,8.119862,7.760855,4.397831,1.555630,9.979307,8.119862
target_cp_camera_pair_delta,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_camera_pair_delta,extra_trees,model:extra_trees:fit=train,val,26,6.307558,5.808915,3.250031,0.970879,4.031796,6.307558
target_cp_camera_pair_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.809990,1.645364,0.980316,0.346764,2.566208,1.809990
target_cp_camera_pair_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.299117,2.221752,0.998429,0.109122,6.546116,3.299117
target_cp_camera_pair_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.809450,1.693599,0.932337,0.278516,2.711467,1.809450
target_cp_abs_camera_pair_delta,mean,constant:mean:fit=train,test,26,0.848026,0.633903,0.459303,0.428636,0.383460,0.848026
target_cp_abs_camera_pair_delta,mean,constant:mean:fit=train,train,76,2.445869,1.280885,0.740206,0.162546,6.909525,2.445869
target_cp_abs_camera_pair_delta,mean,constant:mean:fit=train,val,26,0.781419,0.705427,0.402634,0.332048,0.831286,0.781419
target_cp_abs_camera_pair_delta,knn,model:knn:fit=train,test,26,3.291426,2.647769,1.782683,1.663657,3.858301,3.291426
target_cp_abs_camera_pair_delta,knn,model:knn:fit=train,train,76,1.831783,0.963730,0.554362,0.121736,4.575290,1.831783
target_cp_abs_camera_pair_delta,knn,model:knn:fit=train,val,26,3.024052,2.340947,1.558172,1.285010,0.972343,3.024052
target_cp_abs_camera_pair_delta,extra_trees,model:extra_trees:fit=train,test,26,3.732773,3.651575,2.021722,1.886737,4.160016,3.732773
target_cp_abs_camera_pair_delta,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_abs_camera_pair_delta,extra_trees,model:extra_trees:fit=train,val,26,4.248572,3.689972,2.189118,1.805346,0.971527,4.248572
target_cp_abs_camera_pair_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.283287,0.971990,0.695046,0.648640,0.496133,1.283287
target_cp_abs_camera_pair_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.913405,1.034817,0.579064,0.127160,5.262248,1.913405
target_cp_abs_camera_pair_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.823945,1.612870,0.939805,0.775049,0.898914,1.823945
