profile,method,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
mean_guard,mean,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
mean_guard,mean,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
mean_guard,mean,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
full_phase108,mean,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
full_phase108,mean,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
full_phase108,mean,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
full_phase108,knn,test,26,2.065833,1.579418,0.077542,0.686094,3.664371,2.065833
full_phase108,knn,train,76,1.514411,0.921335,0.055054,0.128574,1.365533,1.514411
full_phase108,knn,val,26,1.655377,1.348221,0.062723,0.721937,3.113225,1.655377
full_phase108,extra_trees,test,26,4.787206,4.532499,0.179689,1.589903,6.929788,4.787206
full_phase108,extra_trees,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_phase108,extra_trees,val,26,4.091785,3.820413,0.155040,1.784493,6.477265,4.091785
full_phase108,hist_gradient_boosting,test,26,1.060691,0.863224,0.039813,0.352271,1.894420,1.060691
full_phase108,hist_gradient_boosting,train,76,1.250191,0.702298,0.045449,0.106141,1.166351,1.250191
full_phase108,hist_gradient_boosting,val,26,0.940098,0.760386,0.035621,0.409992,1.447627,0.940098
no_camera,mean,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
no_camera,mean,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
no_camera,mean,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
no_camera,knn,test,26,2.895428,1.796877,0.108681,0.961615,4.971515,2.895428
no_camera,knn,train,76,0.985730,0.589321,0.035835,0.083689,0.914659,0.985730
no_camera,knn,val,26,2.502744,1.645917,0.094830,1.091487,4.953920,2.502744
no_camera,extra_trees,test,26,3.708918,3.442728,0.139216,1.231787,5.512079,3.708918
no_camera,extra_trees,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
no_camera,extra_trees,val,26,3.003894,2.732850,0.113819,1.310046,4.761607,3.003894
no_camera,hist_gradient_boosting,test,26,1.060691,0.863224,0.039813,0.352271,1.894420,1.060691
no_camera,hist_gradient_boosting,train,76,1.250191,0.702298,0.045449,0.106141,1.166351,1.250191
no_camera,hist_gradient_boosting,val,26,0.940098,0.760386,0.035621,0.409992,1.447627,0.940098
camera_only,mean,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
camera_only,mean,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
camera_only,mean,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
camera_only,knn,test,26,2.903885,2.693438,0.108998,0.964424,1.070236,2.903885
camera_only,knn,train,76,2.643054,2.037553,0.096084,0.224396,0.793589,2.643054
camera_only,knn,val,26,3.025846,2.931709,0.114651,1.319620,1.502757,3.025846
camera_only,extra_trees,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
camera_only,extra_trees,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
camera_only,extra_trees,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
camera_only,hist_gradient_boosting,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
camera_only,hist_gradient_boosting,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
camera_only,hist_gradient_boosting,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
source_only,mean,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
source_only,mean,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
source_only,mean,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
source_only,knn,test,26,1.736200,1.351325,0.065169,0.576618,0.404087,1.736200
source_only,knn,train,76,0.815775,0.499475,0.029656,0.069259,1.027544,0.815775
source_only,knn,val,26,1.408767,1.133141,0.053379,0.614386,0.638092,1.408767
source_only,extra_trees,test,26,1.622680,1.298832,0.060908,0.538916,0.629848,1.622680
source_only,extra_trees,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
source_only,extra_trees,val,26,1.257470,1.013870,0.047646,0.548403,0.482031,1.257470
source_only,hist_gradient_boosting,test,26,1.397924,1.177312,0.052472,0.464271,0.619754,1.397924
source_only,hist_gradient_boosting,train,76,1.501893,0.906535,0.054599,0.127511,2.280826,1.501893
source_only,hist_gradient_boosting,val,26,1.306900,1.204566,0.049519,0.569960,0.337737,1.306900
layer_time_only,mean,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
layer_time_only,mean,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
layer_time_only,mean,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
layer_time_only,knn,test,26,5.630510,5.533680,0.211343,1.869976,7.204545,5.630510
layer_time_only,knn,train,76,0.716898,0.444092,0.026062,0.060865,0.542009,0.716898
layer_time_only,knn,val,26,5.339033,5.295410,0.202299,2.328438,6.757696,5.339033
layer_time_only,extra_trees,test,26,8.147518,8.080905,0.305820,2.705912,9.751725,8.147518
layer_time_only,extra_trees,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
layer_time_only,extra_trees,val,26,7.872155,7.842634,0.298281,3.433173,9.304885,7.872155
layer_time_only,hist_gradient_boosting,test,26,1.137170,0.860041,0.042684,0.377671,2.131848,1.137170
layer_time_only,hist_gradient_boosting,train,76,1.555259,0.900666,0.056539,0.132042,1.495470,1.555259
layer_time_only,hist_gradient_boosting,val,26,0.716473,0.462262,0.027148,0.312465,1.684984,0.716473
layer_time_camera,mean,test,26,1.327112,1.206210,0.049814,0.440754,0.847419,1.327112
layer_time_camera,mean,train,76,1.843038,1.100866,0.067001,0.156474,2.578271,1.843038
layer_time_camera,mean,val,26,1.262500,1.185824,0.047837,0.550597,0.401364,1.262500
layer_time_camera,knn,test,26,2.360379,2.119047,0.088598,0.783917,3.790068,2.360379
layer_time_camera,knn,train,76,1.247688,0.764390,0.045358,0.105929,0.976362,1.247688
layer_time_camera,knn,val,26,2.000309,1.880777,0.075793,0.872367,3.343197,2.000309
layer_time_camera,extra_trees,test,26,8.147518,8.080905,0.305820,2.705912,9.751725,8.147518
layer_time_camera,extra_trees,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
layer_time_camera,extra_trees,val,26,7.872155,7.842634,0.298281,3.433173,9.304885,7.872155
layer_time_camera,hist_gradient_boosting,test,26,1.137170,0.860041,0.042684,0.377671,2.131848,1.137170
layer_time_camera,hist_gradient_boosting,train,76,1.555259,0.900666,0.056539,0.132042,1.495470,1.555259
layer_time_camera,hist_gradient_boosting,val,26,0.716473,0.462262,0.027148,0.312465,1.684984,0.716473
