x,y,t,source_layer_index,target_layer_index,melt_pool_frame_count,sampled_frame_count,first_sampled_frame_index,last_sampled_frame_index,source_p_mean,source_p_nonzero_fraction,source_x_range,source_y_range,source_p_range,source_t_range,source_rows_read,target_mp_mean_mean,target_mp_mean_std,target_mp_q90_mean,target_mp_max_mean,target_mp_max_range,target_mp_temporal_mean_range,target_mp_early_late_mean_delta,target_mp_peak_frame_position,split_name,row_id,target_group_key
-1.811107,-2.760944,2.000000,2,1,2661,9,1,2661,145.087036,0.805249,91.010000,50.810000,235.028177,2.000000,3019778.000000,9.124089,2.990415,9.555556,204.000000,245.000000,9.479167,9.479167,1.000000,train,melt_pool_layer::0001,In-situ Meas Data/Melt Pool Camera/MIA_L0001/frame{index}.bmp
0.110425,-2.399388,3.000000,3,2,2927,9,1,2927,147.934996,0.815874,91.010000,50.811000,337.921243,2.000000,3572844.000000,8.362341,3.251614,9.333333,175.888889,245.000000,8.087630,7.122591,0.375000,train,melt_pool_layer::0002,In-situ Meas Data/Melt Pool Camera/MIA_L0002/frame{index}.bmp
-2.168910,-2.532706,4.000000,4,3,6884,9,1,6884,142.701208,0.800250,91.010000,50.810000,234.901664,2.000000,3083028.000000,9.229644,2.238738,9.777778,227.777778,245.000000,7.951497,7.951497,1.000000,train,melt_pool_layer::0003,In-situ Meas Data/Melt Pool Camera/MIA_L0003/frame{index}.bmp
-1.215392,-0.547020,5.000000,5,4,2928,9,1,2928,140.633100,0.790935,91.010000,50.810995,234.891638,2.000000,2983098.000000,7.557010,2.874898,8.555556,184.111111,245.000000,6.736523,6.469401,0.625000,val,melt_pool_layer::0004,In-situ Meas Data/Melt Pool Camera/MIA_L0004/frame{index}.bmp
0.071529,-2.364212,7.000000,7,6,4624,9,1,4624,146.913714,0.817918,91.010000,50.810000,235.062382,2.000000,3613174.000000,8.865314,2.099402,9.666667,227.666667,246.000000,7.387565,6.505924,0.625000,test,melt_pool_layer::0006,In-situ Meas Data/Melt Pool Camera/MIA_L0006/frame{index}.bmp
-2.177034,-2.212818,8.000000,8,7,3884,9,1,3884,141.704339,0.795706,91.010000,50.810000,234.853713,2.000000,3064493.000000,8.075723,3.039082,8.777778,174.444444,246.000000,8.085286,8.085286,1.000000,train,melt_pool_layer::0007,In-situ Meas Data/Melt Pool Camera/MIA_L0007/frame{index}.bmp
-1.156758,-0.738172,9.000000,9,8,3769,9,1,3769,140.942875,0.792798,91.010000,50.810000,234.908668,2.000000,3016377.000000,10.043540,2.649261,10.666667,227.777778,245.000000,9.787305,6.415820,0.875000,train,melt_pool_layer::0008,In-situ Meas Data/Melt Pool Camera/MIA_L0008/frame{index}.bmp
-1.987808,-3.063821,10.000000,10,9,4701,9,1,4701,144.022902,0.805304,91.010000,50.810000,234.929079,2.000000,3141757.000000,9.480744,2.321633,9.444444,227.777778,245.000000,8.080924,7.669987,0.250000,train,melt_pool_layer::0009,In-situ Meas Data/Melt Pool Camera/MIA_L0009/frame{index}.bmp
0.122153,-2.371046,11.000000,11,10,2878,9,1,2878,146.621315,0.816573,91.010000,50.810000,234.899933,2.000000,3600370.000000,9.662015,2.433877,10.888889,227.777778,245.000000,8.796094,7.123568,0.875000,val,melt_pool_layer::0010,In-situ Meas Data/Melt Pool Camera/MIA_L0010/frame{index}.bmp
-2.151555,-2.056640,12.000000,12,11,3523,9,1,3523,141.322873,0.791932,91.010000,50.810000,234.887035,2.000000,3046669.000000,9.227886,2.359923,10.333333,227.777778,245.000000,8.087500,7.126758,0.625000,test,melt_pool_layer::0011,In-situ Meas Data/Melt Pool Camera/MIA_L0011/frame{index}.bmp
-0.965579,-0.896508,13.000000,13,12,5408,9,1,5408,141.737270,0.794984,91.010000,50.810000,234.916000,2.000000,3020744.000000,10.558847,2.983485,12.777778,227.666667,246.000000,10.790625,8.902148,0.500000,train,melt_pool_layer::0012,In-situ Meas Data/Melt Pool Camera/MIA_L0012/frame{index}.bmp
-2.151467,-3.149865,14.000000,14,13,2637,9,1,2637,143.833481,0.805944,91.010000,50.810997,234.927251,2.000000,3209660.000000,8.771824,2.757007,10.000000,204.777778,245.000000,9.204167,9.204167,1.000000,train,melt_pool_layer::0013,In-situ Meas Data/Melt Pool Camera/MIA_L0013/frame{index}.bmp
-0.022306,-2.210467,15.000000,15,14,2947,9,1,2947,146.521318,0.813509,91.010997,50.810000,235.079607,2.000000,3531008.000000,7.494148,2.971647,8.555556,149.111111,245.000000,7.767708,6.815951,0.250000,train,melt_pool_layer::0014,In-situ Meas Data/Melt Pool Camera/MIA_L0014/frame{index}.bmp
-2.110904,-2.109956,16.000000,16,15,6591,9,1,6591,141.524270,0.787465,91.010000,50.810000,234.860005,2.000000,2993269.000000,10.856120,2.970336,12.333333,227.777778,245.000000,10.384049,9.453060,0.875000,val,melt_pool_layer::0015,In-situ Meas Data/Melt Pool Camera/MIA_L0015/frame{index}.bmp
-1.152383,-0.827753,17.000000,17,16,2911,9,1,2911,141.477264,0.795314,91.010000,50.810000,234.937204,2.000000,3053346.000000,9.004188,3.927501,11.000000,173.222222,246.000000,9.424805,9.424805,1.000000,test,melt_pool_layer::0016,In-situ Meas Data/Melt Pool Camera/MIA_L0016/frame{index}.bmp
-2.002843,-3.187421,18.000000,18,17,4722,9,1,4722,143.328731,0.810026,91.010000,50.810000,234.911150,2.000000,3280613.000000,9.551642,2.341228,10.555556,227.777778,245.000000,7.942578,7.463867,0.375000,train,melt_pool_layer::0017,In-situ Meas Data/Melt Pool Camera/MIA_L0017/frame{index}.bmp
-0.059763,-2.113796,19.000000,19,18,6299,9,1,6299,146.325978,0.813861,91.010997,50.810000,234.870248,2.000000,3511957.000000,10.204311,2.627727,10.111111,227.777778,245.000000,8.947982,6.733073,0.250000,train,melt_pool_layer::0018,In-situ Meas Data/Melt Pool Camera/MIA_L0018/frame{index}.bmp
-2.185806,-1.824914,20.000000,20,19,3874,9,1,3874,141.260841,0.787883,91.010000,50.810000,234.926647,2.000000,2979100.000000,10.752799,4.132758,13.111111,203.444444,245.000000,13.370312,9.384766,0.375000,train,melt_pool_layer::0019,In-situ Meas Data/Melt Pool Camera/MIA_L0019/frame{index}.bmp
-0.732495,-1.007835,21.000000,21,20,3758,9,1,3758,143.002888,0.796312,91.010000,50.810000,234.911297,2.000000,3037312.000000,9.662117,3.479202,10.777778,203.777778,245.000000,10.450456,8.312435,0.875000,val,melt_pool_layer::0020,In-situ Meas Data/Melt Pool Camera/MIA_L0020/frame{index}.bmp
-1.987130,-3.440800,22.000000,22,21,4958,9,1,4958,143.515479,0.807174,91.010000,50.811000,235.013885,2.000000,3317759.000000,10.543511,3.995292,12.666667,227.777778,245.000000,15.910807,7.153711,0.250000,test,melt_pool_layer::0021,In-situ Meas Data/Melt Pool Camera/MIA_L0021/frame{index}.bmp
0.088920,-2.063300,23.000000,23,22,2863,9,1,2863,146.605257,0.812021,91.009997,50.810000,234.873835,2.000000,3468238.000000,10.601476,2.844319,11.000000,227.777778,245.000000,10.528776,8.001823,0.500000,train,melt_pool_layer::0022,In-situ Meas Data/Melt Pool Camera/MIA_L0022/frame{index}.bmp
-2.146240,-1.646944,24.000000,24,23,3508,9,1,3508,140.530359,0.787370,91.010000,50.810000,266.152309,2.000000,2959661.000000,9.799711,2.726090,11.555556,227.777778,245.000000,10.103190,7.071419,0.875000,train,melt_pool_layer::0023,In-situ Meas Data/Melt Pool Camera/MIA_L0023/frame{index}.bmp
-0.844969,-1.110167,25.000000,25,24,5067,9,1,5067,142.439497,0.800091,91.010000,50.810000,234.886219,2.000000,3090958.000000,10.318063,2.921430,11.888889,227.777778,245.000000,10.465690,9.786654,0.250000,train,melt_pool_layer::0024,In-situ Meas Data/Melt Pool Camera/MIA_L0024/frame{index}.bmp
-2.107901,-3.628218,26.000000,26,25,2645,9,1,2645,143.162496,0.811995,91.010000,50.810000,234.899937,2.000000,3398615.000000,9.163122,2.816115,10.222222,200.666667,245.000000,8.221875,6.861133,0.875000,val,melt_pool_layer::0025,In-situ Meas Data/Melt Pool Camera/MIA_L0025/frame{index}.bmp
