target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_mp_mean_mean,mean_guard,mean,constant:mean:fit=train,test,12,0.752892,0.642231,0.076651,0.332023,1.328638,0.752892
target_mp_mean_mean,mean_guard,mean,constant:mean:fit=train,train,39,1.056926,0.845178,0.110048,0.243305,1.642474,1.056926
target_mp_mean_mean,mean_guard,mean,constant:mean:fit=train,val,12,1.365462,1.092261,0.143055,0.310125,1.460838,1.365462
target_mp_mean_mean,layer_time_only,knn,model:knn:fit=train,test,12,0.656954,0.492794,0.066884,0.289714,1.251495,0.656954
target_mp_mean_mean,layer_time_only,knn,model:knn:fit=train,train,39,0.906322,0.697671,0.094367,0.208635,1.402500,0.906322
target_mp_mean_mean,layer_time_only,knn,model:knn:fit=train,val,12,1.465776,1.236511,0.153565,0.332908,1.942113,1.465776
target_mp_mean_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,test,12,1.158201,0.845525,0.117915,0.510762,2.092353,1.158201
target_mp_mean_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_mean_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,val,12,1.715910,1.359342,0.179771,0.389719,2.415017,1.715910
target_mp_mean_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.752892,0.642231,0.076651,0.332023,1.328638,0.752892
target_mp_mean_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,1.056926,0.845178,0.110048,0.243305,1.642474,1.056926
target_mp_mean_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,1.365462,1.092261,0.143055,0.310125,1.460838,1.365462
target_mp_mean_mean,source_geometry,knn,model:knn:fit=train,test,12,1.078398,0.874805,0.109790,0.475569,0.711781,1.078398
target_mp_mean_mean,source_geometry,knn,model:knn:fit=train,train,39,0.789455,0.670614,0.082199,0.181733,0.910569,0.789455
target_mp_mean_mean,source_geometry,knn,model:knn:fit=train,val,12,1.100100,0.849360,0.115254,0.249856,1.390004,1.100100
target_mp_mean_mean,source_geometry,extra_trees,model:extra_trees:fit=train,test,12,1.131650,0.923932,0.115212,0.499053,1.400250,1.131650
target_mp_mean_mean,source_geometry,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_mean_mean,source_geometry,extra_trees,model:extra_trees:fit=train,val,12,1.369564,1.094490,0.143485,0.311056,1.561223,1.369564
target_mp_mean_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.752892,0.642231,0.076651,0.332023,1.328638,0.752892
target_mp_mean_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,1.056926,0.845178,0.110048,0.243305,1.642474,1.056926
target_mp_mean_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,1.365462,1.092261,0.143055,0.310125,1.460838,1.365462
