x,y,t,source_layer_index,target_layer_index,target_camera_code,source_p_mean,source_p_nonzero_fraction,source_p_range,source_x_range,source_y_range,source_rows_read,gcode_strategy_id,gcode_layer_line_count,gcode_layer_motion_length,gcode_layer_laser_on_fraction,gcode_layer_l_mean,gcode_layer_l_range,gcode_layer_f_mean,gcode_layer_turn_score_mean,gcode_strategy_line_count,gcode_strategy_motion_length_mean,gcode_strategy_laser_on_fraction_mean,gcode_mode_island,gcode_mode_laser_power,gcode_mode_laser_path,gcode_hatch_space,gcode_laser_density,target_intensity_std,target_center_periphery_contrast,target_grid_mean_range,target_quadrant_contrast,split_name,row_id,source_member_name,target_member_name,gcode_member_name,gcode_strategy_name
-1.811107,-2.760944,2.000000,2,2,0,145.087036,0.805249,235.028177,91.010000,50.810000,3019778.000000,10,1120.000000,2476.191858,0.985714,189.532143,234.000000,794.821429,1.270094,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,27.023576,28.666611,61.278034,20.246848,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0002,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0002.csv,In-situ Meas Data/Layer Camera/A0002.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
0.110425,-2.399388,3.000000,3,3,0,147.934996,0.815874,337.921243,91.010000,50.811000,3572844.000000,12,959.000000,1966.841208,0.983316,188.898853,234.000000,793.952033,1.271015,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,27.457667,28.012340,60.487711,17.902272,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0003,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0003.csv,In-situ Meas Data/Layer Camera/A0003.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.168910,-2.532706,4.000000,4,4,0,142.701208,0.800250,234.901664,91.010000,50.810000,3083028.000000,10,813.000000,1607.425007,0.980320,189.242312,234.000000,792.865929,1.278972,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,28.071861,27.801217,60.079365,17.387136,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0004,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0004.csv,In-situ Meas Data/Layer Camera/A0004.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-1.215392,-0.547020,5.000000,5,5,0,140.633100,0.790935,234.891638,91.010000,50.810995,2983098.000000,12,988.000000,2066.169606,0.983806,188.959514,234.000000,794.129555,1.267619,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,28.082353,27.033710,59.977983,16.850944,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0005,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0005.csv,In-situ Meas Data/Layer Camera/A0005.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-1.965121,-2.947774,6.000000,6,6,0,143.833176,0.806066,234.882388,91.010000,50.810000,3118681.000000,10,1180.000000,2466.748887,0.986441,190.324576,234.000000,794.915254,1.193839,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,28.093828,26.706494,59.056324,15.398016,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0006,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0006.csv,In-situ Meas Data/Layer Camera/A0006.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
0.071529,-2.364212,7.000000,7,7,0,146.913714,0.817918,235.062382,91.010000,50.810000,3613174.000000,12,938.000000,1894.924242,0.982942,188.221748,234.000000,793.816631,1.271744,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,27.864478,27.239855,59.997440,16.093056,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0007,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0007.csv,In-situ Meas Data/Layer Camera/A0007.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.177034,-2.212818,8.000000,8,8,0,141.704339,0.795706,234.853713,91.010000,50.810000,3064493.000000,10,825.000000,1648.682489,0.980606,189.798788,234.000000,792.969697,1.276632,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,26.783186,26.389055,61.896313,20.093824,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0008,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0008.csv,In-situ Meas Data/Layer Camera/A0008.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-1.156758,-0.738172,9.000000,9,9,0,140.942875,0.792798,234.908668,91.010000,50.810000,3016377.000000,12,1008.000000,2107.193438,0.984127,189.001984,234.000000,794.246032,1.266472,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,26.408959,26.532252,62.244240,21.192512,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0009,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0009.csv,In-situ Meas Data/Layer Camera/A0009.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-1.987808,-3.063821,10.000000,10,10,0,144.022902,0.805304,234.929079,91.010000,50.810000,3141757.000000,10,1116.000000,2434.529265,0.985663,190.001792,234.000000,794.802867,1.257402,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,26.121524,27.323489,62.733487,22.114304,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0010,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0010.csv,In-situ Meas Data/Layer Camera/A0010.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
0.122153,-2.371046,11.000000,11,11,0,146.621315,0.816573,234.899933,91.010000,50.810000,3600370.000000,12,921.000000,1862.936698,0.982628,188.308360,234.000000,793.702497,1.271694,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,25.984985,27.211986,61.521249,21.294848,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0011,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0011.csv,In-situ Meas Data/Layer Camera/A0011.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
-2.151555,-2.056640,12.000000,12,12,0,141.322873,0.791932,234.887035,91.010000,50.810000,3046669.000000,10,884.000000,1670.678303,0.981900,189.817873,234.000000,793.212670,1.215876,154572.000000,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,26.043568,27.675667,62.787762,22.996544,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0012,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0012.csv,In-situ Meas Data/Layer Camera/A0012.bmp,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer
-0.965579,-0.896508,13.000000,13,13,0,141.737270,0.794984,234.916000,91.010000,50.810000,3020744.000000,12,1030.000000,2170.616794,0.984466,189.205825,234.000000,794.368932,1.263525,244668.000000,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,26.027428,27.774009,62.460829,22.810176,train,In-situ Meas Data/Layer Camera/A{index}.bmp::0013,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0013.csv,In-situ Meas Data/Layer Camera/A0013.bmp,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,12_cube_Island_Concentric_Interleaved
