target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_intensity_std,mean_guard,mean,constant:mean:fit=train,test,26,2.215968,1.877193,0.081658,0.430270,1.833705,2.215968
target_intensity_std,mean_guard,mean,constant:mean:fit=train,train,76,2.260856,1.963277,0.080036,0.250997,4.335647,2.260856
target_intensity_std,mean_guard,mean,constant:mean:fit=train,val,26,2.104431,1.804473,0.077438,0.429921,1.405813,2.104431
target_intensity_std,xypt_guard,knn,model:knn:fit=train,test,26,2.337710,1.998819,0.086144,0.453908,1.321346,2.337710
target_intensity_std,xypt_guard,knn,model:knn:fit=train,train,76,2.143455,1.963277,0.075880,0.237964,3.138786,2.143455
target_intensity_std,xypt_guard,knn,model:knn:fit=train,val,26,2.191317,1.872561,0.080635,0.447671,1.443860,2.191317
target_intensity_std,xypt_guard,extra_trees,model:extra_trees:fit=train,test,26,2.100086,1.875071,0.077388,0.407769,1.571177,2.100086
target_intensity_std,xypt_guard,extra_trees,model:extra_trees:fit=train,train,76,2.000367,1.963277,0.070814,0.222078,2.507772,2.000367
target_intensity_std,xypt_guard,extra_trees,model:extra_trees:fit=train,val,26,1.991487,1.804473,0.073282,0.406847,1.478373,1.991487
target_intensity_std,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.117279,1.875071,0.078021,0.411107,2.045451,2.117279
target_intensity_std,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.150240,1.963277,0.076120,0.238717,3.812354,2.150240
target_intensity_std,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.053710,1.804473,0.075572,0.419559,1.575645,2.053710
target_intensity_std,gcode_layer_path,knn,model:knn:fit=train,test,26,2.355136,2.006808,0.086786,0.457292,1.937526,2.355136
target_intensity_std,gcode_layer_path,knn,model:knn:fit=train,train,76,2.193610,1.984489,0.077655,0.243532,3.264401,2.193610
target_intensity_std,gcode_layer_path,knn,model:knn:fit=train,val,26,2.609777,2.242172,0.096034,0.533160,1.344797,2.609777
target_intensity_std,gcode_layer_path,extra_trees,model:extra_trees:fit=train,test,26,2.091065,1.875071,0.077055,0.406017,2.175947,2.091065
target_intensity_std,gcode_layer_path,extra_trees,model:extra_trees:fit=train,train,76,2.000367,1.963277,0.070814,0.222078,2.507772,2.000367
target_intensity_std,gcode_layer_path,extra_trees,model:extra_trees:fit=train,val,26,2.624985,2.153923,0.096593,0.536267,0.472020,2.624985
target_intensity_std,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.158832,1.903791,0.079553,0.419176,2.274136,2.158832
target_intensity_std,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.139658,1.969143,0.075745,0.237542,3.663795,2.139658
target_intensity_std,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.188072,1.894783,0.080516,0.447008,1.302181,2.188072
target_intensity_std,gcode_strategy_params,knn,model:knn:fit=train,test,26,2.187904,1.965779,0.080624,0.424821,2.796391,2.187904
target_intensity_std,gcode_strategy_params,knn,model:knn:fit=train,train,76,2.546293,2.092849,0.090141,0.282686,5.356575,2.546293
target_intensity_std,gcode_strategy_params,knn,model:knn:fit=train,val,26,2.137322,1.863597,0.078649,0.436640,2.350709,2.137322
target_intensity_std,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,test,26,2.187422,1.887924,0.080606,0.424727,1.695518,2.187422
target_intensity_std,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,train,76,2.244015,1.963277,0.079440,0.249128,4.248733,2.244015
target_intensity_std,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,val,26,2.063317,1.804473,0.075925,0.421522,1.272564,2.063317
target_intensity_std,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.198542,1.884303,0.081016,0.426886,1.742123,2.198542
target_intensity_std,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.249664,1.963277,0.079640,0.249755,4.302951,2.249664
target_intensity_std,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.078000,1.804473,0.076466,0.424521,1.317382,2.078000
target_intensity_std,gcode_all,knn,model:knn:fit=train,test,26,1.936887,1.875071,0.071374,0.376081,2.595869,1.936887
target_intensity_std,gcode_all,knn,model:knn:fit=train,train,76,2.143549,1.963277,0.075883,0.237974,3.593355,2.143549
target_intensity_std,gcode_all,knn,model:knn:fit=train,val,26,1.926496,1.804473,0.070891,0.393570,2.376929,1.926496
target_intensity_std,gcode_all,extra_trees,model:extra_trees:fit=train,test,26,2.011117,1.875071,0.074109,0.390494,2.443145,2.011117
target_intensity_std,gcode_all,extra_trees,model:extra_trees:fit=train,train,76,2.000367,1.963277,0.070814,0.222078,2.507772,2.000367
target_intensity_std,gcode_all,extra_trees,model:extra_trees:fit=train,val,26,2.115844,1.831760,0.077858,0.432253,1.099567,2.115844
target_intensity_std,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.140972,1.880679,0.078894,0.415708,2.118744,2.140972
target_intensity_std,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.128444,1.964587,0.075348,0.236297,3.637494,2.128444
target_intensity_std,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.150963,1.852732,0.079150,0.439427,1.177525,2.150963
target_intensity_std,layer_time_strategy,knn,model:knn:fit=train,test,26,1.427537,1.281540,0.052604,0.277182,1.087933,1.427537
target_intensity_std,layer_time_strategy,knn,model:knn:fit=train,train,76,0.653384,0.368686,0.023130,0.072538,0.694487,0.653384
target_intensity_std,layer_time_strategy,knn,model:knn:fit=train,val,26,1.221941,0.989822,0.044965,0.249634,0.712173,1.221941
target_intensity_std,layer_time_strategy,extra_trees,model:extra_trees:fit=train,test,26,3.338970,2.709032,0.123040,0.648320,2.162316,3.338970
