strategy_id,strategy_name,gcode_member,generator_member,interpreter_member,gcode_size,gcode_strategy_line_count,gcode_strategy_z_layer_count,gcode_strategy_motion_length_mean,gcode_strategy_laser_on_fraction_mean,gcode_mode_island,gcode_mode_laser_power,gcode_mode_laser_path,gcode_hatch_space,gcode_laser_density,match_source_layer_coverage,mean_abs_source_p_delta,mean_abs_nonzero_fraction_delta,strategy_match_status
1,1_cube_gcode,Build Command Data/AM Gcode/1_cube_gcode/1_cube.gcode,Build Command Data/AM Gcode/1_cube_gcode/Gcode_Generator_par.csv,Build Command Data/AM Gcode/1_cube_gcode/Gcode_interpreter_par.csv,1969053,64745.000000,250,1082.511681,0.527947,0.000000,1.000000,2.000000,0.100000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
2,2_cube_Island,Build Command Data/AM Gcode/2_cube_Island/2_cube_Island.gcode,Build Command Data/AM Gcode/2_cube_Island/Gcode_Generator_par.csv,Build Command Data/AM Gcode/2_cube_Island/Gcode_interpreter_par.csv,4617309,145493.000000,250,1214.585390,0.533091,1.000000,1.000000,2.000000,0.100000,0.001250,0.044000,39.264797,0.251053,matched_registered_source_layers
3,3_cube_Island_Concentric,Build Command Data/AM Gcode/3_cube_Island_Concentric/3_cube_Island_Concentric.gcode,,Build Command Data/AM Gcode/3_cube_Island_Concentric/Gcode_interpreter_par.csv,6382872,237614.000000,250,1981.819134,0.987192,0.000000,1.000000,3.000000,0.000000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
4,4_cube_Island,Build Command Data/AM Gcode/4_cube_Island/4_cube_Island.gcode,Build Command Data/AM Gcode/4_cube_Island/Gcode_Generator_par.csv,Build Command Data/AM Gcode/4_cube_Island/Gcode_interpreter_par.csv,4617309,145493.000000,250,1214.585390,0.533091,1.000000,1.000000,2.000000,0.100000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
5,5_cube_Island,Build Command Data/AM Gcode/5_cube_Island/5_cube_Island.gcode,,Build Command Data/AM Gcode/5_cube_Island/Gcode_interpreter_par.csv,4617309,145493.000000,250,1214.585390,0.533091,0.000000,2.000000,3.000000,0.000000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
6,6_cube_Island_Concentric,Build Command Data/AM Gcode/6_cube_Island_Concentric/6_cube_Island_Concentric.gcode,,Build Command Data/AM Gcode/6_cube_Island_Concentric/Gcode_interpreter_par.csv,6382872,237614.000000,250,1981.819134,0.987192,0.000000,2.000000,3.000000,0.000000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
7,7_cube_Island,Build Command Data/AM Gcode/7_cube_Island/7_cube_Island.gcode,,Build Command Data/AM Gcode/7_cube_Island/Gcode_interpreter_par.csv,4617309,145493.000000,250,1214.585390,0.533091,0.000000,1.000000,1.000000,0.000000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
8,8_cube_Island,Build Command Data/AM Gcode/8_cube_Island/8_cube_Island.gcode,,Build Command Data/AM Gcode/8_cube_Island/Gcode_interpreter_par.csv,4617309,145493.000000,250,1214.585390,0.533091,0.000000,2.000000,1.000000,0.000000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
9,9_cube_Island_Concentric_AltPower,Build Command Data/AM Gcode/9_cube_Island_Concentric_AltPower/9_cube_Island_Concentric_AltPower.gcode,Build Command Data/AM Gcode/9_cube_Island_Concentric_AltPower/9_Gcode_Generator_par.csv,Build Command Data/AM Gcode/9_cube_Island_Concentric_AltPower/Gcode_interpreter_par.csv,6598472,237614.000000,250,1981.819134,0.987192,1.000000,2.000000,3.000000,0.100000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
10,10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer.gcode,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/Gcode_Generator_par.csv,Build Command Data/AM Gcode/10_cube_Island_Concentric_Interleaved_altIslandLayer_altConcentricLayer/Gcode_interpreter_par.csv,4260896,154572.000000,250,1569.403964,0.755662,1.000000,2.000000,3.000000,1.000000,0.001250,0.084000,45.733495,0.179427,matched_registered_source_layers
11,11_cube_Island_Interleaved,Build Command Data/AM Gcode/11_cube_Island_Interleaved/11_cube_Island_Interleaved.gcode,Build Command Data/AM Gcode/11_cube_Island_Interleaved/11_Gcode_Generator_par.csv,Build Command Data/AM Gcode/11_cube_Island_Interleaved/Gcode_interpreter_par.csv,4623407,145493.000000,250,1277.455992,0.533091,1.000000,2.000000,3.000000,0.100000,0.001250,0.000000,0.000000,0.000000,not_selected_by_xypt_match
12,12_cube_Island_Concentric_Interleaved,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_cube_Island_Concentric_Interleaved.gcode,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/12_Gcode_Generator_par.csv,Build Command Data/AM Gcode/12_cube_Island_Concentric_Interleaved/Gcode_interpreter_par.csv,6588403,244668.000000,250,2030.576918,0.983429,1.000000,2.000000,3.000000,0.100000,0.001250,0.128000,43.940570,0.176076,matched_registered_source_layers
