phase117_row_id,Cell-Description,Test-ID,Test-Series,Cell-Format,Trigger-Mechanism,Pressure-Assisted-Seal-Configuration-Positive,Pressure-Assisted-Seal-Configuration-Negative,S-FTRC-Generation,Cell-Capacity-Ah,Cell-Nominal-Voltage-V,Cell-Energy-Wh,Pre-Test-Cell-Open-Circuit-Voltage-V,Pre-Test-Cell-Mass-g,Heater-Power-W,Heater-Time-On-s,Energy-Applied-to-Trigger-kJ,Avg-Cell-Temp-At-Trigger-degC,Corrected-Total-Energy-Yield-kJ,Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,Baseline-Total-Energy-Yield-kJ,Energy-Percent-Positive-Ejecta-%,Energy-Percent-Negative-Ejecta-%,Post-Test-Mass-Unrecovered-g
BFDB-0000,KULR 18650-K330,DLS19_Dec_Run036,DLS19_Dec,18650,Heater (ISC),18650-Aluminum,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.200000000,47.392700000,939.927396027,61.057600000,57.229817080,130.165620000,55.679662693,55.106214719,52.184733563,36.196369409,24.200666396,8.092700000
BFDB-0001,KULR 18650-K330,DLS19_Dec_Run037,DLS19_Dec,18650,Heater (ISC),18650-Aluminum,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.122000000,47.226400000,932.144671860,71.497400000,66.506963508,165.038710000,60.970046076,59.001219652,57.139170283,15.401099129,61.942403884,15.526400000
BFDB-0002,KULR 18650-K330,DLS19_Dec_Run038,DLS19_Dec,18650,Heater (ISC),18650-Brass,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.254000000,47.351800000,950.473240644,84.887300000,80.460988725,219.345550000,62.879184729,59.147359515,56.977465834,88.807672729,1.533549168,20.551800000
BFDB-0003,KULR 18650-K330,DLS19_Dec_Run039,DLS19_Dec,18650,Heater (ISC),18650-Brass,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.119000000,47.369000000,944.002552933,67.972200000,63.890959655,139.851815000,56.111607433,55.186553480,53.058256134,13.367933076,52.615633265,10.369000000
BFDB-0004,KULR 18650-K330,DLS19_Dec_Run041,DLS19_Dec,18650,Heater (ISC),18650-Brass,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.144000000,47.473800000,948.703966743,108.746400000,102.917014911,239.839760000,63.683843009,61.939964171,59.781344896,10.026071944,74.875143139,12.373800000
BFDB-0005,KULR 18650-K330,DLS19_Dec_Run085,DLS19_Dec,18650,Heater (ISC),18650-Aluminum,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.148000000,48.058400000,951.355589809,102.255700000,97.059224154,231.285635000,61.314239685,58.992584501,56.979652491,77.527631193,1.117753315,14.458400000
BFDB-0006,KULR 18650-K330,DLS19_Dec_Run086,DLS19_Dec,18650,Heater (ISC),18650-Brass,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.129000000,47.394000000,950.336508909,104.447200000,99.055564118,223.215160000,54.598820549,53.047247944,50.119100790,6.914579807,76.768485866,12.294000000
BFDB-0007,KULR 18650-K330,DLS19_Dec_Run087,DLS19_Dec,18650,Heater (ISC),18650-Brass,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.124000000,47.441500000,937.413080329,105.914400000,99.060442287,240.427190000,62.788194360,61.103540067,58.511261255,8.029644742,78.478677922,14.341500000
BFDB-0008,KULR 18650-K330,DLS19_Dec_Run088,DLS19_Dec,18650,Heater (ISC),18650-Aluminum,18650-Brass,V10.0,3.300000000,3.600000000,11.880000000,4.117000000,47.411600000,948.688250523,100.249200000,94.932748831,245.009025000,58.841852158,57.204393282,53.807256453,23.724352265,52.966993354,15.011600000
BFDB-0009,KULR 18650-K330,ESRF18_Oct_Run001,ESRF18_Oct,18650,Heater (Non-ISC),18650-Brass,18650-Brass,V9.0,3.300000000,3.600000000,11.880000000,4.141000000,47.411400000,965.358318134,61.316000000,59.447108987,296.684220000,59.716875154,58.218167023,56.271120876,24.866122452,44.574037870,12.956200000
