target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
Corrected-Total-Energy-Yield-kJ,mean,mean,train,227,24.796740870,20.293895692,0.000000000,1.000000000
Corrected-Total-Energy-Yield-kJ,mean,mean,val,84,30.488296707,24.501072486,-0.002036681,1.229528383
Corrected-Total-Energy-Yield-kJ,mean,mean,test,54,22.978932725,20.499348634,-0.386039927,0.926691651
Corrected-Total-Energy-Yield-kJ,cell_pretest,knn,train,227,7.311767009,5.176176331,0.913052824,0.294868065
Corrected-Total-Energy-Yield-kJ,cell_pretest,knn,val,84,18.899371252,12.150021437,0.614954539,0.762171583
Corrected-Total-Energy-Yield-kJ,cell_pretest,knn,test,54,11.110974339,8.260769585,0.675943809,0.448082044
Corrected-Total-Energy-Yield-kJ,cell_pretest,extra_trees,train,227,2.930032390,1.164298973,0.986037743,0.118161996
Corrected-Total-Energy-Yield-kJ,cell_pretest,extra_trees,val,84,24.942010779,17.224894212,0.329374257,1.005858427
Corrected-Total-Energy-Yield-kJ,cell_pretest,extra_trees,test,54,6.357883852,5.004771587,0.893893690,0.256399980
Corrected-Total-Energy-Yield-kJ,cell_pretest,hist_gradient_boosting,train,227,6.131779071,4.417656825,0.938851784,0.247281653
Corrected-Total-Energy-Yield-kJ,cell_pretest,hist_gradient_boosting,val,84,14.848459623,11.580562400,0.762326862,0.598806904
Corrected-Total-Energy-Yield-kJ,cell_pretest,hist_gradient_boosting,test,54,7.377666236,5.915576936,0.857125724,0.297525642
Corrected-Total-Energy-Yield-kJ,trigger_numeric,knn,train,227,9.950302723,6.884555605,0.838978681,0.401274618
Corrected-Total-Energy-Yield-kJ,trigger_numeric,knn,val,84,31.871702934,22.041300165,-0.095034578,1.285318224
Corrected-Total-Energy-Yield-kJ,trigger_numeric,knn,test,54,9.051683561,7.556647918,0.784932513,0.365035212
Corrected-Total-Energy-Yield-kJ,trigger_numeric,extra_trees,train,227,5.333123171,1.479521131,0.953743367,0.215073553
Corrected-Total-Energy-Yield-kJ,trigger_numeric,extra_trees,val,84,24.371913444,18.030855342,0.359680763,0.982867610
Corrected-Total-Energy-Yield-kJ,trigger_numeric,extra_trees,test,54,8.744066300,7.329017233,0.799302059,0.352629660
Corrected-Total-Energy-Yield-kJ,trigger_numeric,hist_gradient_boosting,train,227,8.471802308,4.699128654,0.883275394,0.341649830
Corrected-Total-Energy-Yield-kJ,trigger_numeric,hist_gradient_boosting,val,84,23.389734809,16.531250610,0.410250080,0.943258428
Corrected-Total-Energy-Yield-kJ,trigger_numeric,hist_gradient_boosting,test,54,8.216126812,6.716279001,0.822805474,0.331338979
Corrected-Total-Energy-Yield-kJ,cell_trigger_safe,knn,train,227,8.299201141,6.049464274,0.887983145,0.334689191
