column,non_missing,numeric_non_missing,unique_values,role,min,max,std
Cell-Description,365,0,31,split_or_shortcut_audit,,,
Test-ID,365,0,365,split_or_shortcut_audit,,,
Test-Series,365,0,11,split_or_shortcut_audit,,,
S-FTRC-Generation,365,0,4,safe_input_feature,,,
Test-Date,365,365,44,metadata_or_unused,1507075200000000.000000000,1618531200000000.000000000,37418993417612.773437500
Cell-Format,365,338,3,safe_input_feature,18650.000000000,21700.000000000,1135.651572085
Cell-Capacity-Ah,365,365,15,safe_input_feature,2.100000000,5.013774105,0.946959751
Cell-Nominal-Voltage-V,365,365,7,safe_input_feature,3.597733711,3.700000000,0.023436162
Cell-Energy-Wh,365,365,15,safe_input_feature,7.665000000,18.200000000,3.397221742
Trigger-Mechanism,365,0,3,safe_input_feature,,,
Pre-Test-Cell-Open-Circuit-Voltage-V,365,286,154,safe_input_feature,2.200000000,5.945000000,0.367884504
Pre-Test-Cell-Mass-g,365,365,271,safe_input_feature,38.127400000,112.676000000,19.006625751
Pre-Test-Positive-Copper-Mesh-Mass-g,365,365,94,metadata_or_unused,37.000000000,56.700000000,5.131760546
Pre-Test-Negative-Copper-Mesh-Mass-g,365,365,81,metadata_or_unused,0.000000000,56.000000000,5.894455414
Pressure-Assisted-Seal-Configuration-Positive,365,0,6,safe_input_feature,,,
Pressure-Assisted-Seal-Configuration-Negative,365,0,5,safe_input_feature,,,
Cell-Failure-Mechanism,365,0,8,metadata_or_unused,,,
Baseline-Total-Energy-Yield-kJ,365,365,365,candidate_target,1.244684036,104.613007564,23.736537909
Conductive-Heat-Loss-Rate-kJs-1,365,365,118,metadata_or_unused,0.000100000,0.085000000,0.015046747
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,365,365,365,candidate_target,1.370345937,106.543905318,24.273080534
Corrected-Total-Energy-Yield-kJ,365,365,365,candidate_target,1.370371330,110.833034305,25.919696765
Energy-Fraction-Cell-Body-kJ,365,364,364,derived_target_family,0.000000000,45.140128856,8.754707767
Energy-Fraction-Positive-Ejecta-kJ,365,364,359,derived_target_family,0.000000000,89.326101652,21.427471925
Energy-Fraction-Negative-Ejecta-kJ,365,364,357,derived_target_family,0.000000000,87.123792424,15.700827263
Energy-Percent-Cell-Body-%,365,364,358,derived_target_family,0.000000000,100.000000000,21.658997140
Energy-Percent-Positive-Ejecta-%,365,364,358,candidate_target,0.000000000,100.000000000,27.134059682
Energy-Percent-Negative-Ejecta-%,365,364,357,candidate_target,0.000000000,88.007086566,20.878797180
Theoretical-Energy-Positive-Unrecovered-Mass-kJ,365,365,359,metadata_or_unused,-0.001086738,15.092997632,2.726939154
Theoretical-Energy-Negative-Unrecovered-Mass-kJ,365,365,112,metadata_or_unused,0.000000000,6.459695299,0.844690292
Heater-Power-W,365,311,257,safe_input_feature,0.000000000,1148.738623629,375.700422098
Heater-Time-On-s,365,310,256,safe_input_feature,0.000000000,555.830800056,59.787785795
Energy-Applied-to-Trigger-kJ,365,310,254,safe_input_feature,0.000000000,228.720611795,43.403004831
Avg-Cell-Temp-At-Trigger-degC,365,311,312,safe_input_feature,12.215195000,361.551920000,97.021811658
Post-Test-Mass-Cell-Body-g,365,365,328,post_test_not_input,1.700000000,97.100000000,16.826364921
Post-Test-Mass-Positive-Ejecta-Mating-g,365,365,211,post_test_not_input,0.000000000,17.600000000,3.984151883
Post-Test-Mass-Positive-Ejecta-Bore-Baffles-g,365,365,244,post_test_not_input,0.000000000,27.310000000,4.676502024
Post-Test-Mass-Positive-Copper-Mesh-g,365,365,187,post_test_not_input,0.000000000,8.800000000,1.222931119
Post-Test-Mass-Negative-Ejecta-Mating-g,365,365,94,post_test_not_input,0.000000000,19.628700000,1.668801293
Post-Test-Mass-Negative-Ejecta-Bore-Baffles-g,365,365,115,post_test_not_input,0.000000000,19.040000000,3.350095233
Post-Test-Mass-Negative-Copper-Mesh-g,365,365,89,post_test_not_input,0.000000000,8.000000000,0.831961596
Post-Test-Mass-Unrecovered-g,365,365,353,candidate_target,-3.841900000,32.700000000,6.898223425
Cell-Casing-Thickness-µm,365,210,5,metadata_or_unused,150.000000000,380.000000000,51.722858044
Bottom-Vent-Yes-No,365,0,2,metadata_or_unused,,,
