target,split_id,group_column,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_pretest,admissible,knn,227,84,54,3.321605146,6.421482640,2.288616315,7.101409205,4.254806491,0.679926565,1.966190176,0.095745301,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_pretest,admissible,extra_trees,227,84,54,1.374420729,6.218718696,2.577173896,7.101409205,4.254806491,0.882690509,1.677632595,0.124297936,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_pretest,admissible,hist_gradient_boosting,227,84,54,2.707630314,4.955552977,2.162961159,7.101409205,4.254806491,2.145856228,2.091845332,0.302173296,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,trigger_only,admissible,knn,227,84,54,5.713433191,6.718062287,4.951636045,7.101409205,4.254806491,0.383346918,-0.696829554,0.053981809,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,trigger_only,admissible,extra_trees,227,84,54,3.976654524,6.264593622,4.859929924,7.101409205,4.254806491,0.836815583,-0.605123434,0.117837961,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,trigger_only,admissible,hist_gradient_boosting,227,84,54,4.576791774,7.073432086,6.281609248,7.101409205,4.254806491,0.027977119,-2.026802757,0.003939657,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_trigger_safe,admissible,knn,227,84,54,3.294973716,6.114841144,2.650930581,7.101409205,4.254806491,0.986568061,1.603875910,0.138925674,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_trigger_safe,admissible,extra_trees,227,84,54,0.000610120,5.309933073,2.304362541,7.101409205,4.254806491,1.791476132,1.950443950,0.252270511,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_trigger_safe,admissible,hist_gradient_boosting,227,84,54,1.626223645,4.284535505,2.472577417,7.101409205,4.254806491,2.816873700,1.782229074,0.396664045,true,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_trigger_no_pretest_mass,admissible,knn,227,84,54,3.295404328,6.130548485,2.627228713,7.101409205,4.254806491,0.970860720,1.627577778,0.136713812,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_trigger_no_pretest_mass,admissible,extra_trees,227,84,54,0.201386608,6.121631873,2.391922370,7.101409205,4.254806491,0.979777332,1.862884121,0.137969423,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_trigger_no_pretest_mass,admissible,hist_gradient_boosting,227,84,54,1.811500164,5.454572327,2.437919811,7.101409205,4.254806491,1.646836878,1.816886679,0.231902828,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_mass_only,scaling_control,knn,227,84,54,4.083880134,5.809880513,2.990155134,7.101409205,4.254806491,1.291528692,1.264651357,0.181869352,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_mass_only,scaling_control,extra_trees,227,84,54,2.041669191,7.149842396,3.510595890,7.101409205,4.254806491,-0.048433191,0.744210600,-0.006820223,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_mass_only,scaling_control,hist_gradient_boosting,227,84,54,3.429478094,6.358734594,2.667106218,7.101409205,4.254806491,0.742674610,1.587700273,0.104581301,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,series_shortcut,negative_control,knn,227,84,54,6.911417115,6.774597354,6.290678709,7.101409205,4.254806491,0.326811850,-2.035872218,0.046020704,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,series_shortcut,negative_control,extra_trees,227,84,54,5.525131924,6.048787931,6.509227266,7.101409205,4.254806491,1.052621273,-2.254420775,0.148227097,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,series_shortcut,negative_control,hist_gradient_boosting,227,84,54,5.603188245,6.023087486,6.497624129,7.101409205,4.254806491,1.078321719,-2.242817638,0.151846160,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_description_shortcut,negative_control,knn,227,84,54,5.035854271,10.526937673,8.295659708,7.101409205,4.254806491,-3.425528468,-4.040853217,-0.482373057,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_description_shortcut,negative_control,extra_trees,227,84,54,4.141875730,5.690360412,2.893754104,7.101409205,4.254806491,1.411048793,1.361052387,0.198699829,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,cell_description_shortcut,negative_control,hist_gradient_boosting,227,84,54,4.797707501,5.816511740,2.801132234,7.101409205,4.254806491,1.284897465,1.453674257,0.180935562,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,target_family_leakage,negative_control,knn,227,84,54,3.628424834,6.186201132,2.801832393,7.101409205,4.254806491,0.915208073,1.452974097,0.128876966,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,target_family_leakage,negative_control,extra_trees,227,84,54,0.000000000,4.954948270,2.490406788,7.101409205,4.254806491,2.146460935,1.764399703,0.302258449,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,target_family_leakage,negative_control,hist_gradient_boosting,227,84,54,1.507284178,4.957944527,3.186091264,7.101409205,4.254806491,2.143464678,1.068715227,0.301836525,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,target_family_plus_shortcuts,negative_control,knn,227,84,54,3.239967834,6.294922570,10.209307320,7.101409205,4.254806491,0.806486634,-5.954500829,0.113567126,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,target_family_plus_shortcuts,negative_control,extra_trees,227,84,54,0.000000000,3.501483343,2.662929474,7.101409205,4.254806491,3.599925861,1.591877017,0.506931196,false,false
Post-Test-Mass-Unrecovered-g,phase117_registered_split,Cell-Description,target_family_plus_shortcuts,negative_control,hist_gradient_boosting,227,84,54,1.417799834,3.206082440,3.054985794,7.101409205,4.254806491,3.895326765,1.199820697,0.548528701,false,true
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_pretest,admissible,knn,188,117,60,3.223950280,5.068404303,3.592358882,6.715202292,4.852397579,1.646797990,1.260038696,0.245234308,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,cell_pretest,admissible,extra_trees,188,117,60,0.870144782,4.961713149,4.259872940,6.715202292,4.852397579,1.753489143,0.592524638,0.261122311,true,false
