target,split_id,group_column,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_pretest,admissible,knn,227,84,54,7.311767009,18.899371252,11.110974339,30.488296707,22.978932725,11.588925455,11.867958385,0.380110623,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_pretest,admissible,extra_trees,227,84,54,2.930032390,25.293719792,6.217826964,30.488296707,22.978932725,5.194576915,16.761105761,0.170379374,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_pretest,admissible,hist_gradient_boosting,227,84,54,6.204291516,15.017079613,7.802794105,30.488296707,22.978932725,15.471217094,15.176138620,0.507447735,true,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,trigger_only,admissible,knn,227,84,54,19.567505970,35.277436699,26.302251518,30.488296707,22.978932725,-4.789139992,-3.323318794,-0.157081258,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,trigger_only,admissible,extra_trees,227,84,54,12.076387392,32.790791133,21.310154730,30.488296707,22.978932725,-2.302494426,1.668777994,-0.075520599,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,trigger_only,admissible,hist_gradient_boosting,227,84,54,14.569951360,34.460812148,21.509689474,30.488296707,22.978932725,-3.972515441,1.469243251,-0.130296405,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_trigger_safe,admissible,knn,227,84,54,8.299201141,20.982454559,7.279707257,30.488296707,22.978932725,9.505842147,15.699225468,0.311786593,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_trigger_safe,admissible,extra_trees,227,84,54,0.000000000,19.203778419,6.941345720,30.488296707,22.978932725,11.284518288,16.037587005,0.370126229,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_trigger_safe,admissible,hist_gradient_boosting,227,84,54,4.726265458,16.432765217,6.735730798,30.488296707,22.978932725,14.055531490,16.243201927,0.461013996,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_trigger_no_pretest_mass,admissible,knn,227,84,54,8.301689015,20.970791045,7.268275509,30.488296707,22.978932725,9.517505662,15.710657216,0.312169150,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_trigger_no_pretest_mass,admissible,extra_trees,227,84,54,0.050451409,20.304276286,6.172154201,30.488296707,22.978932725,10.184020420,16.806778524,0.334030481,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_trigger_no_pretest_mass,admissible,hist_gradient_boosting,227,84,54,5.686933062,17.940535827,6.901472729,30.488296707,22.978932725,12.547760880,16.077459995,0.411559918,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_mass_only,scaling_control,knn,227,84,54,14.510974775,25.583561095,14.466148119,30.488296707,22.978932725,4.904735612,8.512784606,0.160872733,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_mass_only,scaling_control,extra_trees,227,84,54,7.331514664,27.777134870,10.833858408,30.488296707,22.978932725,2.711161837,12.145074317,0.088924674,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_mass_only,scaling_control,hist_gradient_boosting,227,84,54,10.932630429,26.414520691,12.527762677,30.488296707,22.978932725,4.073776015,10.451170048,0.133617698,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,series_shortcut,negative_control,knn,227,84,54,23.952162218,30.334986737,31.532613850,30.488296707,22.978932725,0.153309970,-8.553681125,0.005028486,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,series_shortcut,negative_control,extra_trees,227,84,54,18.274824896,31.623875225,25.661974422,30.488296707,22.978932725,-1.135578519,-2.683041698,-0.037246375,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,series_shortcut,negative_control,hist_gradient_boosting,227,84,54,18.588767294,31.464445459,25.526976234,30.488296707,22.978932725,-0.976148753,-2.548043509,-0.032017163,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_description_shortcut,negative_control,knn,227,84,54,22.851596117,42.658533394,45.066683925,30.488296707,22.978932725,-12.170236688,-22.087751200,-0.399177324,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_description_shortcut,negative_control,extra_trees,227,84,54,16.517959704,31.461225634,19.727933088,30.488296707,22.978932725,-0.972928927,3.250999637,-0.031911554,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,cell_description_shortcut,negative_control,hist_gradient_boosting,227,84,54,20.127519437,31.519190425,19.696046608,30.488296707,22.978932725,-1.030893718,3.282886117,-0.033812768,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,target_family_leakage,negative_control,knn,227,84,54,3.502247275,5.676810148,2.733999971,30.488296707,22.978932725,24.811486558,20.244932754,0.813803631,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,target_family_leakage,negative_control,extra_trees,227,84,54,0.000000000,2.333281435,2.154563132,30.488296707,22.978932725,28.155015272,20.824369593,0.923469604,false,true
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,target_family_leakage,negative_control,hist_gradient_boosting,227,84,54,1.486671531,4.349815426,3.146946904,30.488296707,22.978932725,26.138481281,19.831985821,0.857328356,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,target_family_plus_shortcuts,negative_control,knn,227,84,54,8.579591655,18.759723062,29.328788404,30.488296707,22.978932725,11.728573644,-6.349855679,0.384691010,false,false
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,target_family_plus_shortcuts,negative_control,extra_trees,227,84,54,0.000000000,2.727459415,1.950748293,30.488296707,22.978932725,27.760837291,21.028184432,0.910540774,false,false
