target,split_id,group_column,split_salt,split_viable,split_reason,train_rows,val_rows,test_rows,mean_val_rmse,mean_test_rmse,best_admissible_profile,best_admissible_method,best_admissible_val_rmse,best_admissible_test_rmse,best_admissible_val_gain_vs_mean,best_admissible_test_gain_vs_mean,best_admissible_relative_val_gain,split_pass,best_negative_profile,best_negative_method,best_negative_val_rmse,best_negative_test_rmse,negative_control_dominates
Corrected-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,phase117,true,ok,227,84,54,30.488296707,22.978932725,cell_pretest,hist_gradient_boosting,15.017079613,7.802794105,15.471217094,15.176138620,0.507447735,true,target_family_leakage,extra_trees,2.333281435,2.154563132,true
Corrected-Total-Energy-Yield-kJ,cell_description_hash_0,Cell-Description,phase118_cell_0,true,ok,188,117,60,31.300262781,20.635003273,cell_pretest,knn,14.085738157,9.299401755,17.214524624,11.335601519,0.549980195,true,target_family_leakage,extra_trees,3.154824306,2.388162737,true
Corrected-Total-Energy-Yield-kJ,cell_description_hash_1,Cell-Description,phase118_cell_1,true,ok,220,98,47,26.945372531,25.285180651,cell_trigger_no_pretest_mass,extra_trees,10.402417319,12.373934175,16.542955211,12.911246477,0.613944201,true,target_family_leakage,extra_trees,2.221399806,1.711453761,true
Corrected-Total-Energy-Yield-kJ,cell_description_hash_2,Cell-Description,phase118_cell_2,true,ok,195,97,73,32.106057771,18.231969617,cell_pretest,extra_trees,16.452568994,9.098994493,15.653488778,9.132975124,0.487555616,true,target_family_leakage,extra_trees,2.232716760,2.301834083,true
Corrected-Total-Energy-Yield-kJ,cell_description_hash_3,Cell-Description,phase118_cell_3,true,ok,240,44,81,16.856403704,25.490784860,cell_pretest,extra_trees,9.285361312,11.786240407,7.571042392,13.704544453,0.449149328,true,target_family_plus_shortcuts,hist_gradient_boosting,2.131917334,2.244451196,true
Corrected-Total-Energy-Yield-kJ,cell_description_hash_4,Cell-Description,phase118_cell_4,true,ok,221,64,80,32.615184983,26.093384952,cell_pretest,hist_gradient_boosting,11.920254662,17.792685537,20.694930321,8.300699415,0.634518257,true,target_family_leakage,extra_trees,1.911943115,2.523354834,true
Corrected-Total-Energy-Yield-kJ,test_series_hash,Test-Series,phase118_series,true,ok,233,64,68,24.091386377,24.846001396,cell_trigger_safe,extra_trees,8.394841761,6.680784397,15.696544617,18.165216999,0.651541774,true,target_family_leakage,extra_trees,1.850526859,1.806549919,true
Corrected-Total-Energy-Yield-kJ,s_ftrc_generation_hash,S-FTRC-Generation,phase118_generation,true,ok,226,62,77,23.159166909,23.173638993,cell_trigger_no_pretest_mass,extra_trees,8.092479821,14.662731230,15.066687088,8.510907763,0.650571204,true,target_family_leakage,extra_trees,1.036109382,4.313899056,true
Corrected-Total-Energy-Yield-kJ,trigger_mechanism_hash,Trigger-Mechanism,phase118_trigger,true,ok,156,99,110,19.927199454,36.121113430,cell_pretest,hist_gradient_boosting,6.062588934,35.799429462,13.864610519,0.321683969,0.695763123,true,target_family_leakage,extra_trees,1.797830021,9.749959433,true
Corrected-Total-Energy-Yield-kJ,cell_format_hash,Cell-Format,phase118_format,true,ok,56,282,27,42.350863967,12.003417040,cell_pretest,extra_trees,18.626904005,10.875301210,23.723959962,1.128115830,0.560176529,true,target_family_plus_shortcuts,extra_trees,3.891309639,2.947161082,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,phase117_registered_split,Cell-Description,phase117,true,ok,227,84,54,28.945798574,20.963438902,cell_pretest,hist_gradient_boosting,13.493712581,7.048447216,15.452085993,13.914991686,0.533828284,true,target_family_leakage,extra_trees,2.554486368,0.782490053,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_description_hash_0,Cell-Description,phase118_cell_0,true,ok,188,117,60,30.439815664,18.787171235,cell_pretest,knn,13.483785123,8.615633475,16.956030540,10.171537760,0.557034600,true,target_family_leakage,extra_trees,4.429986013,1.507736548,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_description_hash_1,Cell-Description,phase118_cell_1,true,ok,220,98,47,24.828623603,23.384986491,cell_trigger_safe,extra_trees,8.723255294,9.352660836,16.105368309,14.032325655,0.648661342,true,target_family_leakage,extra_trees,2.549451712,0.704430839,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_description_hash_2,Cell-Description,phase118_cell_2,true,ok,195,97,73,30.482843565,17.093793478,cell_pretest,extra_trees,16.302205187,7.691938902,14.180638378,9.401854576,0.465200641,true,target_family_leakage,extra_trees,2.561989682,2.632340988,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_description_hash_3,Cell-Description,phase118_cell_3,true,ok,240,44,81,14.816896096,24.725261624,cell_trigger_no_pretest_mass,extra_trees,7.050426414,8.288278255,7.766469681,16.436983370,0.524163066,true,target_family_leakage,extra_trees,1.414625790,1.153960661,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,cell_description_hash_4,Cell-Description,phase118_cell_4,true,ok,221,64,80,30.752441508,24.554388079,cell_pretest,hist_gradient_boosting,11.490770702,16.179054435,19.261670806,8.375333644,0.626346068,true,target_family_leakage,extra_trees,0.586944793,3.031461759,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,test_series_hash,Test-Series,phase118_series,true,ok,233,64,68,22.574952716,24.313984223,cell_trigger_no_pretest_mass,extra_trees,8.217237260,7.291585460,14.357715456,17.022398763,0.636002017,true,target_family_plus_shortcuts,extra_trees,1.752453941,2.617039986,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,s_ftrc_generation_hash,S-FTRC-Generation,phase118_generation,true,ok,226,62,77,22.202472144,18.562366929,cell_trigger_no_pretest_mass,extra_trees,7.592429736,10.892758384,14.610042408,7.669608545,0.658036741,true,target_family_plus_shortcuts,extra_trees,1.137081842,3.444831247,true
Baseline-Plus-Heat-Loss-Total-Energy-Yield-kJ,trigger_mechanism_hash,Trigger-Mechanism,phase118_trigger,true,ok,156,99,110,18.336602339,34.343706035,cell_pretest,extra_trees,5.198759969,30.234295907,13.137842371,4.109410128,0.716481828,true,target_family_plus_shortcuts,extra_trees,1.440265545,9.833119333,true
