phase120_row_id,composition,yield_strength_mpa,dominant_non_fe_element,alloy_family_key,composition_hash16,element_count,non_fe_fraction,transition_fraction,light_fraction,refractory_fraction,entropy_fraction,frac_Fe,frac_C,frac_Mn,frac_Si,frac_Cr,frac_Ni,frac_Mo,frac_V,frac_N,frac_Nb,frac_Co,frac_W,frac_Al,frac_Ti
MBSTEEL-0000,Fe0.620C0.000953Mn0.000521Si0.00102Cr0.000110Ni0.192Mo0.0176V0.000112Nb0.0000616Co0.146Al0.00318Ti0.0185,2411.500000000,Ni,Co+Ni,f7299f38f2dd19c5,12,0.380035710,0.958687780,0.005152703,0.036271511,1.077569339,0.619964290,0.000952945,0.000520970,0.001019941,0.000109994,0.191988941,0.017598986,0.000111994,0.000000000,0.000061596,0.145991591,0.000000000,0.003179817,0.018498934
MBSTEEL-0001,Fe0.623C0.00854Mn0.000104Si0.000203Cr0.147Ni0.0000971Mo0.0179V0.00515N0.00163Nb0.0000614Co0.188W0.00729Al0.000845,1123.100000000,Co,Co+Cr,3caf7a0ed07951dc,13,0.376888151,0.963524053,0.011220014,0.030406858,1.087189985,0.623111849,0.008541533,0.000104019,0.000203036,0.147026391,0.000097117,0.017903214,0.005150925,0.001630293,0.000061411,0.188033752,0.007291309,0.000845152,0.000000000
MBSTEEL-0002,Fe0.625Mn0.000102Si0.000200Cr0.0936Ni0.129Mo0.00480V0.000110Nb0.0000604Co0.132Al0.00812Ti0.00669,1736.300000000,Co,Co+Cr+Ni,cdefa0e3349d540a,11,0.374801437,0.980123287,0.008322643,0.011664105,1.149431843,0.625198563,0.000000000,0.000102032,0.000200064,0.093629737,0.129040983,0.004801525,0.000110035,0.000000000,0.000060419,0.132041937,0.000000000,0.008122580,0.006692125
MBSTEEL-0003,Fe0.634C0.000478Mn0.000523Si0.00102Cr0.000111Ni0.173Mo0.0237V0.000113Nb0.0000619Co0.146Al0.00277Ti0.0176,2487.300000000,Ni,Co+Mo+Ni,d315c50c829bdb75,12,0.365604708,0.954341650,0.004270661,0.041500759,1.066783061,0.634395292,0.000478298,0.000523326,0.001020636,0.000111069,0.173107864,0.023714777,0.000113070,0.000000000,0.000061939,0.146091029,0.000000000,0.002771727,0.017610973
MBSTEEL-0004,Fe0.636C0.000474Mn0.000518Si0.00101Cr0.000109Ni0.188Mo0.00860V0.000112Nb0.0000612Co0.144Al0.00274Ti0.0184,2249.600000000,Ni,Co+Ni,9d7ec7dd10ee1cc3,12,0.364015391,0.968715557,0.004223898,0.027172542,1.028799346,0.635984609,0.000473989,0.000517987,0.001009976,0.000108997,0.187995451,0.008599792,0.000111997,0.000000000,0.000061199,0.143996515,0.000000000,0.002739934,0.018399555
MBSTEEL-0005,Fe0.636C0.00881Mn0.000203Si0.00972Cr0.135Ni0.00892Mo0.0114V0.000109Nb0.0000600Co0.190Al0.000620,1328.300000000,Co,Co+Cr,92b89a4ce2dcba54,11,0.364535061,0.969415752,0.019133889,0.011559267,1.061360367,0.635464939,0.008802588,0.000202829,0.009711823,0.134886426,0.008912496,0.011390409,0.000108908,0.000000000,0.000059950,0.189840155,0.000000000,0.000619478,0.000000000
MBSTEEL-0006,Fe0.644Mn0.000521Si0.00102Cr0.000110Ni0.177Mo0.0215V0.000112Nb0.0000617Co0.126Al0.00234Ti0.0269,2501.100000000,Ni,Co+Mo+Ni+Ti,0dc1b7881d634be1,11,0.355719545,0.948155732,0.003361463,0.048594853,1.058494556,0.644280455,0.000000000,0.000521227,0.001020444,0.000110048,0.177077082,0.021509363,0.000112049,0.000000000,0.000061727,0.126054872,0.000000000,0.002341019,0.026911715
MBSTEEL-0007,Fe0.646C0.00479Mn0.00597Si0.00492Cr0.135Ni0.0000980Mo0.0534V0.000113N0.000821Nb0.0000619Co0.148Al0.000640,1228.900000000,Co,Co+Cr+Mo,0dfdb852d1320bfd,12,0.353879757,0.935355070,0.011173079,0.053584872,1.087219058,0.646120243,0.004790892,0.005971111,0.004920916,0.135025128,0.000098018,0.053409940,0.000113021,0.000821153,0.000061912,0.148027548,0.000000000,0.000640119,0.000000000
MBSTEEL-0008,Fe0.648C0.000453Mn0.0000991Si0.0386Cr0.183Ni0.0195Mo0.000113V0.000107Nb0.0000586Co0.109Al0.000605Ti0.000569,1088.600000000,Cr,Co+Cr+Si,453d865c426b0527,12,0.352067838,0.959605629,0.039653848,0.000847511,1.051624883,0.647932162,0.000452953,0.000099090,0.038595959,0.182980842,0.019497959,0.000112988,0.000106989,0.000000000,0.000058594,0.108988589,0.000000000,0.000604937,0.000568940
MBSTEEL-0009,Fe0.648C0.00751Mn0.000103Si0.000201Cr0.158Ni0.0000961Mo0.0288V0.00531N0.00201Nb0.0000607Co0.149Al0.000836,1502.000000000,Cr,Co+Cr+Mo,7b7de9b9e33e0bf5,12,0.351952563,0.960579414,0.010557773,0.034173201,1.045605801,0.648047437,0.007510550,0.000103008,0.000201015,0.158011566,0.000096107,0.028802108,0.005310389,0.002010147,0.000060704,0.149010908,0.000000000,0.000836061,0.000000000
MBSTEEL-0010,Fe0.650C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.000113Nb0.0000617Co0.126Al0.00170Ti0.0225,2411.500000000,Ni,Co+Mo+Ni+Ti,367a5a99802b1a5e,12,0.350002405,0.952741475,0.003196988,0.044174537,1.042785926,0.649997595,0.000476998,0.000521998,0.001019996,0.000110000,0.175999349,0.021499920,0.000113000,0.000000000,0.000061700,0.125999534,0.000000000,0.001699994,0.022499917
MBSTEEL-0011,Fe0.652Mn0.000522Si0.00102Cr0.000110Ni0.177Mo0.0209V0.000113Nb0.0000617Co0.126Al0.00212Ti0.0194,2331.100000000,Ni,Co+Mo+Ni,f821cf89fe69ecbf,11,0.347508478,0.956465505,0.003142367,0.040505213,1.030365883,0.652491522,0.000000000,0.000522394,0.001020769,0.000110083,0.177133435,0.020915756,0.000113085,0.000000000,0.000061747,0.126094987,0.000000000,0.002121598,0.019414625
MBSTEEL-0012,Fe0.655C0.00752Mn0.000103Si0.000201Cr0.147Ni0.0000961Mo0.0276V0.00443N0.00161Nb0.0000607Co0.155Al0.000836,1274.700000000,Co,Co+Cr+Mo,6ae3a76b830566f1,12,0.344644011,0.962151741,0.010172526,0.032108141,1.028255297,0.655355989,0.007524087,0.000103056,0.000201109,0.147079894,0.000096152,0.027615000,0.004432408,0.001610875,0.000060733,0.155084242,0.000000000,0.000836454,0.000000000
MBSTEEL-0013,Fe0.655Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.00563Nb0.0000617Co0.117Al0.000425Ti0.0228,2402.300000000,Ni,Co+Mo+Ni+Ti,2314fa79b54dec64,11,0.345044995,0.954196447,0.001444901,0.049988266,1.047725887,0.654955005,0.000000000,0.000521964,0.001019930,0.000109992,0.175987910,0.021498523,0.005629613,0.000000000,0.000061696,0.116991963,0.000000000,0.000424971,0.022798434
