target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
yield_strength_mpa,mean,mean,train,244,250.739826233,200.667454985,0.000000000,1.000000000
yield_strength_mpa,mean,mean,val,32,506.017441374,406.234221311,-0.105656105,2.018097599
yield_strength_mpa,mean,mean,test,36,370.151296272,227.732559199,-0.007680409,1.476236551
yield_strength_mpa,core_element_fractions,knn,train,244,123.355815767,85.971311475,0.757968095,0.491967382
yield_strength_mpa,core_element_fractions,knn,val,32,415.424519793,278.161328125,0.254799138,1.656795117
yield_strength_mpa,core_element_fractions,knn,test,36,281.654491354,183.764583333,0.416558082,1.123293797
yield_strength_mpa,core_element_fractions,extra_trees,train,244,0.000000000,0.000000000,1.000000000,0.000000000
yield_strength_mpa,core_element_fractions,extra_trees,val,32,381.618497669,327.166109375,0.371148747,1.521970017
yield_strength_mpa,core_element_fractions,extra_trees,test,36,232.963411694,158.032750000,0.600846721,0.929104144
yield_strength_mpa,core_element_fractions,hist_gradient_boosting,train,244,43.118978798,25.810780819,0.970427347,0.171967012
yield_strength_mpa,core_element_fractions,hist_gradient_boosting,val,32,540.619156730,440.793048888,-0.262036621,2.156096081
yield_strength_mpa,core_element_fractions,hist_gradient_boosting,test,36,301.736856002,179.066581607,0.330391454,1.203386237
yield_strength_mpa,all_element_fractions,knn,train,244,127.107259182,87.702049180,0.743023111,0.506928880
yield_strength_mpa,all_element_fractions,knn,val,32,376.061711017,260.008203125,0.389328951,1.499808454
yield_strength_mpa,all_element_fractions,knn,test,36,290.773040722,178.987152778,0.378168752,1.159660374
yield_strength_mpa,all_element_fractions,extra_trees,train,244,0.000000000,0.000000000,1.000000000,0.000000000
yield_strength_mpa,all_element_fractions,extra_trees,val,32,312.853894001,267.309765625,0.577358416,1.247723183
yield_strength_mpa,all_element_fractions,extra_trees,test,36,189.031178196,124.484375000,0.737196498,0.753893711
yield_strength_mpa,all_element_fractions,hist_gradient_boosting,train,244,33.190805787,19.690592737,0.982477787,0.132371496
yield_strength_mpa,all_element_fractions,hist_gradient_boosting,val,32,524.202065034,420.645736997,-0.186551385,2.090621474
yield_strength_mpa,all_element_fractions,hist_gradient_boosting,test,36,285.696175683,168.496802643,0.399693398,1.139412833
yield_strength_mpa,composition_descriptors,knn,train,244,124.056396361,86.009579918,0.755211122,0.494761435
yield_strength_mpa,composition_descriptors,knn,val,32,398.300345652,269.429296875,0.314968626,1.588500525
yield_strength_mpa,composition_descriptors,knn,test,36,318.065281907,188.248958333,0.255959117,1.268507228
yield_strength_mpa,composition_descriptors,extra_trees,train,244,0.000000000,0.000000000,1.000000000,0.000000000
yield_strength_mpa,composition_descriptors,extra_trees,val,32,330.564727290,273.675250000,0.528152002,1.318357487
yield_strength_mpa,composition_descriptors,extra_trees,test,36,201.762114661,133.820416667,0.700605714,0.804667203
yield_strength_mpa,composition_descriptors,hist_gradient_boosting,train,244,32.340389878,17.608969349,0.983364193,0.128979869
yield_strength_mpa,composition_descriptors,hist_gradient_boosting,val,32,503.513379281,403.039628710,-0.094740350,2.008110905
yield_strength_mpa,composition_descriptors,hist_gradient_boosting,test,36,285.336212310,174.698099568,0.401205159,1.137977228
yield_strength_mpa,alloy_family_descriptor,knn,train,244,153.227045391,104.651280738,0.626557094,0.611099751
yield_strength_mpa,alloy_family_descriptor,knn,val,32,489.634094024,406.215234375,-0.035219388,1.952757571
yield_strength_mpa,alloy_family_descriptor,knn,test,36,339.881724360,206.850694444,0.150389459,1.355515514
yield_strength_mpa,alloy_family_descriptor,extra_trees,train,244,0.000000000,0.000000000,1.000000000,0.000000000
yield_strength_mpa,alloy_family_descriptor,extra_trees,val,32,458.672035713,360.511468750,0.091565496,1.829274761
yield_strength_mpa,alloy_family_descriptor,extra_trees,test,36,337.764844565,231.992500000,0.160939733,1.347072979
yield_strength_mpa,alloy_family_descriptor,hist_gradient_boosting,train,244,56.235941496,37.825936544,0.949698458,0.224280053
yield_strength_mpa,alloy_family_descriptor,hist_gradient_boosting,val,32,359.432200379,290.053776242,0.442142779,1.433486677
yield_strength_mpa,alloy_family_descriptor,hist_gradient_boosting,test,36,256.082007817,226.981149378,0.517694296,1.021305676
yield_strength_mpa,composition_hash_shortcut,knn,train,244,280.677677101,246.044313525,-0.253052035,1.119398068
yield_strength_mpa,composition_hash_shortcut,knn,val,32,488.625736761,396.164062500,-0.030959897,1.948736043
yield_strength_mpa,composition_hash_shortcut,knn,test,36,423.743052958,382.005555556,-0.320594391,1.689971072
yield_strength_mpa,composition_hash_shortcut,extra_trees,train,244,0.000000000,0.000000000,1.000000000,0.000000000
yield_strength_mpa,composition_hash_shortcut,extra_trees,val,32,554.488915579,428.387500000,-0.327623201,2.211411422
yield_strength_mpa,composition_hash_shortcut,extra_trees,test,36,398.587499456,204.580555556,-0.168453986,1.589645751
yield_strength_mpa,composition_hash_shortcut,hist_gradient_boosting,train,244,250.739826233,200.667454985,0.000000000,1.000000000
yield_strength_mpa,composition_hash_shortcut,hist_gradient_boosting,val,32,506.017441374,406.234221311,-0.105656105,2.018097599
yield_strength_mpa,composition_hash_shortcut,hist_gradient_boosting,test,36,370.151296272,227.732559199,-0.007680409,1.476236551
