column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase120_row_id,312,0,312,composition_group_or_descriptor,,,
composition,312,0,312,identity_or_shortcut_audit,,,
yield_strength_mpa,312,312,270,target,1005.900000000,2510.300000000,301.894168597
dominant_non_fe_element,312,0,3,composition_group_or_descriptor,,,
alloy_family_key,312,0,26,composition_group_or_descriptor,,,
composition_hash16,312,0,312,identity_or_shortcut_audit,,,
element_count,312,312,4,composition_feature,10.000000000,13.000000000,0.547368705
non_fe_fraction,312,312,312,composition_feature,0.139666190,0.380035710,0.051466924
transition_fraction,312,312,312,composition_feature,0.893748616,0.997444701,0.013716394
light_fraction,312,312,312,composition_feature,0.001248967,0.106083038,0.011952777
refractory_fraction,312,312,312,composition_feature,0.000272436,0.068422718,0.014294366
entropy_fraction,312,312,312,composition_feature,0.573012926,1.149431843,0.131214079
frac_Fe,312,312,312,composition_feature,0.619964290,0.860333810,0.051466924
frac_C,312,312,286,composition_feature,0.000000000,0.020105654,0.005088564
frac_Mn,312,312,311,composition_feature,0.000099041,0.030008576,0.003994275
frac_Si,312,312,311,composition_feature,0.000196833,0.089978065,0.011228753
frac_Cr,312,312,310,composition_feature,0.000102089,0.185965578,0.058074181
frac_Ni,312,312,312,composition_feature,0.000094900,0.202840952,0.061217092
frac_Mo,312,312,312,composition_feature,0.000111096,0.057567371,0.010889034
frac_V,312,312,309,composition_feature,0.000000000,0.047420101,0.004991944
frac_N,312,312,44,composition_feature,0.000000000,0.006012675,0.000734344
frac_Nb,312,312,310,composition_feature,0.000000000,0.015200958,0.000981953
frac_Co,312,312,311,composition_feature,0.000090278,0.189840155,0.059680630
frac_W,312,312,17,composition_feature,0.000000000,0.029301055,0.002905537
frac_Al,312,312,312,composition_feature,0.000207859,0.037613880,0.007022409
frac_Ti,312,312,195,composition_feature,0.000000000,0.029509422,0.006606512
