target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase121_guard_profile,phase121_guard_method,phase121_guard_val_rmse,phase121_guard_test_rmse,phase120_selected_profile,phase120_selected_method,phase120_selected_val_rmse,phase120_selected_test_rmse,val_gain_vs_phase121,relative_val_gain_vs_phase121,test_gain_vs_phase121,test_reversal_ratio_vs_phase121,val_gain_vs_phase120,test_gain_vs_phase120,clears_phase121_validation_guard,clears_phase121_test_guard,selected_low_capacity
yield_strength_mpa,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,9,180.076834061,422.812208502,334.265302751,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.952451970,-0.672121394,-108.550424889,1.480918342,-109.958314501,-145.234124555,false,false,false
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,9,180.076834061,422.812208245,334.265301305,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.952451714,-0.672121393,-108.550423444,1.480918336,-109.958314244,-145.234123110,false,false,false
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,9,180.076834061,422.812182821,334.265158230,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.952426289,-0.672121292,-108.550280369,1.480917702,-109.958288820,-145.233980035,false,false,false
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.01,0.010000000,,9,180.076835049,422.809642153,334.250855588,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.949885621,-0.672111244,-108.535977726,1.480854336,-109.955748152,-145.219677392,false,false,false
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,9,180.086426184,422.572705095,332.868030530,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.712948564,-0.671174215,-107.153152669,1.474727912,-109.718811095,-143.836852335,false,false,false
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,9,180.820888848,421.643919133,323.751901223,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-168.784162601,-0.667501088,-98.037023362,1.434340103,-108.790025132,-134.720723028,false,false,false
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=100,100.000000000,,9,196.260267695,437.287171765,316.175944975,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-184.427415233,-0.729366419,-90.461067113,1.400775828,-124.433277764,-127.144766779,false,false,false
yield_strength_mpa,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,9,180.076834061,422.812187435,334.265277337,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.952430904,-0.672121310,-108.550399475,1.480918230,-109.958293435,-145.234099142,false,false,false
yield_strength_mpa,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,9,180.076834061,422.811997811,334.265048523,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.952241279,-0.672120560,-108.550170662,1.480917216,-109.958103810,-145.233870328,false,false,false
yield_strength_mpa,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,9,180.076834101,422.810101382,334.262759518,minor_elements_only,extra_trees,252.859756532,225.714877862,all_element_fractions,extra_trees,312.853894001,189.031178196,-169.950344850,-0.672113061,-108.547881656,1.480907075,-109.956207381,-145.231581322,false,false,false
