target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_C,180.739347605,34001.177654411,180.739347605,1,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_Mn,-7.944232144,-3292.113981076,7.944232144,8,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_Si,11.925761843,954.964420552,11.925761843,7,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_V,12.408284103,3491.404475929,12.408284103,6,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_N,-1.923926045,-2349.154891242,1.923926045,9,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_Nb,-23.226776983,-44137.454445001,23.226776983,4,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_W,-13.073817265,-4061.803825977,13.073817265,5,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_Al,95.602662007,18691.946247217,95.602662007,3,1093.566866626
yield_strength_mpa,false,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,frac_Ti,150.528185629,25907.375175584,150.528185629,2,1093.566866626
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_C,180.739344983,34001.177161117,180.739344983,1,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_Mn,-7.944232426,-3292.114098023,7.944232426,8,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_Si,11.925761265,954.964374285,11.925761265,7,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_V,12.408284966,3491.404718875,12.408284966,6,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_N,-1.923926480,-2349.155422135,1.923926480,9,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_Nb,-23.226776643,-44137.453798903,23.226776643,4,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_W,-13.073817119,-4061.803780734,13.073817119,5,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_Al,95.602660571,18691.945966556,95.602660571,3,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,frac_Ti,150.528183936,25907.374884207,150.528183936,2,1093.566870885
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,frac_C,180.739085386,34001.128325048,180.739085386,1,1093.567292572
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,frac_Mn,-7.944260364,-3292.125675710,7.944260364,8,1093.567292572
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,frac_Si,11.925704063,954.959793783,11.925704063,7,1093.567292572
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,frac_V,12.408370444,3491.428770407,12.408370444,6,1093.567292572
yield_strength_mpa,false,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,frac_N,-1.923969524,-2349.207980380,1.923969524,9,1093.567292572
