phase120_row_id,composition,yield_strength_mpa,dominant_non_fe_element,alloy_family_key,composition_hash16,element_count,non_fe_fraction,transition_fraction,light_fraction,refractory_fraction,entropy_fraction,frac_Fe,frac_C,frac_Mn,frac_Si,frac_Cr,frac_Ni,frac_Mo,frac_V,frac_N,frac_Nb,frac_Co,frac_W,frac_Al,frac_Ti,phase122_C_x_Cr,phase122_C_x_Mo,phase122_C_x_V,phase122_C_x_Nb,phase122_C_x_W,phase122_C_x_Ti,phase122_Al_x_Ti,phase122_Ni_x_Ti,phase122_Mo_x_Ni,phase122_Cr_x_Ni,phase122_Co_x_Ni,phase122_Cr_x_Mo,phase122_C_x_Ni,phase122_C_x_Co,phase122_solid_solution_weighted,phase122_precipitation_carbon_sum,phase122_gamma_stabilizer_fraction,phase122_carbide_former_fraction,phase122_light_transition_interaction,phase122_refractory_transition_interaction,phase122_gamma_carbide_interaction,phase122_entropy_non_fe_interaction,phase122_refractory_to_transition,phase122_light_to_non_fe
MBSTEEL-0000,Fe0.620C0.000953Mn0.000521Si0.00102Cr0.000110Ni0.192Mo0.0176V0.000112Nb0.0000616Co0.146Al0.00318Ti0.0185,2411.500000000,Ni,Co+Ni,f7299f38f2dd19c5,12,0.380035710,0.958687780,0.005152703,0.036271511,1.077569339,0.619964290,0.000952945,0.000520970,0.001019941,0.000109994,0.191988941,0.017598986,0.000111994,0.000000000,0.000061596,0.145991591,0.000000000,0.003179817,0.018498934,0.000000105,0.000016771,0.000000107,0.000000059,0.000000000,0.000017628,0.000058823,0.003551591,0.003378811,0.000021118,0.028028771,0.000001936,0.000182955,0.000139122,0.343331624,0.000034670,0.338501502,0.036381504,0.004939833,0.034773054,0.012315194,0.409514829,0.037834540,0.013558471
MBSTEEL-0001,Fe0.623C0.00854Mn0.000104Si0.000203Cr0.147Ni0.0000971Mo0.0179V0.00515N0.00163Nb0.0000614Co0.188W0.00729Al0.000845,1123.100000000,Co,Co+Cr,3caf7a0ed07951dc,13,0.376888151,0.963524053,0.011220014,0.030406858,1.087189985,0.623111849,0.008541533,0.000104019,0.000203036,0.147026391,0.000097117,0.017903214,0.005150925,0.001630293,0.000061411,0.188033752,0.007291309,0.000845152,0.000000000,0.001255831,0.000152921,0.000043997,0.000000525,0.000062279,0.000000000,0.000000000,0.000000000,0.000001739,0.000014279,0.000018261,0.002632245,0.000000830,0.001606096,0.292042021,0.001515552,0.189865181,0.177433250,0.010810753,0.029297739,0.033688396,0.409749023,0.031557965,0.029770143
MBSTEEL-0002,Fe0.625Mn0.000102Si0.000200Cr0.0936Ni0.129Mo0.00480V0.000110Nb0.0000604Co0.132Al0.00812Ti0.00669,1736.300000000,Co,Co+Cr+Ni,cdefa0e3349d540a,11,0.374801437,0.980123287,0.008322643,0.011664105,1.149431843,0.625198563,0.000000000,0.000102032,0.000200064,0.093629737,0.129040983,0.004801525,0.000110035,0.000000000,0.000060419,0.132041937,0.000000000,0.008122580,0.006692125,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000054357,0.000863558,0.000619594,0.012082073,0.017038821,0.000449566,0.000000000,0.000000000,0.318802052,0.000000000,0.261184952,0.105293841,0.008157216,0.011432261,0.027501167,0.430808706,0.011900651,0.022205472
MBSTEEL-0003,Fe0.634C0.000478Mn0.000523Si0.00102Cr0.000111Ni0.173Mo0.0237V0.000113Nb0.0000619Co0.146Al0.00277Ti0.0176,2487.300000000,Ni,Co+Mo+Ni,d315c50c829bdb75,12,0.365604708,0.954341650,0.004270661,0.041500759,1.066783061,0.634395292,0.000478298,0.000523326,0.001020636,0.000111069,0.173107864,0.023714777,0.000113070,0.000000000,0.000061939,0.146091029,0.000000000,0.002771727,0.017610973,0.000000053,0.000011343,0.000000054,0.000000030,0.000000000,0.000008423,0.000048813,0.003048598,0.004105214,0.000019227,0.025289506,0.000002634,0.000082797,0.000069875,0.331269314,0.000019903,0.319722219,0.041611828,0.004075670,0.039605903,0.013304226,0.390020910,0.043486270,0.011681089
MBSTEEL-0004,Fe0.636C0.000474Mn0.000518Si0.00101Cr0.000109Ni0.188Mo0.00860V0.000112Nb0.0000612Co0.144Al0.00274Ti0.0184,2249.600000000,Ni,Co+Ni,9d7ec7dd10ee1cc3,12,0.364015391,0.968715557,0.004223898,0.027172542,1.028799346,0.635984609,0.000473989,0.000517987,0.001009976,0.000108997,0.187995451,0.008599792,0.000111997,0.000000000,0.000061199,0.143996515,0.000000000,0.002739934,0.018399555,0.000000052,0.000004076,0.000000053,0.000000029,0.000000000,0.000008721,0.000050414,0.003459033,0.001616722,0.000020491,0.027070690,0.000000937,0.000089108,0.000068253,0.327638571,0.000012931,0.332509953,0.027281540,0.004091756,0.026322464,0.009071384,0.374498796,0.028050073,0.011603625
MBSTEEL-0005,Fe0.636C0.00881Mn0.000203Si0.00972Cr0.135Ni0.00892Mo0.0114V0.000109Nb0.0000600Co0.190Al0.000620,1328.300000000,Co,Co+Cr,92b89a4ce2dcba54,11,0.364535061,0.969415752,0.019133889,0.011559267,1.061360367,0.635464939,0.008802588,0.000202829,0.009711823,0.134886426,0.008912496,0.011390409,0.000108908,0.000000000,0.000059950,0.189840155,0.000000000,0.000619478,0.000000000,0.001187350,0.000100265,0.000000959,0.000000528,0.000000000,0.000000000,0.000000000,0.000000000,0.000101517,0.001202175,0.001691950,0.001536412,0.000078453,0.001671085,0.289713262,0.001289101,0.198955480,0.146445693,0.018548693,0.011205736,0.029136173,0.386903066,0.011923952,0.052488474
MBSTEEL-0006,Fe0.644Mn0.000521Si0.00102Cr0.000110Ni0.177Mo0.0215V0.000112Nb0.0000617Co0.126Al0.00234Ti0.0269,2501.100000000,Ni,Co+Mo+Ni+Ti,0dc1b7881d634be1,11,0.355719545,0.948155732,0.003361463,0.048594853,1.058494556,0.644280455,0.000000000,0.000521227,0.001020444,0.000110048,0.177077082,0.021509363,0.000112049,0.000000000,0.000061727,0.126054872,0.000000000,0.002341019,0.026911715,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000063001,0.004765448,0.003808815,0.000019487,0.022321429,0.000002367,0.000000000,0.000000000,0.314778424,0.000000000,0.303653181,0.048704902,0.003187190,0.046075488,0.014789398,0.376527202,0.051251974,0.009449756
MBSTEEL-0007,Fe0.646C0.00479Mn0.00597Si0.00492Cr0.135Ni0.0000980Mo0.0534V0.000113N0.000821Nb0.0000619Co0.148Al0.000640,1228.900000000,Co,Co+Cr+Mo,0dfdb852d1320bfd,12,0.353879757,0.935355070,0.011173079,0.053584872,1.087219058,0.646120243,0.004790892,0.005971111,0.004920916,0.135025128,0.000098018,0.053409940,0.000113021,0.000821153,0.000061912,0.148027548,0.000000000,0.000640119,0.000000000,0.000646891,0.000255881,0.000000541,0.000000297,0.000000000,0.000000000,0.000000000,0.000000000,0.000005235,0.000013235,0.000014509,0.007211684,0.000000470,0.000709184,0.290456054,0.000903610,0.154917830,0.188610001,0.010450796,0.050120882,0.029219052,0.384744816,0.057288268,0.031573094
MBSTEEL-0008,Fe0.648C0.000453Mn0.0000991Si0.0386Cr0.183Ni0.0195Mo0.000113V0.000107Nb0.0000586Co0.109Al0.000605Ti0.000569,1088.600000000,Cr,Co+Cr+Si,453d865c426b0527,12,0.352067838,0.959605629,0.039653848,0.000847511,1.051624883,0.647932162,0.000452953,0.000099090,0.038595959,0.182980842,0.019497959,0.000112988,0.000106989,0.000000000,0.000058594,0.108988589,0.000000000,0.000604937,0.000568940,0.000082882,0.000000051,0.000000048,0.000000027,0.000000000,0.000000258,0.000000344,0.000011093,0.000002203,0.003567753,0.002125055,0.000020675,0.000008832,0.000049367,0.257416989,0.000083266,0.128585638,0.183828353,0.038052056,0.000813276,0.023637686,0.370243299,0.000883187,0.112631271
MBSTEEL-0009,Fe0.648C0.00751Mn0.000103Si0.000201Cr0.158Ni0.0000961Mo0.0288V0.00531N0.00201Nb0.0000607Co0.149Al0.000836,1502.000000000,Cr,Co+Cr+Mo,7b7de9b9e33e0bf5,12,0.351952563,0.960579414,0.010557773,0.034173201,1.045605801,0.648047437,0.007510550,0.000103008,0.000201015,0.158011566,0.000096107,0.028802108,0.005310389,0.002010147,0.000060704,0.149010908,0.000000000,0.000836061,0.000000000,0.001186754,0.000216320,0.000039884,0.000000456,0.000000000,0.000000000,0.000000000,0.000000000,0.000002768,0.000015186,0.000014321,0.004551066,0.000000722,0.001119154,0.276597847,0.001443413,0.151220170,0.192184767,0.010141579,0.032826073,0.029062213,0.368003642,0.035575612,0.029997716
MBSTEEL-0010,Fe0.650C0.000477Mn0.000522Si0.00102Cr0.000110Ni0.176Mo0.0215V0.000113Nb0.0000617Co0.126Al0.00170Ti0.0225,2411.500000000,Ni,Co+Mo+Ni+Ti,367a5a99802b1a5e,12,0.350002405,0.952741475,0.003196988,0.044174537,1.042785926,0.649997595,0.000476998,0.000521998,0.001019996,0.000110000,0.175999349,0.021499920,0.000113000,0.000000000,0.000061700,0.125999534,0.000000000,0.001699994,0.022499917,0.000000052,0.000010255,0.000000054,0.000000029,0.000000000,0.000010732,0.000038250,0.003959971,0.003783972,0.000019360,0.022175836,0.000002365,0.000083951,0.000060102,0.313640640,0.000021124,0.302520881,0.044284537,0.003045903,0.042086914,0.013396997,0.364977582,0.046365712,0.009134189
MBSTEEL-0011,Fe0.652Mn0.000522Si0.00102Cr0.000110Ni0.177Mo0.0209V0.000113Nb0.0000617Co0.126Al0.00212Ti0.0194,2331.100000000,Ni,Co+Mo+Ni,f821cf89fe69ecbf,11,0.347508478,0.956465505,0.003142367,0.040505213,1.030365883,0.652491522,0.000000000,0.000522394,0.001020769,0.000110083,0.177133435,0.020915756,0.000113085,0.000000000,0.000061747,0.126094987,0.000000000,0.002121598,0.019414625,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000041190,0.003438979,0.003704880,0.000019499,0.022335638,0.000002302,0.000000000,0.000000000,0.314218501,0.000000000,0.303750816,0.040615296,0.003005566,0.038741839,0.012336929,0.358060880,0.042348849,0.009042562
MBSTEEL-0012,Fe0.655C0.00752Mn0.000103Si0.000201Cr0.147Ni0.0000961Mo0.0276V0.00443N0.00161Nb0.0000607Co0.155Al0.000836,1274.700000000,Co,Co+Cr+Mo,6ae3a76b830566f1,12,0.344644011,0.962151741,0.010172526,0.032108141,1.028255297,0.655355989,0.007524087,0.000103056,0.000201109,0.147079894,0.000096152,0.027615000,0.004432408,0.001610875,0.000060733,0.155084242,0.000000000,0.000836454,0.000000000,0.001106642,0.000207778,0.000033350,0.000000457,0.000000000,0.000000000,0.000000000,0.000000000,0.000002655,0.000014142,0.000014912,0.004061611,0.000000723,0.001166867,0.273105951,0.001348226,0.156894325,0.179188035,0.009787514,0.030892904,0.028113586,0.354382030,0.033371182,0.029516039
