target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
yield_strength_mpa,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,train,244,9,180.076834061,132.724620760,0.484214591,0.718182017
yield_strength_mpa,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,val,32,9,422.812208502,346.968258292,0.228058955,1.686258680
yield_strength_mpa,minor_element_linear,ordinary_least_squares,ordinary_least_squares,,,test,36,9,334.265302751,285.608111712,0.178236471,1.333116114
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,train,244,9,180.076834061,132.724620846,0.484214591,0.718182017
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,val,32,9,422.812208245,346.968257936,0.228058956,1.686258679
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1e-06,0.000001000,,test,36,9,334.265301305,285.608109398,0.178236478,1.333116108
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,train,244,9,180.076834061,132.724629375,0.484214591,0.718182017
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,val,32,9,422.812182821,346.968222700,0.228059049,1.686258578
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.0001,0.000100000,,test,36,9,334.265158230,285.607880344,0.178237181,1.333115538
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.01,0.010000000,,train,244,9,180.076835049,132.725482173,0.484214585,0.718182021
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.01,0.010000000,,val,32,9,422.809642153,346.964699700,0.228068326,1.686248445
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=0.01,0.010000000,,test,36,9,334.250855588,285.584978684,0.178307504,1.333058496
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,train,244,9,180.086426184,132.810091414,0.484159641,0.718220272
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,val,32,9,422.572705095,346.618650417,0.228933245,1.685303493
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=1,1.000000000,,test,36,9,332.868030530,283.331893891,0.185092267,1.327543516
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,train,244,9,180.820888848,133.938079827,0.479943465,0.721149454
yield_strength_mpa,minor_element_linear,ridge,ridge;alpha=10,10.000000000,,val,32,9,421.643919133,343.962267161,0.232319024,1.681599311
