feature,source,mechanism_role,expression,profiles,min,max,std
entropy_fraction,phase120,composition_descriptor,entropy_fraction,solid_solution_proxy;mechanism_compact,0.573012926,1.149431843,0.131214079
frac_Al,phase120,element_fraction,normalized atomic fraction of Al,minor_element_linear;all_element_linear;precipitation_proxy;mechanism_compact;mechanism_interaction_full,0.000207859,0.037613880,0.007022409
frac_C,phase120,element_fraction,normalized atomic fraction of C,minor_element_linear;all_element_linear;precipitation_proxy;mechanism_compact;mechanism_interaction_full,0.000000000,0.020105654,0.005088564
frac_Co,phase120,element_fraction,normalized atomic fraction of Co,all_element_linear;transition_interaction_proxy;mechanism_compact;mechanism_interaction_full,0.000090278,0.189840155,0.059680630
frac_Cr,phase120,element_fraction,normalized atomic fraction of Cr,all_element_linear;transition_interaction_proxy;mechanism_compact;mechanism_interaction_full,0.000102089,0.185965578,0.058074181
frac_Fe,phase120,element_fraction,normalized atomic fraction of Fe,all_element_linear;mechanism_interaction_full,0.619964290,0.860333810,0.051466924
frac_Mn,phase120,element_fraction,normalized atomic fraction of Mn,minor_element_linear;all_element_linear;transition_interaction_proxy;mechanism_interaction_full,0.000099041,0.030008576,0.003994275
frac_Mo,phase120,element_fraction,normalized atomic fraction of Mo,all_element_linear;transition_interaction_proxy;mechanism_compact;mechanism_interaction_full,0.000111096,0.057567371,0.010889034
frac_N,phase120,element_fraction,normalized atomic fraction of N,minor_element_linear;all_element_linear;precipitation_proxy;mechanism_interaction_full,0.000000000,0.006012675,0.000734344
frac_Nb,phase120,element_fraction,normalized atomic fraction of Nb,minor_element_linear;all_element_linear;mechanism_compact;mechanism_interaction_full,0.000000000,0.015200958,0.000981953
frac_Ni,phase120,element_fraction,normalized atomic fraction of Ni,all_element_linear;transition_interaction_proxy;mechanism_compact;mechanism_interaction_full,0.000094900,0.202840952,0.061217092
frac_Si,phase120,element_fraction,normalized atomic fraction of Si,minor_element_linear;all_element_linear;mechanism_interaction_full,0.000196833,0.089978065,0.011228753
frac_Ti,phase120,element_fraction,normalized atomic fraction of Ti,minor_element_linear;all_element_linear;precipitation_proxy;mechanism_compact;mechanism_interaction_full,0.000000000,0.029509422,0.006606512
frac_V,phase120,element_fraction,normalized atomic fraction of V,minor_element_linear;all_element_linear;mechanism_compact;mechanism_interaction_full,0.000000000,0.047420101,0.004991944
frac_W,phase120,element_fraction,normalized atomic fraction of W,minor_element_linear;all_element_linear;mechanism_compact;mechanism_interaction_full,0.000000000,0.029301055,0.002905537
light_fraction,phase120,composition_descriptor,light_fraction,solid_solution_proxy,0.001248967,0.106083038,0.011952777
non_fe_fraction,phase120,composition_descriptor,non_fe_fraction,solid_solution_proxy;mechanism_compact,0.139666190,0.380035710,0.051466924
phase122_Al_x_Ti,phase122,aluminum_titanium_precipitation,frac_Al * frac_Ti,precipitation_proxy;mechanism_interaction_full,0.000000000,0.000231963,0.000032949
