target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
gap_expt_ev,mean,mean,train,2674,1.409519222,1.111659645,0.000000000,1.000000000
gap_expt_ev,mean,mean,val,944,1.360703707,1.076982311,-0.000437377,0.965367258
gap_expt_ev,mean,mean,test,986,1.611991946,1.229949836,-0.015606710,1.143646656
gap_expt_ev,common_element_fractions,knn,train,2674,1.133752458,0.695444403,0.353014605,0.804354024
gap_expt_ev,common_element_fractions,knn,val,944,1.189142902,0.754395304,0.235934010,0.843651426
gap_expt_ev,common_element_fractions,knn,test,986,1.470373575,0.917469574,0.155002927,1.043173836
gap_expt_ev,common_element_fractions,extra_trees,train,2674,0.757936387,0.264162910,0.710849793,0.537726889
gap_expt_ev,common_element_fractions,extra_trees,val,944,1.105982034,0.653751031,0.339064746,0.784651970
gap_expt_ev,common_element_fractions,extra_trees,test,986,1.549603796,0.896492297,0.061485104,1.099384649
gap_expt_ev,common_element_fractions,hist_gradient_boosting,train,2674,0.971883523,0.562267460,0.524570164,0.689514203
gap_expt_ev,common_element_fractions,hist_gradient_boosting,val,944,1.058198699,0.669085290,0.394941704,0.750751520
gap_expt_ev,common_element_fractions,hist_gradient_boosting,test,986,1.435517470,0.889837921,0.194590420,1.018444763
gap_expt_ev,all_element_fractions,knn,train,2674,1.098671289,0.708222700,0.392433884,0.779465275
gap_expt_ev,all_element_fractions,knn,val,944,1.169748545,0.783234463,0.260653876,0.829891871
gap_expt_ev,all_element_fractions,knn,test,986,1.324630981,0.908675625,0.314212376,0.939775038
gap_expt_ev,all_element_fractions,extra_trees,train,2674,0.011810648,0.000456245,0.999929789,0.008379203
gap_expt_ev,all_element_fractions,extra_trees,val,944,0.945756211,0.490091698,0.516695124,0.670977874
gap_expt_ev,all_element_fractions,extra_trees,test,986,1.248904623,0.625539955,0.390381170,0.886050082
gap_expt_ev,all_element_fractions,hist_gradient_boosting,train,2674,0.718678324,0.436516973,0.740027694,0.509874794
gap_expt_ev,all_element_fractions,hist_gradient_boosting,val,944,0.887847096,0.580658299,0.574069117,0.629893571
gap_expt_ev,all_element_fractions,hist_gradient_boosting,test,986,1.175547501,0.742406920,0.459892520,0.834006009
gap_expt_ev,chemistry_descriptors,knn,train,2674,0.923720939,0.500702132,0.570523336,0.655344691
gap_expt_ev,chemistry_descriptors,knn,val,944,0.897974978,0.482309322,0.564296304,0.637078916
gap_expt_ev,chemistry_descriptors,knn,test,986,1.237362491,0.695742901,0.401597058,0.877861381
gap_expt_ev,chemistry_descriptors,extra_trees,train,2674,0.011810648,0.000456245,0.999929789,0.008379203
gap_expt_ev,chemistry_descriptors,extra_trees,val,944,0.716673324,0.387866018,0.722472993,0.508452324
gap_expt_ev,chemistry_descriptors,extra_trees,test,986,1.053100051,0.578157645,0.566549913,0.747134225
gap_expt_ev,chemistry_descriptors,hist_gradient_boosting,train,2674,0.367963571,0.219717577,0.931849720,0.261056086
gap_expt_ev,chemistry_descriptors,hist_gradient_boosting,val,944,0.774097737,0.453507788,0.676216757,0.549192749
gap_expt_ev,chemistry_descriptors,hist_gradient_boosting,test,986,1.011482111,0.597061084,0.600132379,0.717607887
gap_expt_ev,common_plus_descriptors,knn,train,2674,0.967501272,0.515741710,0.528847952,0.686405163
gap_expt_ev,common_plus_descriptors,knn,val,944,1.033256554,0.548914195,0.423128464,0.733056022
gap_expt_ev,common_plus_descriptors,knn,test,986,1.282025075,0.732745098,0.357618736,0.909547777
gap_expt_ev,common_plus_descriptors,extra_trees,train,2674,0.052242709,0.004311892,0.998626245,0.037064205
gap_expt_ev,common_plus_descriptors,extra_trees,val,944,0.766534861,0.407754513,0.682512527,0.543827178
gap_expt_ev,common_plus_descriptors,extra_trees,test,986,1.115844267,0.601794199,0.513360901,0.791648847
gap_expt_ev,common_plus_descriptors,hist_gradient_boosting,train,2674,0.437422523,0.257878558,0.903692463,0.310334556
gap_expt_ev,common_plus_descriptors,hist_gradient_boosting,val,944,0.771835070,0.457233870,0.678106810,0.547587473
gap_expt_ev,common_plus_descriptors,hist_gradient_boosting,test,986,1.026859022,0.615461456,0.587882105,0.728517218
gap_expt_ev,chemistry_family_descriptor,knn,train,2674,1.298105721,1.004105273,0.151839346,0.920956380
gap_expt_ev,chemistry_family_descriptor,knn,val,944,1.472012356,1.223994527,-0.170808007,1.044336489
gap_expt_ev,chemistry_family_descriptor,knn,test,986,1.686379349,1.394319642,-0.111502330,1.196421675
gap_expt_ev,chemistry_family_descriptor,extra_trees,train,2674,0.013924951,0.000912491,0.999902401,0.009879220
gap_expt_ev,chemistry_family_descriptor,extra_trees,val,944,0.881365542,0.449853681,0.580265268,0.625295156
gap_expt_ev,chemistry_family_descriptor,extra_trees,test,986,1.222569119,0.617019840,0.415820019,0.867366049
gap_expt_ev,chemistry_family_descriptor,hist_gradient_boosting,train,2674,0.473925083,0.280759319,0.886948226,0.336231727
gap_expt_ev,chemistry_family_descriptor,hist_gradient_boosting,val,944,0.788713391,0.461592536,0.663874701,0.559561997
gap_expt_ev,chemistry_family_descriptor,hist_gradient_boosting,test,986,1.091324990,0.657853360,0.534512496,0.774253357
gap_expt_ev,composition_hash_shortcut,knn,train,2674,1.304664106,1.030367427,0.143247417,0.925609304
gap_expt_ev,composition_hash_shortcut,knn,val,944,1.360410466,1.085421963,-0.000006222,0.965159215
gap_expt_ev,composition_hash_shortcut,knn,test,986,1.608354856,1.236293103,-0.011028914,1.141066280
