column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase123_row_id,4604,0,4604,chemistry_group_or_descriptor,,,
composition,4604,0,4604,identity_or_shortcut_audit,,,
gap_expt_ev,4604,4604,476,target,0.000000000,11.700000000,1.445034328
dominant_element,4604,0,80,chemistry_group_or_descriptor,,,
chemistry_family_key,4604,0,2590,chemistry_group_or_descriptor,,,
composition_hash16,4604,4,4604,identity_or_shortcut_audit,3702541450190.000000000,,
element_count,4604,4604,3,chemistry_feature,2.000000000,4.000000000,0.707645009
entropy_fraction,4604,4604,778,chemistry_feature,0.007907255,1.386294361,0.216293673
max_fraction,4604,4604,296,chemistry_feature,0.250000000,0.999000000,0.117838853
anion_fraction,4604,4604,318,chemistry_feature,0.000000000,1.000000000,0.302422760
oxygen_fraction,4604,4604,166,chemistry_feature,0.000000000,0.769230769,0.242105788
chalcogen_fraction,4604,4604,277,chemistry_feature,0.000000000,1.000000000,0.287018766
halogen_fraction,4604,4604,99,chemistry_feature,0.000000000,1.000000000,0.129012731
pnictogen_fraction,4604,4604,174,chemistry_feature,0.000000000,1.000000000,0.158886449
alkali_fraction,4604,4604,136,chemistry_feature,0.000000000,1.000000000,0.115260949
alkaline_earth_fraction,4604,4604,111,chemistry_feature,0.000000000,0.993333333,0.116049457
transition_metal_fraction,4604,4604,296,chemistry_feature,0.000000000,1.000000000,0.261401842
post_transition_fraction,4604,4604,223,chemistry_feature,0.000000000,1.000000000,0.185870026
metalloid_fraction,4604,4604,223,chemistry_feature,0.000000000,1.000000000,0.214723885
rare_earth_fraction,4604,4604,124,chemistry_feature,0.000000000,1.000000000,0.154967317
mean_atomic_number,4604,4604,2410,chemistry_feature,3.750000000,86.857142857,15.478989889
max_atomic_number,4604,4604,78,chemistry_feature,5.000000000,92.000000000,18.997603070
mean_electronegativity,4604,4604,3374,chemistry_feature,0.907500000,3.682857143,0.441601642
electronegativity_range,4604,4604,460,chemistry_feature,0.000000000,3.190000000,0.737012478
frac_H,4604,4604,37,chemistry_feature,0.000000000,0.818181818,0.045806003
frac_He,4604,4604,1,chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Li,4604,4604,80,chemistry_feature,0.000000000,0.800000000,0.073159317
frac_Be,4604,4604,16,chemistry_feature,0.000000000,0.956521739,0.043181533
frac_B,4604,4604,74,chemistry_feature,0.000000000,0.985074627,0.090515740
frac_C,4604,4604,36,chemistry_feature,0.000000000,0.983606557,0.056950343
frac_N,4604,4604,46,chemistry_feature,0.000000000,0.857142857,0.060961177
frac_O,4604,4604,166,chemistry_feature,0.000000000,0.769230769,0.242105788
frac_F,4604,4604,48,chemistry_feature,0.000000000,0.857142857,0.080505151
frac_Ne,4604,4604,1,chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Na,4604,4604,55,chemistry_feature,0.000000000,0.789473684,0.054271961
frac_Mg,4604,4604,41,chemistry_feature,0.000000000,0.993333333,0.068215351
frac_Al,4604,4604,74,chemistry_feature,0.000000000,0.909090909,0.090572362
frac_Si,4604,4604,73,chemistry_feature,0.000000000,0.999000000,0.089912740
frac_P,4604,4604,68,chemistry_feature,0.000000000,0.937500000,0.082779448
frac_S,4604,4604,123,chemistry_feature,0.000000000,0.756756757,0.180814307
frac_Cl,4604,4604,46,chemistry_feature,0.000000000,0.818181818,0.060866846
frac_Ar,4604,4604,1,chemistry_feature,0.000000000,0.000000000,0.000000000
frac_K,4604,4604,58,chemistry_feature,0.000000000,0.750000000,0.050905755
frac_Ca,4604,4604,39,chemistry_feature,0.000000000,0.833333333,0.055547354
frac_Sc,4604,4604,28,chemistry_feature,0.000000000,0.727272727,0.051220831
frac_Ti,4604,4604,61,chemistry_feature,0.000000000,0.750000000,0.058861899
frac_V,4604,4604,44,chemistry_feature,0.000000000,0.888888889,0.049303348
frac_Cr,4604,4604,38,chemistry_feature,0.000000000,0.750000000,0.042771582
frac_Mn,4604,4604,60,chemistry_feature,0.000000000,0.923076923,0.061033399
frac_Fe,4604,4604,59,chemistry_feature,0.000000000,0.906250000,0.067386290
frac_Co,4604,4604,52,chemistry_feature,0.000000000,0.894736842,0.069122714
frac_Ni,4604,4604,64,chemistry_feature,0.000000000,0.833333333,0.078349091
frac_Cu,4604,4604,93,chemistry_feature,0.000000000,0.888888889,0.085124773
frac_Zn,4604,4604,62,chemistry_feature,0.000000000,0.923076923,0.074458540
frac_Ga,4604,4604,94,chemistry_feature,0.000000000,0.875000000,0.089832081
frac_Ge,4604,4604,96,chemistry_feature,0.000000000,0.999000000,0.096262253
