target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,element_count,0.191359566,0.271065569,0.191359566,7,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,entropy_fraction,-0.181034499,-0.838267006,0.181034499,8,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,max_fraction,-0.077378265,-0.660431980,0.077378265,14,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,anion_fraction,15871538.947053026,51679089.663193107,15871538.947053026,1,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,oxygen_fraction,-0.104632414,-0.442863626,0.104632414,12,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,chalcogen_fraction,-14766975.083526723,-51679088.574743763,14766975.083526723,2,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,halogen_fraction,-7407488.745657678,-51679088.775847748,7407488.745657678,4,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,pnictogen_fraction,-8428733.070815960,-51679089.422048479,8428733.070815960,3,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,alkali_fraction,-0.050454004,-0.434968483,0.050454004,17,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,alkaline_earth_fraction,-0.093217556,-0.821680925,0.093217556,13,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,transition_metal_fraction,-0.430397884,-1.647977795,0.430397884,5,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,post_transition_fraction,-0.168975988,-0.899382228,0.168975988,9,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,metalloid_fraction,-0.146250174,-0.690471306,0.146250174,10,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,rare_earth_fraction,-0.215026423,-1.377932762,0.215026423,6,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,mean_atomic_number,-0.037877573,-0.002487014,0.037877573,18,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,max_atomic_number,-0.061143691,-0.003199260,0.061143691,15,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,mean_electronegativity,-0.053569120,-0.119912806,0.053569120,16,2.004902145
gap_expt_ev,false,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,electronegativity_range,0.116958994,0.158723061,0.116958994,11,2.004902145
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,element_count,0.191092355,0.270687058,0.191092355,3,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,entropy_fraction,-0.181787936,-0.841755741,0.181787936,4,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,max_fraction,-0.078952894,-0.673871608,0.078952894,12,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,anion_fraction,0.163702722,0.533030077,0.163702722,6,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,oxygen_fraction,-0.104002226,-0.440196313,0.104002226,10,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,chalcogen_fraction,0.159215508,0.557196873,0.159215508,7,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,halogen_fraction,0.051220525,0.357345131,0.051220525,15,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,pnictogen_fraction,-0.047362270,-0.290392279,0.047362270,17,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,alkali_fraction,-0.050315137,-0.433771294,0.050315137,16,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,alkaline_earth_fraction,-0.093363039,-0.822963304,0.093363039,11,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,transition_metal_fraction,-0.430876727,-1.649811269,0.430876727,1,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,post_transition_fraction,-0.169620241,-0.902811295,0.169620241,5,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,metalloid_fraction,-0.146352634,-0.690955039,0.146352634,8,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,rare_earth_fraction,-0.215387450,-1.380246292,0.215387450,2,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,mean_atomic_number,-0.037631667,-0.002470868,0.037631667,18,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,max_atomic_number,-0.061297230,-0.003207294,0.061297230,13,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,mean_electronegativity,-0.053849701,-0.120540878,0.053849701,14,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,electronegativity_range,0.115965898,0.157375347,0.115965898,9,2.019937525
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,element_count,0.191092256,0.270686917,0.191092256,3,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,entropy_fraction,-0.181787787,-0.841755049,0.181787787,4,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,max_fraction,-0.078952819,-0.673870967,0.078952819,12,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,anion_fraction,0.156665641,0.510116742,0.156665641,7,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,oxygen_fraction,-0.104002264,-0.440196477,0.104002264,10,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,chalcogen_fraction,0.165762903,0.580110396,0.165762903,6,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,halogen_fraction,0.054504845,0.380258520,0.054504845,14,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,pnictogen_fraction,-0.043625134,-0.267478775,0.043625134,17,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,alkali_fraction,-0.050315060,-0.433770635,0.050315060,16,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,alkaline_earth_fraction,-0.093362972,-0.822962714,0.093362972,11,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,transition_metal_fraction,-0.430876600,-1.649810781,0.430876600,1,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,post_transition_fraction,-0.169620147,-0.902810790,0.169620147,5,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,metalloid_fraction,-0.146352564,-0.690954709,0.146352564,8,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,rare_earth_fraction,-0.215387343,-1.380245605,0.215387343,2,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,mean_atomic_number,-0.037631706,-0.002470870,0.037631706,18,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,max_atomic_number,-0.061297219,-0.003207293,0.061297219,13,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,mean_electronegativity,-0.053849587,-0.120540622,0.053849587,15,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,electronegativity_range,0.115965881,0.157375324,0.115965881,9,2.019936114
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,element_count,0.191082312,0.270672832,0.191082312,3,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,entropy_fraction,-0.181772837,-0.841685824,0.181772837,4,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,max_fraction,-0.078945300,-0.673806798,0.078945300,12,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,anion_fraction,0.156598144,0.509896963,0.156598144,7,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,oxygen_fraction,-0.104006133,-0.440212853,0.104006133,10,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,chalcogen_fraction,0.165831049,0.580348883,0.165831049,6,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,halogen_fraction,0.054537111,0.380483631,0.054537111,14,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,pnictogen_fraction,-0.043586529,-0.267242078,0.043586529,17,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,alkali_fraction,-0.050307416,-0.433704731,0.050307416,16,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,alkaline_earth_fraction,-0.093356285,-0.822903776,0.093356285,11,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,transition_metal_fraction,-0.430863852,-1.649761972,0.430863852,1,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,post_transition_fraction,-0.169610658,-0.902760285,0.169610658,5,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,metalloid_fraction,-0.146345568,-0.690921677,0.146345568,8,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,rare_earth_fraction,-0.215376635,-1.380176990,0.215376635,2,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,mean_atomic_number,-0.037635567,-0.002471124,0.037635567,18,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,max_atomic_number,-0.061296095,-0.003207234,0.061296095,13,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,mean_electronegativity,-0.053838149,-0.120515020,0.053838149,15,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,electronegativity_range,0.115964182,0.157373018,0.115964182,9,2.019795018
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,element_count,0.190095711,0.269275287,0.190095711,3,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,entropy_fraction,-0.180288899,-0.834814560,0.180288899,4,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,max_fraction,-0.078199040,-0.667437381,0.078199040,12,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,anion_fraction,0.156882975,0.510824398,0.156882975,7,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,oxygen_fraction,-0.104388333,-0.441830537,0.104388333,10,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,chalcogen_fraction,0.166096909,0.581279294,0.166096909,6,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,halogen_fraction,0.054480955,0.380091855,0.054480955,14,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,pnictogen_fraction,-0.043463478,-0.266487615,0.043463478,17,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,alkali_fraction,-0.049548307,-0.427160385,0.049548307,16,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,alkaline_earth_fraction,-0.092692255,-0.817050578,0.092692255,11,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,transition_metal_fraction,-0.429597059,-1.644911468,0.429597059,1,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,post_transition_fraction,-0.168667925,-0.897742550,0.168667925,5,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,metalloid_fraction,-0.145650486,-0.687640080,0.145650486,8,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,rare_earth_fraction,-0.214313116,-1.373361746,0.214313116,2,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,mean_atomic_number,-0.038018885,-0.002496292,0.038018885,18,2.005788981
gap_expt_ev,false,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,max_atomic_number,-0.061184442,-0.003201392,0.061184442,13,2.005788981
