target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
gap_expt_ev,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,train,2674,18,1.202032394,0.846610256,0.272738934,0.852796028
gap_expt_ev,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,val,944,18,1.098563552,0.748284305,0.347901585,0.779388840
gap_expt_ev,descriptor_linear,ordinary_least_squares,ordinary_least_squares,,,test,986,18,1.409835850,0.966371447,0.223150436,1.000224636
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,train,2674,18,1.202073895,0.846664646,0.272688716,0.852825471
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,val,944,18,1.098024939,0.747823269,0.348540861,0.779006715
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=1e-06,0.000001000,,test,986,18,1.410043487,0.966686992,0.222921594,1.000371946
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,train,2674,18,1.202073895,0.846664643,0.272688716,0.852825471
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,val,944,18,1.098024941,0.747823271,0.348540857,0.779006717
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=0.0001,0.000100000,,test,986,18,1.410043488,0.966686987,0.222921594,1.000371946
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,train,2674,18,1.202073895,0.846664354,0.272688716,0.852825471
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,val,944,18,1.098025199,0.747823476,0.348540552,0.779006899
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=0.01,0.010000000,,test,986,18,1.410043510,0.966686533,0.222921569,1.000371962
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,train,2674,18,1.202074146,0.846635583,0.272688412,0.852825649
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,val,944,18,1.098050999,0.747843734,0.348509937,0.779025204
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=1,1.000000000,,test,986,18,1.410046055,0.966641489,0.222918764,1.000373768
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=10,10.000000000,,train,2674,18,1.202096226,0.846402507,0.272661692,0.852841314
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=10,10.000000000,,val,944,18,1.098292303,0.748012078,0.348223568,0.779196399
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=10,10.000000000,,test,986,18,1.410091301,0.966279115,0.222868892,1.000405868
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=100,100.000000000,,train,2674,18,1.203031636,0.845727025,0.271529298,0.853504952
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=100,100.000000000,,val,944,18,1.100698488,0.749533327,0.345364561,0.780903495
gap_expt_ev,descriptor_linear,ridge,ridge;alpha=100,100.000000000,,test,986,18,1.411400913,0.965521680,0.221424713,1.001334987
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,train,2674,18,1.202073902,0.846659881,0.272688708,0.852825476
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,val,944,18,1.098029347,0.747828356,0.348535630,0.779009842
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=1e-05,0.000010000,,test,986,18,1.410046982,0.966683608,0.222917743,1.000374425
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.0001,0.000100000,,train,2674,18,1.202074558,0.846617789,0.272687913,0.852825942
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.0001,0.000100000,,val,944,18,1.098070797,0.747876983,0.348486444,0.779039249
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.0001,0.000100000,,test,986,18,1.410074819,0.966651162,0.222887060,1.000394175
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.001,0.001000000,,train,2674,18,1.202140184,0.846261276,0.272608497,0.852872501
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.001,0.001000000,,val,944,18,1.098545176,0.748370724,0.347923400,0.779375803
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.001,0.001000000,,test,986,18,1.410408081,0.966414846,0.222519685,1.000630611
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.01,0.010000000,,train,2674,18,1.204346138,0.848610984,0.269936489,0.854437541
gap_expt_ev,descriptor_linear,lasso,lasso;alpha=0.01,0.010000000,,val,944,18,1.102982681,0.754078875,0.342644714,0.782524043
