feature,source,mechanism_role,expression,profiles,min,max,std
alkali_fraction,phase123,phase123_chemistry_descriptor,alkali_fraction,descriptor_linear;ionicity_proxy;anion_cation_interaction;mechanism_full_low_capacity,0.000000000,1.000000000,0.115260949
alkaline_earth_fraction,phase123,phase123_chemistry_descriptor,alkaline_earth_fraction,descriptor_linear;ionicity_proxy;anion_cation_interaction;mechanism_full_low_capacity,0.000000000,0.993333333,0.116049457
anion_fraction,phase123,phase123_chemistry_descriptor,anion_fraction,descriptor_linear;ionicity_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.302422760
chalcogen_fraction,phase123,phase123_chemistry_descriptor,chalcogen_fraction,descriptor_linear;covalency_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.287018766
electronegativity_range,phase123,phase123_chemistry_descriptor,electronegativity_range,descriptor_linear;ionicity_proxy;covalency_proxy;heavy_element_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,3.190000000,0.737012478
element_count,phase123,phase123_chemistry_descriptor,element_count,descriptor_linear;mechanism_compact;mechanism_full_low_capacity,2.000000000,4.000000000,0.707645009
entropy_fraction,phase123,phase123_chemistry_descriptor,entropy_fraction,descriptor_linear;covalency_proxy;mechanism_compact;mechanism_full_low_capacity,0.007907255,1.386294361,0.216293673
halogen_fraction,phase123,phase123_chemistry_descriptor,halogen_fraction,descriptor_linear;ionicity_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.129012731
max_atomic_number,phase123,phase123_chemistry_descriptor,max_atomic_number,descriptor_linear;heavy_element_proxy;mechanism_compact;mechanism_full_low_capacity,5.000000000,92.000000000,18.997603070
max_fraction,phase123,phase123_chemistry_descriptor,max_fraction,descriptor_linear;covalency_proxy;mechanism_compact;mechanism_full_low_capacity,0.250000000,0.999000000,0.117838853
mean_atomic_number,phase123,phase123_chemistry_descriptor,mean_atomic_number,descriptor_linear;heavy_element_proxy;mechanism_compact;mechanism_full_low_capacity,3.750000000,86.857142857,15.478989889
mean_electronegativity,phase123,phase123_chemistry_descriptor,mean_electronegativity,descriptor_linear;ionicity_proxy;covalency_proxy;anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.907500000,3.682857143,0.441601642
metalloid_fraction,phase123,phase123_chemistry_descriptor,metalloid_fraction,descriptor_linear;covalency_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000000,0.214723885
oxygen_fraction,phase123,phase123_chemistry_descriptor,oxygen_fraction,descriptor_linear;ionicity_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,0.769230769,0.242105788
phase125_alkali_alkaline_fraction,phase125,ionic_cation_proxy,alkali_fraction + alkaline_earth_fraction,anion_cation_interaction,0.000000000,1.000000000,0.155496627
phase125_anion_metal_interaction,phase125,anion_cation_interaction,anion_fraction * metal_fraction,anion_cation_interaction;mechanism_compact;mechanism_full_low_capacity,0.000000000,0.869565217,0.116062874
phase125_atomic_number_variance,phase125,atomic_size_dispersion_proxy,E[Z^2] - E[Z]^2,heavy_element_proxy;mechanism_full_low_capacity,0.160000000,1764.000000000,288.989456461
phase125_cation_anion_balance,phase125,bounded_cation_anion_ratio,"metal_fraction / max(anion_fraction + nonmetal_fraction, 1e-12)",ionicity_proxy;anion_cation_interaction,0.000000000,1000000001000.000122070,398269524809.324584961
phase125_chalcogen_covalent_proxy,phase125,covalent_chalcogenide_proxy,chalcogen_fraction * metalloid_fraction,covalency_proxy;mechanism_compact,0.000000000,0.810000000,0.078900538
phase125_chalcogen_metal_interaction,phase125,chalcogenide_interaction,chalcogen_fraction * metal_fraction,anion_cation_interaction;mechanism_full_low_capacity,0.000000000,0.250000000,0.108659885
phase125_covalency_proxy,phase125,covalent_network_proxy,metalloid_fraction * p_block_fraction * (1 - max_fraction),covalency_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,0.500000000,0.072009281
phase125_d10_fraction,phase125,d10_closed_shell_proxy,sum Cu/Zn/Ag/Cd/Au/Hg fractions,heavy_element_proxy;mechanism_full_low_capacity,0.000000000,1.000000000,0.167140521
phase125_descriptor_complexity,phase125,composition_complexity_proxy,entropy_fraction * (1 - max_fraction) * (1 + electronegativity_range),covalency_proxy;mechanism_compact;mechanism_full_low_capacity,0.000008777,4.252457952,0.552312265
phase125_en_variance,phase125,bond_polarity_dispersion,E[EN^2] - E[EN]^2,ionicity_proxy;covalency_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,2.544025000,0.375907545
phase125_halogen_alkali_interaction,phase125,halide_ionic_interaction,halogen_fraction * (alkali_fraction + alkaline_earth_fraction),ionicity_proxy;anion_cation_interaction,0.000000000,0.250000000,0.021070815
phase125_heavy_anion_interaction,phase125,heavy_anion_proxy,heavy_fraction * anion_fraction,heavy_element_proxy,0.000000000,1.000000000,0.158602712
phase125_heavy_chalcogen_interaction,phase125,heavy_chalcogenide_proxy,heavy_fraction * chalcogen_fraction,heavy_element_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,0.810000000,0.122289014
phase125_heavy_fraction,phase125,heavy_element_proxy,sum atomic-number >= 49 element fractions,heavy_element_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,1.000000001,0.291722625
phase125_high_en_fraction,phase125,high_electronegativity_proxy,sum element fractions with electronegativity >= 2.50,ionicity_proxy;mechanism_full_low_capacity,0.000000000,1.000000000,0.291549689
phase125_ionicity_proxy,phase125,ionic_bond_proxy,electronegativity_range * anion_fraction * metal_fraction,ionicity_proxy;mechanism_compact;mechanism_full_low_capacity,0.000000000,0.960428572,0.212758938
phase125_low_en_fraction,phase125,low_electronegativity_proxy,sum element fractions with electronegativity <= 1.30,ionicity_proxy;mechanism_full_low_capacity,0.000000000,1.000000000,0.191259449
