phase126_row_id,composition,last_phdos_peak,dominant_element,chemistry_family_key,composition_hash16,n_sites,element_count,entropy_fraction,max_fraction,anion_fraction,chalcogen_fraction,halogen_fraction,pnictogen_fraction,alkali_fraction,alkaline_earth_fraction,transition_metal_fraction,post_transition_fraction,metalloid_fraction,rare_earth_fraction,mean_atomic_number,max_atomic_number,mean_electronegativity,electronegativity_range,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,lattice_volume,volume_per_site,abc_anisotropy,angle_deviation,density_z_proxy,site_z_mean,site_z_std,frac_H,frac_He,frac_Li,frac_Be,frac_B,frac_C,frac_N,frac_O,frac_F,frac_Ne,frac_Na,frac_Mg,frac_Al,frac_Si,frac_P,frac_S,frac_Cl,frac_Ar,frac_K,frac_Ca,frac_Sc,frac_Ti,frac_V,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Ni,frac_Cu,frac_Zn,frac_Ga,frac_Ge,frac_As,frac_Se,frac_Br,frac_Kr,frac_Rb,frac_Sr,frac_Y,frac_Zr,frac_Nb,frac_Mo,frac_Tc,frac_Ru,frac_Rh,frac_Pd,frac_Ag,frac_Cd,frac_In,frac_Sn,frac_Sb,frac_Te,frac_I,frac_Xe,frac_Cs,frac_Ba,frac_La,frac_Ce,frac_Pr,frac_Nd,frac_Pm,frac_Sm,frac_Eu,frac_Gd,frac_Tb,frac_Dy,frac_Ho,frac_Er,frac_Tm,frac_Yb,frac_Lu,frac_Hf,frac_Ta,frac_W,frac_Re,frac_Os,frac_Ir,frac_Pt,frac_Au,frac_Hg,frac_Tl,frac_Pb,frac_Bi,frac_Po,frac_At,frac_Rn,frac_Fr,frac_Ra,frac_Ac,frac_Th,frac_Pa,frac_U
P126-00000,Te0.500000 Ba0.500000,98.585771227,Te,Te|alkaline_earth1+chalcogen1|n2,72448c9f4bd2f6e2,2,2,1.000000000,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.500000000,0.000000000,54.000000000,56.000000000,1.495000000,1.210000000,5.013216161,5.013216157,5.013216160,59.999999978,60.000000004,59.999999977,89.091094556,44.545547278,1.000000001,0.333333333,1.212242374,54.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00001,B0.500000 As0.500000,701.585723348,B,B|metalloid1+pnictogen1|n2,25c27748d65eab2f,2,2,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,19.000000000,33.000000000,2.110000000,0.140000000,3.407726641,3.407726641,3.407726640,60.000000008,60.000000005,59.999999950,27.982032094,13.991016047,1.000000000,0.333333333,1.358014310,19.000000000,14.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00002,H0.250000 Si0.250000 Ga0.250000 Ba0.250000,1138.585688649,H,H|alkaline_earth1+metalloid1+other1+post_transition1|n4,2ebd51a86f7bcddc,4,4,1.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.250000000,0.250000000,0.000000000,25.500000000,56.000000000,1.700000000,1.310000000,4.301500000,4.301499762,5.270300000,90.000000000,90.000000000,120.000001827,84.451193452,21.112798363,1.225223827,0.111111118,1.207798207,25.500000000,20.573040611,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00003,N0.500000 Al0.250000 Ga0.250000,718.585721998,N,N|pnictogen1+post_transition2|n3,918b8e317743258e,4,3,0.946394630,0.500000000,0.500000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,14.500000000,31.000000000,2.375000000,1.430000000,3.164181322,3.164181322,4.467330960,90.000000000,90.000000000,90.000000000,44.727111638,11.181777910,1.411844172,0.000000000,1.296752638,14.500000000,9.836157786,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00004,B0.500000 P0.500000,795.585715884,B,B|metalloid1+pnictogen1|n2,c61b18eecd62cf3e,4,2,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,10.000000000,15.000000000,2.115000000,0.150000000,3.200305280,3.200257023,5.298093140,90.000000000,90.000000000,120.000498812,46.992040666,11.748010167,1.655521135,0.111112959,0.851207980,10.000000000,5.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00005,F0.333333 S0.333333 Y0.333333,339.585752091,F,F|chalcogen1+halogen1+transition1|n3,42c7e224542c8f5e,6,3,1.000000000,0.333333333,0.666666667,0.333333333,0.333333333,0.000000000,0.000000000,0.000000000,0.333333333,0.000000000,0.000000000,0.000000000,21.333333333,39.000000000,2.593333333,2.760000000,3.795993950,3.795993950,6.885178860,90.000000000,90.000000000,90.000000000,99.212467217,16.535411203,1.813801326,0.000000000,1.290160436,21.333333333,12.814921858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.333333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.333333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.333333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00006,Ti0.333333 Ge0.333333 Pt0.333333,297.585755426,Ti,Ti|metalloid1+transition2|n3,5e9ff9b5e08ee920,3,3,1.000000000,0.333333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.666666667,0.000000000,0.333333333,0.000000000,44.000000000,78.000000000,1.943333333,0.740000000,4.236071283,4.236071283,4.236071283,60.000000000,60.000000000,60.000000000,53.749543633,17.916514544,1.000000000,0.333333333,2.455834805,44.000000000,24.385788211,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.333333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.333333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.333333333,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00007,Mg0.500000 Te0.500000,247.585759396,Mg,Mg|alkaline_earth1+chalcogen1|n2,da96513a5eacd36e,2,2,1.000000000,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.500000000,0.000000000,32.000000000,52.000000000,1.705000000,0.790000000,4.227884245,4.227884245,4.227884245,60.000000000,60.000000000,60.000000000,53.438500981,26.719250491,1.000000000,0.333333333,1.197638385,32.000000000,20.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00008,Mg0.250000 As0.500000 Sn0.250000,276.585757094,As,As|alkaline_earth1+pnictogen1+post_transition1|n3,604b59e229b1f5c9,8,3,0.946394630,0.500000000,0.500000000,0.000000000,0.000000000,0.500000000,0.000000000,0.250000000,0.000000000,0.250000000,0.500000000,0.000000000,32.000000000,50.000000000,1.907500000,0.870000000,6.161298820,6.161298820,7.435968101,114.474630861,114.474630861,90.000000000,228.757074219,28.594634277,1.206883211,0.181293562,1.119091075,32.000000000,13.472193585,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
P126-00009,Be0.250000 As0.500000 Sn0.250000,523.585737481,As,As|alkaline_earth1+pnictogen1+post_transition1|n3,b67f9633cbf9007c,8,3,0.946394630,0.500000000,0.500000000,0.000000000,0.000000000,0.500000000,0.000000000,0.250000000,0.000000000,0.250000000,0.500000000,0.000000000,30.000000000,50.000000000,1.972500000,0.610000000,5.655783530,5.655783530,6.946350228,114.023085288,114.023085288,90.000000000,181.678353426,22.709794178,1.228185306,0.177948780,1.321015935,30.000000000,16.537835409,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.250000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
