target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
last_phdos_peak,mean,mean,train,776,504.758114212,334.627228783,0.000000000,1.000000000
last_phdos_peak,mean,mean,val,210,506.041112893,340.406267367,-0.012861627,1.002541809
last_phdos_peak,mean,mean,test,279,453.397038630,300.075797176,-0.002645647,0.898246162
last_phdos_peak,composition_descriptors,knn,train,776,291.370893128,148.394614406,0.666784103,0.577248557
last_phdos_peak,composition_descriptors,knn,val,210,371.513845323,177.201581272,0.454080610,0.736023523
last_phdos_peak,composition_descriptors,knn,test,279,300.572839464,172.163131048,0.559354254,0.595478965
last_phdos_peak,composition_descriptors,extra_trees,train,776,6.008225058,1.179012186,0.999858314,0.011903177
last_phdos_peak,composition_descriptors,extra_trees,val,210,306.010077218,165.124853521,0.629617916,0.606250932
last_phdos_peak,composition_descriptors,extra_trees,test,279,316.105370147,162.766571881,0.512635533,0.626251191
last_phdos_peak,composition_descriptors,hist_gradient_boosting,train,776,77.067781970,35.710652041,0.976688023,0.152682601
last_phdos_peak,composition_descriptors,hist_gradient_boosting,val,210,326.973690916,177.471349523,0.577132671,0.647782931
last_phdos_peak,composition_descriptors,hist_gradient_boosting,test,279,250.026975937,150.406585473,0.695095489,0.495340182
last_phdos_peak,common_element_fractions,knn,train,776,421.204831014,263.431348618,0.303662043,0.834468668
last_phdos_peak,common_element_fractions,knn,val,210,428.197485130,250.983134085,0.274785067,0.848322143
last_phdos_peak,common_element_fractions,knn,test,279,406.590625455,255.951281002,0.193684820,0.805515779
last_phdos_peak,common_element_fractions,extra_trees,train,776,289.641703924,101.368706757,0.670727418,0.573822779
last_phdos_peak,common_element_fractions,extra_trees,val,210,517.066169197,271.713864802,-0.057476587,1.024384066
last_phdos_peak,common_element_fractions,extra_trees,test,279,502.719366534,289.286477271,-0.232654446,0.995960941
last_phdos_peak,common_element_fractions,hist_gradient_boosting,train,776,370.535422430,203.697104402,0.461119032,0.734085123
last_phdos_peak,common_element_fractions,hist_gradient_boosting,val,210,438.237894362,245.974555845,0.240376538,0.868213669
last_phdos_peak,common_element_fractions,hist_gradient_boosting,test,279,359.687847286,223.132121353,0.368982152,0.712594483
last_phdos_peak,lattice_descriptors,knn,train,776,355.939855108,198.393180550,0.502736457,0.705169159
last_phdos_peak,lattice_descriptors,knn,val,210,428.883646773,226.553589313,0.272458975,0.849681530
last_phdos_peak,lattice_descriptors,knn,test,279,365.707226739,182.045653217,0.347685250,0.724519758
last_phdos_peak,lattice_descriptors,extra_trees,train,776,0.000000000,0.000000000,1.000000000,0.000000000
last_phdos_peak,lattice_descriptors,extra_trees,val,210,394.800267780,217.868895562,0.383499560,0.782157348
last_phdos_peak,lattice_descriptors,extra_trees,test,279,295.843970104,153.174998515,0.573110416,0.586110380
last_phdos_peak,lattice_descriptors,hist_gradient_boosting,train,776,77.676996264,38.475611287,0.976318008,0.153889544
last_phdos_peak,lattice_descriptors,hist_gradient_boosting,val,210,412.280020837,238.506868915,0.327700030,0.816787307
last_phdos_peak,lattice_descriptors,hist_gradient_boosting,test,279,310.173580322,177.080766909,0.530754928,0.614499444
last_phdos_peak,composition_lattice_descriptors,knn,train,776,290.970208110,147.836501719,0.667699931,0.576454741
last_phdos_peak,composition_lattice_descriptors,knn,val,210,329.048804843,184.212156525,0.571748247,0.651894037
last_phdos_peak,composition_lattice_descriptors,knn,test,279,304.242003177,149.448700741,0.548530456,0.602748118
last_phdos_peak,composition_lattice_descriptors,extra_trees,train,776,0.003701783,0.000187930,1.000000000,0.000007334
last_phdos_peak,composition_lattice_descriptors,extra_trees,val,210,318.380605231,173.098761859,0.599067076,0.630758766
last_phdos_peak,composition_lattice_descriptors,extra_trees,test,279,268.215910286,131.611807676,0.649119538,0.531375133
last_phdos_peak,composition_lattice_descriptors,hist_gradient_boosting,train,776,58.663400112,25.763295737,0.986492722,0.116220816
last_phdos_peak,composition_lattice_descriptors,hist_gradient_boosting,val,210,310.386557403,175.744143332,0.618947933,0.614921382
last_phdos_peak,composition_lattice_descriptors,hist_gradient_boosting,test,279,220.946260776,126.385126753,0.761897790,0.437727011
last_phdos_peak,composition_hash_shortcut,knn,train,776,460.438194038,299.746598994,0.167898959,0.912195725
last_phdos_peak,composition_hash_shortcut,knn,val,210,502.907960341,314.393720794,-0.000358193,0.996334573
last_phdos_peak,composition_hash_shortcut,knn,test,279,454.859366192,286.290212113,-0.009123681,0.901143247
last_phdos_peak,chemistry_family_shortcut,knn,train,776,358.438214931,242.355084114,0.495731322,0.710118777
last_phdos_peak,chemistry_family_shortcut,knn,val,210,522.318244454,382.774511334,-0.079068228,1.034789199
last_phdos_peak,chemistry_family_shortcut,knn,test,279,465.419983898,331.923436588,-0.056525948,0.922065383
