target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,776,210,279,291.370893128,371.513845323,300.572839464,506.041112893,453.397038630,134.527267571,152.824199166,0.265842565,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,776,210,279,6.008232599,299.918437858,313.776955087,506.041112893,453.397038630,206.122675035,139.620083543,0.407323970,true,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,776,210,279,79.072902964,331.502490276,242.732310458,506.041112893,453.397038630,174.538622617,210.664728173,0.344909965,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,776,210,279,421.059198808,431.873931810,405.351878064,506.041112893,453.397038630,74.167181083,48.045160566,0.146563548,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,776,210,279,289.641703924,521.060072699,495.859694848,506.041112893,453.397038630,-15.018959805,-42.462656218,-0.029679327,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,776,210,279,370.535422430,438.237894362,359.687847285,506.041112893,453.397038630,67.803218532,93.709191346,0.133987569,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,776,210,279,355.939855108,428.883646773,365.707226739,506.041112893,453.397038630,77.157466120,87.689811892,0.152472722,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,776,210,279,0.000000000,390.998563144,300.968104205,506.041112893,453.397038630,115.042549749,152.428934425,0.227338346,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,hist_gradient_boosting,776,210,279,77.746908563,418.462603093,317.301671645,506.041112893,453.397038630,87.578509801,136.095366985,0.173065997,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,knn,776,210,279,290.970208110,329.048804843,304.242003177,506.041112893,453.397038630,176.992308050,149.155035454,0.349758752,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,extra_trees,776,210,279,0.000000000,321.340541601,272.021550429,506.041112893,453.397038630,184.700571292,181.375488201,0.364991236,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,hist_gradient_boosting,776,210,279,58.825183988,316.639493857,228.227455413,506.041112893,453.397038630,189.401619036,225.169583218,0.374281089,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,776,210,279,460.438194038,502.907960341,454.859366192,506.041112893,453.397038630,3.133152552,-1.462327562,0.006191498,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,776,210,279,358.438214931,522.318244454,465.419983898,506.041112893,453.397038630,-16.277131561,-12.022945268,-0.032165631,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,776,210,279,367.587488642,356.680450491,336.982800211,506.041112893,453.397038630,149.360662402,116.414238419,0.295155193,false,false
last_phdos_peak,phase126_registered_split,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,776,210,279,346.522171920,299.238456142,300.601975438,506.041112893,453.397038630,206.802656752,152.795063192,0.408667698,false,true
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,778,232,255,296.984900859,295.702848706,328.931809914,472.937396807,431.725333825,177.234548101,102.793523911,0.374752661,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,778,232,255,5.585326102,322.450995000,320.766943137,472.937396807,431.725333825,150.486401807,110.958390688,0.318195184,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,778,232,255,78.792095439,366.096869372,386.507966419,472.937396807,431.725333825,106.840527435,45.217367407,0.225908393,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,778,232,255,415.034290780,422.144450909,431.201208247,472.937396807,431.725333825,50.792945898,0.524125578,0.107398878,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,778,232,255,260.978566483,634.215277991,688.222416586,472.937396807,431.725333825,-161.277881184,-256.497082761,-0.341013171,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,778,232,255,356.112898404,455.381574998,465.125529075,472.937396807,431.725333825,17.555821809,-33.400195250,0.037120815,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,778,232,255,368.168013429,368.280119539,372.242532385,472.937396807,431.725333825,104.657277268,59.482801440,0.221292031,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,778,232,255,0.000000000,342.703081953,356.458190438,472.937396807,431.725333825,130.234314854,75.267143387,0.275373264,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,hist_gradient_boosting,778,232,255,87.195889124,363.768040889,354.858960458,472.937396807,431.725333825,109.169355918,76.866373367,0.230832572,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,knn,778,232,255,299.776153462,290.418109901,298.015803167,472.937396807,431.725333825,182.519286907,133.709530658,0.385926950,true,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,extra_trees,778,232,255,0.000000000,344.023664088,325.746789916,472.937396807,431.725333825,128.913732719,105.978543910,0.272580967,false,false
last_phdos_peak,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,hist_gradient_boosting,778,232,255,64.957931190,344.785582393,354.542421095,472.937396807,431.725333825,128.151814414,77.182912730,0.270969932,false,false
