target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
refractive_index_n,mean,mean,train,2875,2.320695444,0.836672442,0.000000000,1.000000000
refractive_index_n,mean,mean,val,883,1.499716211,0.764765277,-0.020105449,0.646235685
refractive_index_n,mean,mean,test,1006,1.884810298,0.821439684,-0.000547377,0.812174774
refractive_index_n,composition_descriptors,knn,train,2875,2.065150413,0.473084707,0.208105954,0.889884288
refractive_index_n,composition_descriptors,knn,val,883,1.390669947,0.436916742,0.122847643,0.599247071
refractive_index_n,composition_descriptors,knn,test,1006,1.873148313,0.650746907,0.011795797,0.807149563
refractive_index_n,composition_descriptors,extra_trees,train,2875,0.420203528,0.033756881,0.967214404,0.181067933
refractive_index_n,composition_descriptors,extra_trees,val,883,1.734568960,0.514544862,-0.364614672,0.747434983
refractive_index_n,composition_descriptors,extra_trees,test,1006,2.065748021,0.701101464,-0.201868786,0.890141800
refractive_index_n,composition_descriptors,hist_gradient_boosting,train,2875,1.343625417,0.322506388,0.664787564,0.578975333
refractive_index_n,composition_descriptors,hist_gradient_boosting,val,883,1.933165321,0.598841100,-0.694981207,0.833011211
refractive_index_n,composition_descriptors,hist_gradient_boosting,test,1006,1.797856436,0.726774240,0.089641642,0.774705893
refractive_index_n,common_element_fractions,knn,train,2875,2.137679917,0.603980155,0.151505455,0.921137637
refractive_index_n,common_element_fractions,knn,val,883,1.562030240,0.641002488,-0.106638488,0.673087132
refractive_index_n,common_element_fractions,knn,test,1006,1.813927040,0.668393090,0.073293956,0.781630802
refractive_index_n,common_element_fractions,extra_trees,train,2875,1.752110667,0.310476962,0.429984365,0.754993798
refractive_index_n,common_element_fractions,extra_trees,val,883,2.218420529,0.789608831,-1.232105136,0.955929195
refractive_index_n,common_element_fractions,extra_trees,test,1006,1.867010907,0.707528164,0.018260928,0.804504922
refractive_index_n,common_element_fractions,hist_gradient_boosting,train,2875,1.978591599,0.553675679,0.273097735,0.852585635
refractive_index_n,common_element_fractions,hist_gradient_boosting,val,883,1.555811759,0.666553988,-0.097844916,0.670407555
refractive_index_n,common_element_fractions,hist_gradient_boosting,test,1006,1.885306229,0.733368243,-0.001073974,0.812388474
refractive_index_n,lattice_descriptors,knn,train,2875,2.076811800,0.566819835,0.199137449,0.894909242
refractive_index_n,lattice_descriptors,knn,val,883,1.454270762,0.565319082,0.040781731,0.626653000
refractive_index_n,lattice_descriptors,knn,test,1006,1.887813506,0.698335759,-0.003738409,0.813468872
refractive_index_n,lattice_descriptors,extra_trees,train,2875,0.000000000,0.000000000,1.000000000,0.000000000
refractive_index_n,lattice_descriptors,extra_trees,val,883,1.664354969,0.606673222,-0.256373622,0.717179401
refractive_index_n,lattice_descriptors,extra_trees,test,1006,1.902274580,0.673908844,-0.019175030,0.819700226
refractive_index_n,lattice_descriptors,hist_gradient_boosting,train,2875,1.230591632,0.369628733,0.718815345,0.530268474
refractive_index_n,lattice_descriptors,hist_gradient_boosting,val,883,1.604784203,0.741817177,-0.168046620,0.691510041
refractive_index_n,lattice_descriptors,hist_gradient_boosting,test,1006,1.895875883,0.814967537,-0.012330145,0.816942993
refractive_index_n,composition_lattice_descriptors,knn,train,2875,2.057311587,0.456697335,0.214106232,0.886506496
refractive_index_n,composition_lattice_descriptors,knn,val,883,1.365711710,0.394334035,0.154049479,0.588492434
refractive_index_n,composition_lattice_descriptors,knn,test,1006,1.802118302,0.588528018,0.085320469,0.776542354
refractive_index_n,composition_lattice_descriptors,extra_trees,train,2875,0.000000000,0.000000000,1.000000000,0.000000000
refractive_index_n,composition_lattice_descriptors,extra_trees,val,883,1.622125761,0.477906400,-0.193427218,0.698982611
refractive_index_n,composition_lattice_descriptors,extra_trees,test,1006,1.707292704,0.552622984,0.179046924,0.735681499
refractive_index_n,composition_lattice_descriptors,hist_gradient_boosting,train,2875,1.162812524,0.293144308,0.748936776,0.501062096
refractive_index_n,composition_lattice_descriptors,hist_gradient_boosting,val,883,1.874667802,0.600343764,-0.593953091,0.807804318
refractive_index_n,composition_lattice_descriptors,hist_gradient_boosting,test,1006,1.757254092,0.670309062,0.130295951,0.757210127
refractive_index_n,composition_hash_shortcut,knn,train,2875,2.121800799,0.710372030,0.164064214,0.914295240
refractive_index_n,composition_hash_shortcut,knn,val,883,1.489511588,0.713370701,-0.006270332,0.641838459
refractive_index_n,composition_hash_shortcut,knn,test,1006,1.889272088,0.800022195,-0.005290046,0.814097383
refractive_index_n,chemistry_family_shortcut,knn,train,2875,2.241387965,0.626188664,0.067180165,0.965825986
refractive_index_n,chemistry_family_shortcut,knn,val,883,1.626243101,0.712011300,-0.199493310,0.700756795
refractive_index_n,chemistry_family_shortcut,knn,test,1006,2.095947173,0.950086997,-0.237265862,0.903154775
refractive_index_n,dominant_element_shortcut,knn,train,2875,2.221451549,0.654668385,0.083700622,0.957235278
refractive_index_n,dominant_element_shortcut,knn,val,883,1.407223304,0.597815214,0.101841606,0.606380000
refractive_index_n,dominant_element_shortcut,knn,test,1006,1.799277234,0.665432726,0.088202209,0.775318122
refractive_index_n,dominant_element_shortcut,extra_trees,train,2875,2.181951971,0.592379179,0.115996318,0.940214700
refractive_index_n,dominant_element_shortcut,extra_trees,val,883,1.383652856,0.518297682,0.131677242,0.596223369
refractive_index_n,dominant_element_shortcut,extra_trees,test,1006,1.790431653,0.615028154,0.097145307,0.771506514
