column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase128_row_id,4764,0,4764,identifier,,,
composition,4764,0,3992,identifier,,,
refractive_index_n,4764,4764,4749,target,1.000000000,62.062997564,2.101722168
dominant_element,4764,0,54,categorical_feature,,,
chemistry_family_key,4764,0,909,categorical_feature,,,
composition_hash16,4764,6,3992,categorical_feature,1281572716399890.000000000,,
n_sites,4764,4764,66,numeric_feature,1.000000000,288.000000000,14.672277680
element_count,4764,4764,6,numeric_feature,1.000000000,6.000000000,0.779216649
entropy_fraction,4764,4764,429,numeric_feature,0.000000000,1.000000000,0.114602245
max_fraction,4764,4764,108,numeric_feature,0.222222222,1.000000000,0.117276500
anion_fraction,4764,4764,165,numeric_feature,0.000000000,1.000000000,0.200000372
chalcogen_fraction,4764,4764,148,numeric_feature,0.000000000,1.000000000,0.277662514
halogen_fraction,4764,4764,90,numeric_feature,0.000000000,1.000000000,0.254477951
pnictogen_fraction,4764,4764,104,numeric_feature,0.000000000,1.000000000,0.178142312
alkali_fraction,4764,4764,94,numeric_feature,0.000000000,0.750000000,0.163686530
alkaline_earth_fraction,4764,4764,62,numeric_feature,0.000000000,0.666666667,0.120779927
transition_metal_fraction,4764,4764,102,numeric_feature,0.000000000,1.000000000,0.153730378
post_transition_fraction,4764,4764,62,numeric_feature,0.000000000,0.750000000,0.112812682
metalloid_fraction,4764,4764,100,numeric_feature,0.000000000,1.000000000,0.164206893
rare_earth_fraction,4764,4764,35,numeric_feature,0.000000000,0.500000000,0.058921353
mean_atomic_number,4764,4764,1584,numeric_feature,1.000000000,80.000000000,12.678075729
max_atomic_number,4764,4764,79,numeric_feature,1.000000000,92.000000000,21.346852079
mean_electronegativity,4764,4764,2968,numeric_feature,1.112500000,3.815000000,0.479240685
electronegativity_range,4764,4764,389,numeric_feature,0.000000000,3.190000000,0.757713003
lattice_a,4764,4764,4764,numeric_feature,2.467751883,21.461176303,1.937368685
lattice_b,4764,4764,4764,numeric_feature,2.467751819,40.986255073,2.307365291
lattice_c,4764,4764,4764,numeric_feature,2.512643023,68.047587890,3.607370691
lattice_alpha,4764,4764,2457,numeric_feature,9.976622678,152.336928512,19.388974658
lattice_beta,4764,4764,2416,numeric_feature,9.976622675,166.745366655,19.120679155
lattice_gamma,4764,4764,3121,numeric_feature,9.976622685,153.941669973,22.465336115
lattice_volume,4764,4764,4764,numeric_feature,11.410315712,3998.471538119,249.381241499
volume_per_site,4764,4764,4764,numeric_feature,5.705157856,201.554093288,9.357717260
abc_anisotropy,4764,4764,4477,numeric_feature,1.000000000,18.489410775,0.905739774
angle_deviation,4764,4764,3559,numeric_feature,0.000000000,0.889148637,0.153446423
density_z_proxy,4764,4764,4764,numeric_feature,0.014142195,3.885874121,0.445767464
site_z_mean,4764,4764,1584,numeric_feature,1.000000000,80.000000000,12.678075729
site_z_std,4764,4764,3262,numeric_feature,0.000000000,41.000000000,7.961839652
frac_H,4764,4764,81,numeric_feature,0.000000000,1.000000000,0.138682992
frac_He,4764,4764,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Li,4764,4764,74,numeric_feature,0.000000000,0.750000000,0.111924191
frac_Be,4764,4764,28,numeric_feature,0.000000000,0.666666667,0.036112016
frac_B,4764,4764,44,numeric_feature,0.000000000,0.935483871,0.057830268
frac_C,4764,4764,36,numeric_feature,0.000000000,1.000000000,0.047317014
frac_N,4764,4764,65,numeric_feature,0.000000000,1.000000000,0.130862038
frac_O,4764,4764,114,numeric_feature,0.000000000,0.800000000,0.276251451
frac_F,4764,4764,63,numeric_feature,0.000000000,0.875000000,0.196381725
frac_Ne,4764,4764,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Na,4764,4764,55,numeric_feature,0.000000000,0.750000000,0.084709444
frac_Mg,4764,4764,36,numeric_feature,0.000000000,0.666666667,0.053074573
frac_Al,4764,4764,39,numeric_feature,0.000000000,0.666666667,0.051414400
frac_Si,4764,4764,54,numeric_feature,0.000000000,1.000000000,0.078141492
frac_P,4764,4764,66,numeric_feature,0.000000000,1.000000000,0.100848174
frac_S,4764,4764,56,numeric_feature,0.000000000,1.000000000,0.149027029
frac_Cl,4764,4764,54,numeric_feature,0.000000000,1.000000000,0.129490707
frac_Ar,4764,4764,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_K,4764,4764,47,numeric_feature,0.000000000,0.750000000,0.085669813
frac_Ca,4764,4764,36,numeric_feature,0.000000000,0.666666667,0.067447504
frac_Sc,4764,4764,16,numeric_feature,0.000000000,0.571428571,0.029538175
frac_Ti,4764,4764,33,numeric_feature,0.000000000,0.500000000,0.029942938
frac_V,4764,4764,36,numeric_feature,0.000000000,0.357142857,0.035137365
frac_Cr,4764,4764,31,numeric_feature,0.000000000,0.400000000,0.032188619
frac_Mn,4764,4764,45,numeric_feature,0.000000000,0.500000000,0.044150117
frac_Fe,4764,4764,39,numeric_feature,0.000000000,0.500000000,0.044575259
frac_Co,4764,4764,25,numeric_feature,0.000000000,0.500000000,0.028453952
frac_Ni,4764,4764,24,numeric_feature,0.000000000,0.571428571,0.030402629
frac_Cu,4764,4764,35,numeric_feature,0.000000000,0.666666667,0.057459254
frac_Zn,4764,4764,27,numeric_feature,0.000000000,0.600000000,0.052655731
frac_Ga,4764,4764,34,numeric_feature,0.000000000,0.750000000,0.053776163
frac_Ge,4764,4764,37,numeric_feature,0.000000000,1.000000000,0.055021365
frac_As,4764,4764,31,numeric_feature,0.000000000,0.823529412,0.072349345
frac_Se,4764,4764,44,numeric_feature,0.000000000,1.000000000,0.115741662
frac_Br,4764,4764,36,numeric_feature,0.000000000,1.000000000,0.099913216
frac_Kr,4764,4764,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Rb,4764,4764,32,numeric_feature,0.000000000,0.666666667,0.064777794
frac_Sr,4764,4764,41,numeric_feature,0.000000000,0.666666667,0.060832016
frac_Y,4764,4764,26,numeric_feature,0.000000000,0.500000000,0.035560082
frac_Zr,4764,4764,20,numeric_feature,0.000000000,0.428571429,0.029968594
frac_Nb,4764,4764,29,numeric_feature,0.000000000,0.333333333,0.031841176
frac_Mo,4764,4764,17,numeric_feature,0.000000000,0.333333333,0.023108839
