target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
log10_g_vrh,mean,mean,train,6082,0.385546619,0.306926022,0.000000000,1.000000000
log10_g_vrh,mean,mean,val,2570,0.336058320,0.266812723,-0.028069310,0.871641207
log10_g_vrh,mean,mean,test,2333,0.374112147,0.293753839,-0.006379497,0.970342181
log10_g_vrh,composition_descriptors,knn,train,6082,0.200338049,0.142556760,0.729994206,0.519620818
log10_g_vrh,composition_descriptors,knn,val,2570,0.266359573,0.205276958,0.354152906,0.690862168
log10_g_vrh,composition_descriptors,knn,test,2333,0.302236606,0.227228594,0.343171046,0.783917149
log10_g_vrh,composition_descriptors,extra_trees,train,6082,0.055625246,0.014375695,0.979184345,0.144276315
log10_g_vrh,composition_descriptors,extra_trees,val,2570,0.225918615,0.167202161,0.535380832,0.585969643
log10_g_vrh,composition_descriptors,extra_trees,test,2333,0.248081785,0.182664955,0.557464701,0.643454703
log10_g_vrh,composition_descriptors,hist_gradient_boosting,train,6082,0.129347152,0.092881352,0.887446256,0.335490304
log10_g_vrh,composition_descriptors,hist_gradient_boosting,val,2570,0.218437887,0.158628925,0.565640800,0.566566730
log10_g_vrh,composition_descriptors,hist_gradient_boosting,test,2333,0.229697261,0.169657179,0.620624050,0.595770395
log10_g_vrh,common_element_fractions,knn,train,6082,0.312173369,0.218054380,0.344401571,0.809690329
log10_g_vrh,common_element_fractions,knn,val,2570,0.301696149,0.221427688,0.171423476,0.782515355
log10_g_vrh,common_element_fractions,knn,test,2333,0.326154952,0.241801526,0.235097441,0.845954641
log10_g_vrh,common_element_fractions,extra_trees,train,6082,0.260474332,0.168150180,0.543568018,0.675597500
log10_g_vrh,common_element_fractions,extra_trees,val,2570,0.296129347,0.217992794,0.201718640,0.768076629
log10_g_vrh,common_element_fractions,extra_trees,test,2333,0.323570485,0.241025097,0.247171659,0.839251258
log10_g_vrh,common_element_fractions,hist_gradient_boosting,train,6082,0.285102238,0.207424138,0.453176141,0.739475395
log10_g_vrh,common_element_fractions,hist_gradient_boosting,val,2570,0.290550618,0.214541370,0.231512696,0.753606967
log10_g_vrh,common_element_fractions,hist_gradient_boosting,test,2333,0.311034405,0.232798753,0.304375252,0.806736177
log10_g_vrh,lattice_descriptors,knn,train,6082,0.218890079,0.159852614,0.677671760,0.567739588
log10_g_vrh,lattice_descriptors,knn,val,2570,0.240203533,0.184422745,0.474767160,0.623020723
log10_g_vrh,lattice_descriptors,knn,test,2333,0.258412941,0.193825865,0.519839224,0.670250830
log10_g_vrh,lattice_descriptors,extra_trees,train,6082,0.000000000,0.000000000,1.000000000,0.000000000
log10_g_vrh,lattice_descriptors,extra_trees,val,2570,0.206018476,0.160242276,0.613628191,0.534354255
log10_g_vrh,lattice_descriptors,extra_trees,test,2333,0.212131956,0.161416094,0.676428432,0.550210909
log10_g_vrh,lattice_descriptors,hist_gradient_boosting,train,6082,0.129781284,0.095811061,0.886689453,0.336616320
log10_g_vrh,lattice_descriptors,hist_gradient_boosting,val,2570,0.201933930,0.157604313,0.628796823,0.523760085
log10_g_vrh,lattice_descriptors,hist_gradient_boosting,test,2333,0.212406031,0.161790632,0.675591780,0.550921785
log10_g_vrh,composition_lattice_descriptors,knn,train,6082,0.190040987,0.135826278,0.757036655,0.492913121
log10_g_vrh,composition_lattice_descriptors,knn,val,2570,0.216705746,0.165271539,0.572502140,0.562074042
log10_g_vrh,composition_lattice_descriptors,knn,test,2333,0.249669279,0.185272074,0.551782946,0.647572219
log10_g_vrh,composition_lattice_descriptors,extra_trees,train,6082,0.000000000,0.000000000,1.000000000,0.000000000
log10_g_vrh,composition_lattice_descriptors,extra_trees,val,2570,0.175428508,0.131783050,0.719848192,0.455012441
log10_g_vrh,composition_lattice_descriptors,extra_trees,test,2333,0.184995471,0.141100626,0.753917714,0.479826464
log10_g_vrh,composition_lattice_descriptors,hist_gradient_boosting,train,6082,0.095415892,0.069122875,0.938752603,0.247482114
log10_g_vrh,composition_lattice_descriptors,hist_gradient_boosting,val,2570,0.160090786,0.120833108,0.766694077,0.415230684
log10_g_vrh,composition_lattice_descriptors,hist_gradient_boosting,test,2333,0.169370800,0.126401297,0.793730394,0.439300441
log10_g_vrh,composition_hash_shortcut,knn,train,6082,0.543352424,0.436834920,-0.986137996,1.409304082
log10_g_vrh,composition_hash_shortcut,knn,val,2570,0.519442439,0.424711476,-1.456223870,1.347288274
log10_g_vrh,composition_hash_shortcut,knn,test,2333,0.565947273,0.450340578,-1.303085735,1.467908797
log10_g_vrh,chemistry_family_shortcut,knn,train,6082,0.268486293,0.192414459,0.515057285,0.696378285
log10_g_vrh,chemistry_family_shortcut,knn,val,2570,0.343429016,0.265327153,-0.073660713,0.890758730
log10_g_vrh,chemistry_family_shortcut,knn,test,2333,0.390459318,0.295468620,-0.096250346,1.012742165
log10_g_vrh,dominant_element_shortcut,knn,train,6082,0.266717331,0.199398349,0.521426468,0.691790092
log10_g_vrh,dominant_element_shortcut,knn,val,2570,0.253217914,0.193054844,0.416310414,0.656776385
log10_g_vrh,dominant_element_shortcut,knn,test,2333,0.273457176,0.205540602,0.462303994,0.709271363
log10_g_vrh,dominant_element_shortcut,extra_trees,train,6082,0.252919339,0.189917006,0.569661424,0.656001963
log10_g_vrh,dominant_element_shortcut,extra_trees,val,2570,0.246425288,0.187919795,0.447205599,0.639158213
log10_g_vrh,dominant_element_shortcut,extra_trees,test,2333,0.266872980,0.199733023,0.487885148,0.692193802
