target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
log10_k_vrh,mean,mean,train,6385,0.367153305,0.287047396,0.000000000,1.000000000
log10_k_vrh,mean,mean,val,2247,0.369918158,0.288732315,-0.001316062,1.007530514
log10_k_vrh,mean,mean,test,2353,0.375824670,0.306212888,-0.021572655,1.023617833
log10_k_vrh,composition_descriptors,knn,train,6385,0.187812305,0.123749173,0.738330441,0.511536469
log10_k_vrh,composition_descriptors,knn,val,2247,0.254299258,0.183620104,0.526794188,0.692624184
log10_k_vrh,composition_descriptors,knn,test,2353,0.240259770,0.173967686,0.582495843,0.654385422
log10_k_vrh,composition_descriptors,extra_trees,train,6385,0.060517251,0.014155147,0.972831635,0.164828289
log10_k_vrh,composition_descriptors,extra_trees,val,2247,0.203801019,0.138485995,0.696070689,0.555084256
log10_k_vrh,composition_descriptors,extra_trees,test,2353,0.206047467,0.138549576,0.692932928,0.561202811
log10_k_vrh,composition_descriptors,hist_gradient_boosting,train,6385,0.115999052,0.074894697,0.900180821,0.315941734
log10_k_vrh,composition_descriptors,hist_gradient_boosting,val,2247,0.187050018,0.127399688,0.743979116,0.509460260
log10_k_vrh,composition_descriptors,hist_gradient_boosting,test,2353,0.194911415,0.124978659,0.725227517,0.530872016
log10_k_vrh,common_element_fractions,knn,train,6385,0.284891293,0.203609402,0.397907149,0.775946423
log10_k_vrh,common_element_fractions,knn,val,2247,0.297295774,0.228624237,0.353248633,0.809731984
log10_k_vrh,common_element_fractions,knn,test,2353,0.324302837,0.238366610,0.239323178,0.883289984
log10_k_vrh,common_element_fractions,extra_trees,train,6385,0.243215258,0.148537202,0.561179661,0.662435159
log10_k_vrh,common_element_fractions,extra_trees,val,2247,0.299066655,0.220753530,0.345520770,0.814555257
log10_k_vrh,common_element_fractions,extra_trees,test,2353,0.320758189,0.230905019,0.255860780,0.873635577
log10_k_vrh,common_element_fractions,hist_gradient_boosting,train,6385,0.271417502,0.188200434,0.453511769,0.739248423
log10_k_vrh,common_element_fractions,hist_gradient_boosting,val,2247,0.284126745,0.210941915,0.409276681,0.773864054
log10_k_vrh,common_element_fractions,hist_gradient_boosting,test,2353,0.301605994,0.214579255,0.342071614,0.821471548
log10_k_vrh,lattice_descriptors,knn,train,6385,0.188266479,0.127068625,0.737063354,0.512773484
log10_k_vrh,lattice_descriptors,knn,val,2247,0.221398890,0.155990014,0.641317025,0.603014837
log10_k_vrh,lattice_descriptors,knn,test,2353,0.220637753,0.154394570,0.647906229,0.600941760
log10_k_vrh,lattice_descriptors,extra_trees,train,6385,0.000000000,0.000000000,1.000000000,0.000000000
log10_k_vrh,lattice_descriptors,extra_trees,val,2247,0.182976269,0.125719264,0.755009402,0.498364760
log10_k_vrh,lattice_descriptors,extra_trees,test,2353,0.181400739,0.122695324,0.762000089,0.494073557
log10_k_vrh,lattice_descriptors,hist_gradient_boosting,train,6385,0.101250817,0.071697236,0.923949480,0.275772587
log10_k_vrh,lattice_descriptors,hist_gradient_boosting,val,2247,0.178189891,0.123187910,0.767658917,0.485328306
log10_k_vrh,lattice_descriptors,hist_gradient_boosting,test,2353,0.181042267,0.122515880,0.762939800,0.493097201
log10_k_vrh,composition_lattice_descriptors,knn,train,6385,0.169802416,0.112918624,0.786108834,0.462483692
log10_k_vrh,composition_lattice_descriptors,knn,val,2247,0.217796488,0.154900527,0.652894393,0.593203126
log10_k_vrh,composition_lattice_descriptors,knn,test,2353,0.209231768,0.149166097,0.683368631,0.569875759
log10_k_vrh,composition_lattice_descriptors,extra_trees,train,6385,0.000000000,0.000000000,1.000000000,0.000000000
log10_k_vrh,composition_lattice_descriptors,extra_trees,val,2247,0.155521018,0.105511386,0.823014347,0.423586049
log10_k_vrh,composition_lattice_descriptors,extra_trees,test,2353,0.162196679,0.105744666,0.809724617,0.441768266
log10_k_vrh,composition_lattice_descriptors,hist_gradient_boosting,train,6385,0.077968688,0.052458636,0.954903217,0.212360032
log10_k_vrh,composition_lattice_descriptors,hist_gradient_boosting,val,2247,0.145290269,0.095281845,0.845533986,0.395720989
log10_k_vrh,composition_lattice_descriptors,hist_gradient_boosting,test,2353,0.148176552,0.093452016,0.841197382,0.403582236
log10_k_vrh,composition_hash_shortcut,knn,train,6385,0.349093181,0.285249795,0.095959584,0.950810400
log10_k_vrh,composition_hash_shortcut,knn,val,2247,0.397314148,0.328184246,-0.155122234,1.082147818
log10_k_vrh,composition_hash_shortcut,knn,test,2353,0.416120534,0.347073013,-0.252382480,1.133369982
log10_k_vrh,chemistry_family_shortcut,knn,train,6385,0.247787238,0.173532349,0.544526636,0.674887668
log10_k_vrh,chemistry_family_shortcut,knn,val,2247,0.403726894,0.335873020,-0.192711053,1.099613944
log10_k_vrh,chemistry_family_shortcut,knn,test,2353,0.423872713,0.354415032,-0.299480022,1.154484264
log10_k_vrh,dominant_element_shortcut,knn,train,6385,0.250192039,0.186744927,0.535642900,0.681437524
log10_k_vrh,dominant_element_shortcut,knn,val,2247,0.285905817,0.208665094,0.401855840,0.778709638
log10_k_vrh,dominant_element_shortcut,knn,test,2353,0.287142046,0.216320520,0.403662294,0.782076703
log10_k_vrh,dominant_element_shortcut,extra_trees,train,6385,0.239014913,0.174144634,0.576205696,0.650994857
log10_k_vrh,dominant_element_shortcut,extra_trees,val,2247,0.261721456,0.191614938,0.498768289,0.712839712
log10_k_vrh,dominant_element_shortcut,extra_trees,test,2353,0.267372151,0.198217589,0.482951802,0.728230272
