column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase130_row_id,10985,0,10985,identifier,,,
composition,10985,0,9691,identifier,,,
log10_k_vrh,10985,10985,363,target,0.000000000,2.759667845,0.369326796
dominant_element,10985,0,82,categorical_feature,,,
chemistry_family_key,10985,0,1716,categorical_feature,,,
composition_hash16,10985,23,9691,categorical_feature,1281572716399890.000000000,,
n_sites,10985,10985,68,numeric_feature,1.000000000,160.000000000,8.656651476
element_count,10985,10985,5,numeric_feature,1.000000000,5.000000000,0.600427772
entropy_fraction,10985,10985,248,numeric_feature,0.000000000,1.000000000,0.155019286
max_fraction,10985,10985,97,numeric_feature,0.200000000,1.000000000,0.140443719
anion_fraction,10985,10985,100,numeric_feature,0.000000000,1.000000000,0.299995138
chalcogen_fraction,10985,10985,75,numeric_feature,0.000000000,1.000000000,0.254876985
halogen_fraction,10985,10985,43,numeric_feature,0.000000000,1.000000000,0.175907015
pnictogen_fraction,10985,10985,60,numeric_feature,0.000000000,1.000000000,0.159248010
alkali_fraction,10985,10985,65,numeric_feature,0.000000000,1.000000000,0.142452697
alkaline_earth_fraction,10985,10985,71,numeric_feature,0.000000000,1.000000000,0.162552607
transition_metal_fraction,10985,10985,105,numeric_feature,0.000000000,1.000000000,0.309603080
post_transition_fraction,10985,10985,73,numeric_feature,0.000000000,1.000000000,0.179377277
metalloid_fraction,10985,10985,74,numeric_feature,0.000000000,1.000000000,0.186371394
rare_earth_fraction,10985,10985,36,numeric_feature,0.000000000,1.000000000,0.165591493
mean_atomic_number,10985,10985,2010,numeric_feature,2.000000000,92.000000000,16.939008908
max_atomic_number,10985,10985,81,numeric_feature,3.000000000,92.000000000,21.497902283
mean_electronegativity,10985,10985,3954,numeric_feature,0.000000000,3.980000000,0.500655832
electronegativity_range,10985,10985,526,numeric_feature,0.000000000,3.190000000,0.792053384
lattice_a,10985,10985,10984,numeric_feature,2.165259251,29.772367327,1.499707132
lattice_b,10985,10985,10984,numeric_feature,2.165259246,22.813637053,1.663020494
lattice_c,10985,10985,10985,numeric_feature,2.165259250,68.332053730,2.981369558
lattice_alpha,10985,10985,4936,numeric_feature,7.396118106,155.508974346,20.317001882
lattice_beta,10985,10985,4697,numeric_feature,7.396120184,163.106545510,19.794883031
lattice_gamma,10985,10985,6434,numeric_feature,7.396119036,159.401837131,23.519429198
lattice_volume,10985,10985,10985,numeric_feature,7.814619132,3390.625898450,142.491034376
volume_per_site,10985,10985,10985,numeric_feature,5.705157856,117.023352013,7.403639212
abc_anisotropy,10985,10985,8444,numeric_feature,1.000000000,22.080284351,0.821859871
angle_deviation,10985,10985,7157,numeric_feature,0.000000000,0.917820899,0.153531733
density_z_proxy,10985,10985,10985,numeric_feature,0.148589597,5.294131073,0.784523010
site_z_mean,10985,10985,2010,numeric_feature,2.000000000,92.000000000,16.939008908
site_z_std,10985,10985,5255,numeric_feature,0.000000000,43.000000000,8.887192746
frac_H,10985,10985,27,numeric_feature,0.000000000,0.750000000,0.073409325
frac_He,10985,10985,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Li,10985,10985,56,numeric_feature,0.000000000,1.000000000,0.102717081
frac_Be,10985,10985,20,numeric_feature,0.000000000,1.000000000,0.063952765
frac_B,10985,10985,38,numeric_feature,0.000000000,1.000000000,0.084056138
frac_C,10985,10985,33,numeric_feature,0.000000000,1.000000000,0.070332785
frac_N,10985,10985,40,numeric_feature,0.000000000,1.000000000,0.090557813
frac_O,10985,10985,61,numeric_feature,0.000000000,1.000000000,0.222615749
frac_F,10985,10985,37,numeric_feature,0.000000000,1.000000000,0.133259704
frac_Ne,10985,10985,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Na,10985,10985,41,numeric_feature,0.000000000,1.000000000,0.066629202
frac_Mg,10985,10985,45,numeric_feature,0.000000000,1.000000000,0.112187557
frac_Al,10985,10985,62,numeric_feature,0.000000000,1.000000000,0.109556050
frac_Si,10985,10985,48,numeric_feature,0.000000000,1.000000000,0.098465067
frac_P,10985,10985,33,numeric_feature,0.000000000,1.000000000,0.081547142
frac_S,10985,10985,36,numeric_feature,0.000000000,1.000000000,0.104764014
frac_Cl,10985,10985,26,numeric_feature,0.000000000,0.800000000,0.082859538
frac_Ar,10985,10985,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_K,10985,10985,26,numeric_feature,0.000000000,1.000000000,0.056081094
frac_Ca,10985,10985,37,numeric_feature,0.000000000,1.000000000,0.071902936
frac_Sc,10985,10985,23,numeric_feature,0.000000000,1.000000000,0.076063950
frac_Ti,10985,10985,38,numeric_feature,0.000000000,1.000000000,0.084154186
frac_V,10985,10985,32,numeric_feature,0.000000000,1.000000000,0.064648481
frac_Cr,10985,10985,28,numeric_feature,0.000000000,1.000000000,0.052939896
frac_Mn,10985,10985,36,numeric_feature,0.000000000,1.000000000,0.071469673
frac_Fe,10985,10985,44,numeric_feature,0.000000000,1.000000000,0.084741295
frac_Co,10985,10985,39,numeric_feature,0.000000000,1.000000000,0.087816633
frac_Ni,10985,10985,34,numeric_feature,0.000000000,1.000000000,0.102946669
frac_Cu,10985,10985,43,numeric_feature,0.000000000,1.000000000,0.096651711
frac_Zn,10985,10985,33,numeric_feature,0.000000000,1.000000000,0.087814081
frac_Ga,10985,10985,30,numeric_feature,0.000000000,1.000000000,0.084498907
frac_Ge,10985,10985,33,numeric_feature,0.000000000,1.000000000,0.076803407
frac_As,10985,10985,24,numeric_feature,0.000000000,1.000000000,0.071776953
frac_Se,10985,10985,28,numeric_feature,0.000000000,1.000000000,0.091030823
frac_Br,10985,10985,22,numeric_feature,0.000000000,1.000000000,0.062542975
frac_Kr,10985,10985,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Rb,10985,10985,20,numeric_feature,0.000000000,1.000000000,0.047702280
frac_Sr,10985,10985,32,numeric_feature,0.000000000,1.000000000,0.060337843
frac_Y,10985,10985,31,numeric_feature,0.000000000,1.000000000,0.064586276
frac_Zr,10985,10985,28,numeric_feature,0.000000000,1.000000000,0.072913441
frac_Nb,10985,10985,36,numeric_feature,0.000000000,1.000000000,0.060479183
frac_Mo,10985,10985,25,numeric_feature,0.000000000,1.000000000,0.041098847
frac_Tc,10985,10985,13,numeric_feature,0.000000000,1.000000000,0.045230358
frac_Ru,10985,10985,23,numeric_feature,0.000000000,1.000000000,0.070956972
frac_Rh,10985,10985,24,numeric_feature,0.000000000,1.000000000,0.091923140
frac_Pd,10985,10985,33,numeric_feature,0.000000000,1.000000000,0.096723278
frac_Ag,10985,10985,25,numeric_feature,0.000000000,1.000000000,0.074183276
frac_Cd,10985,10985,21,numeric_feature,0.000000000,1.000000000,0.066627635
frac_In,10985,10985,24,numeric_feature,0.000000000,1.000000000,0.067371440
frac_Sn,10985,10985,38,numeric_feature,0.000000000,1.000000000,0.077656052
frac_Sb,10985,10985,29,numeric_feature,0.000000000,1.000000000,0.071754694
frac_Te,10985,10985,30,numeric_feature,0.000000000,1.000000000,0.084128544
frac_I,10985,10985,22,numeric_feature,0.000000000,1.000000000,0.061482661
frac_Xe,10985,10985,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Cs,10985,10985,19,numeric_feature,0.000000000,1.000000000,0.038789081
frac_Ba,10985,10985,36,numeric_feature,0.000000000,1.000000000,0.054197563
frac_La,10985,10985,24,numeric_feature,0.000000000,1.000000000,0.046628796
frac_Ce,10985,10985,22,numeric_feature,0.000000000,1.000000000,0.045039472
frac_Pr,10985,10985,18,numeric_feature,0.000000000,1.000000000,0.052367835
frac_Nd,10985,10985,18,numeric_feature,0.000000000,1.000000000,0.047638935
frac_Pm,10985,10985,7,numeric_feature,0.000000000,1.000000000,0.043235036
frac_Sm,10985,10985,17,numeric_feature,0.000000000,1.000000000,0.057581210
frac_Eu,10985,10985,13,numeric_feature,0.000000000,1.000000000,0.023301107
frac_Gd,10985,10985,13,numeric_feature,0.000000000,1.000000000,0.025131580
frac_Tb,10985,10985,16,numeric_feature,0.000000000,1.000000000,0.042165379
frac_Dy,10985,10985,14,numeric_feature,0.000000000,1.000000000,0.048306794
frac_Ho,10985,10985,16,numeric_feature,0.000000000,1.000000000,0.048975010
frac_Er,10985,10985,17,numeric_feature,0.000000000,1.000000000,0.046285871
frac_Tm,10985,10985,14,numeric_feature,0.000000000,1.000000000,0.045900515
frac_Yb,10985,10985,18,numeric_feature,0.000000000,1.000000000,0.051648957
frac_Lu,10985,10985,19,numeric_feature,0.000000000,1.000000000,0.044056541
frac_Hf,10985,10985,27,numeric_feature,0.000000000,1.000000000,0.062099774
frac_Ta,10985,10985,28,numeric_feature,0.000000000,1.000000000,0.052141826
frac_W,10985,10985,27,numeric_feature,0.000000000,1.000000000,0.037643791
frac_Re,10985,10985,23,numeric_feature,0.000000000,1.000000000,0.040338603
frac_Os,10985,10985,18,numeric_feature,0.000000000,1.000000000,0.044699213
