target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,6385,2247,2353,0.187819469,0.254299258,0.240259770,0.369918158,0.375824670,0.115618900,0.135564900,0.312552648,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,6385,2247,2353,0.060517251,0.203745870,0.205964911,0.369918158,0.375824670,0.166172287,0.169859759,0.449213654,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,6385,2247,2353,0.115570618,0.187180010,0.193478253,0.369918158,0.375824670,0.182738147,0.182346417,0.493996155,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,6385,2247,2353,0.284870536,0.297316818,0.324167777,0.369918158,0.375824670,0.072601340,0.051656894,0.196263249,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,6385,2247,2353,0.243215258,0.298723768,0.320770755,0.369918158,0.375824670,0.071194390,0.055053915,0.192459840,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,6385,2247,2353,0.271417502,0.284126745,0.301605994,0.369918158,0.375824670,0.085791413,0.074218677,0.231919983,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,6385,2247,2353,0.188266479,0.221398890,0.220637753,0.369918158,0.375824670,0.148519268,0.155186917,0.401492234,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,6385,2247,2353,0.000000000,0.182250255,0.182331268,0.369918158,0.375824670,0.187667903,0.193493403,0.507322767,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,hist_gradient_boosting,6385,2247,2353,0.101706866,0.178307216,0.180604553,0.369918158,0.375824670,0.191610942,0.195220117,0.517981985,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,knn,6385,2247,2353,0.169802416,0.217796488,0.209231768,0.369918158,0.375824670,0.152121670,0.166592902,0.411230610,false,false
log10_k_vrh,phase130_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,extra_trees,6385,2247,2353,0.000000000,0.154404108,0.162350961,0.369918158,0.375824670,0.215514050,0.213473709,0.582599274,false,false
