target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
exfoliation_en,mean,mean,train,403,109.987398990,61.805184912,0.000000000,1.000000000
exfoliation_en,mean,mean,val,124,104.781107429,54.122450902,-0.000015647,0.952664654
exfoliation_en,mean,mean,test,109,218.749457654,94.229402683,-0.003848070,1.988859266
exfoliation_en,composition_descriptors,knn,train,403,89.330463890,43.042306296,0.340350383,0.812188166
exfoliation_en,composition_descriptors,knn,val,124,102.848326301,48.452410261,0.036536461,0.935091904
exfoliation_en,composition_descriptors,knn,test,109,208.358110547,68.537803227,0.089259102,1.894381652
exfoliation_en,composition_descriptors,extra_trees,train,403,8.262697987,1.961436028,0.994356378,0.075124042
exfoliation_en,composition_descriptors,extra_trees,val,124,115.267704048,56.774034201,-0.210197113,1.048008273
exfoliation_en,composition_descriptors,extra_trees,test,109,172.165007057,71.426534070,0.378181287,1.565315742
exfoliation_en,composition_descriptors,hist_gradient_boosting,train,403,39.860266612,18.971459287,0.868660749,0.362407576
exfoliation_en,composition_descriptors,hist_gradient_boosting,val,124,107.092240920,58.766268771,-0.044616399,0.973677366
exfoliation_en,composition_descriptors,hist_gradient_boosting,test,109,204.619406120,87.209171352,0.121649894,1.860389536
exfoliation_en,common_element_fractions,knn,train,403,98.318851729,53.441729613,0.200924653,0.893910145
exfoliation_en,common_element_fractions,knn,val,124,116.412469759,68.039001392,-0.234354297,1.058416426
exfoliation_en,common_element_fractions,knn,test,109,225.793059830,88.818655003,-0.069535481,2.052899349
exfoliation_en,common_element_fractions,extra_trees,train,403,56.733141909,23.847498838,0.733934964,0.515814925
exfoliation_en,common_element_fractions,extra_trees,val,124,158.278282609,92.027479152,-1.281831050,1.439058329
exfoliation_en,common_element_fractions,extra_trees,test,109,236.097775818,108.797845917,-0.169385784,2.146589318
exfoliation_en,common_element_fractions,hist_gradient_boosting,train,403,99.339284699,53.372115754,0.184251670,0.903187871
exfoliation_en,common_element_fractions,hist_gradient_boosting,val,124,117.578074992,68.909057354,-0.259196529,1.069014051
exfoliation_en,common_element_fractions,hist_gradient_boosting,test,109,222.255983017,105.068213841,-0.036289124,2.020740422
exfoliation_en,lattice_descriptors,knn,train,403,91.859914313,41.790857251,0.302464672,0.835185805
exfoliation_en,lattice_descriptors,knn,val,124,103.835379486,45.228633397,0.017954668,0.944066142
exfoliation_en,lattice_descriptors,knn,test,109,216.490279128,70.848977599,0.016779739,1.968318927
exfoliation_en,lattice_descriptors,extra_trees,train,403,0.000000000,0.000000000,1.000000000,0.000000000
exfoliation_en,lattice_descriptors,extra_trees,val,124,101.508410242,49.321816321,0.061477088,0.922909453
exfoliation_en,lattice_descriptors,extra_trees,test,109,197.096096686,67.340334077,0.185051686,1.791987978
exfoliation_en,lattice_descriptors,hist_gradient_boosting,train,403,28.752752888,12.950391463,0.931660311,0.261418609
exfoliation_en,lattice_descriptors,hist_gradient_boosting,val,124,111.565364005,56.206005872,-0.133703795,1.014346780
exfoliation_en,lattice_descriptors,hist_gradient_boosting,test,109,203.970037598,80.733571446,0.127216012,1.854485509
exfoliation_en,composition_lattice_descriptors,knn,train,403,86.726166927,36.008124971,0.378251938,0.788510027
exfoliation_en,composition_lattice_descriptors,knn,val,124,101.827267075,44.436690559,0.055571677,0.925808484
exfoliation_en,composition_lattice_descriptors,knn,test,109,213.290163056,70.025114325,0.045632435,1.939223629
exfoliation_en,composition_lattice_descriptors,extra_trees,train,403,0.000000000,0.000000000,1.000000000,0.000000000
exfoliation_en,composition_lattice_descriptors,extra_trees,val,124,97.609848011,42.578407250,0.132183107,0.887463918
exfoliation_en,composition_lattice_descriptors,extra_trees,test,109,180.968011607,62.067679814,0.312966921,1.645352225
exfoliation_en,composition_lattice_descriptors,hist_gradient_boosting,train,403,28.422579872,11.142408751,0.933220813,0.258416693
exfoliation_en,composition_lattice_descriptors,hist_gradient_boosting,val,124,97.056199858,48.340673464,0.141999793,0.882430176
exfoliation_en,composition_lattice_descriptors,hist_gradient_boosting,test,109,194.727072676,69.428549329,0.204524719,1.770448928
exfoliation_en,composition_hash_shortcut,knn,train,403,101.716344515,47.975070993,0.144744995,0.924799981
exfoliation_en,composition_hash_shortcut,knn,val,124,108.399022251,44.230926859,-0.070265575,0.985558557
exfoliation_en,composition_hash_shortcut,knn,test,109,222.282542815,78.391620270,-0.036536813,2.020981902
exfoliation_en,chemistry_family_shortcut,knn,train,403,99.350926697,44.065085736,0.184060457,0.903293719
exfoliation_en,chemistry_family_shortcut,knn,val,124,109.360703496,44.336674425,-0.089339916,0.994302116
exfoliation_en,chemistry_family_shortcut,knn,test,109,222.975051735,77.288946526,-0.043005420,2.027278159
exfoliation_en,dominant_element_shortcut,knn,train,403,105.219383034,55.703528652,0.084821860,0.956649434
exfoliation_en,dominant_element_shortcut,knn,val,124,111.051847974,47.860404011,-0.123291330,1.009677918
exfoliation_en,dominant_element_shortcut,knn,test,109,220.773874825,95.486723182,-0.022514272,2.007265167
exfoliation_en,dominant_element_shortcut,extra_trees,train,403,97.444381664,51.375806693,0.215075754,0.885959506
exfoliation_en,dominant_element_shortcut,extra_trees,val,124,114.470464583,52.277064940,-0.193514550,1.040759811
exfoliation_en,dominant_element_shortcut,extra_trees,test,109,219.771078997,99.551983040,-0.013246470,1.998147797
