column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase132_row_id,636,0,636,identifier,,,
composition,636,0,568,identifier,,,
exfoliation_en,636,636,636,target,0.026500000,1604.038285714,134.276662977
dominant_element,636,0,45,categorical_feature,,,
chemistry_family_key,636,0,239,categorical_feature,,,
composition_hash16,636,1,568,categorical_feature,8938240687516964.000000000,8938240687516964.000000000,
n_sites,636,636,23,numeric_feature,1.000000000,35.000000000,4.357491922
element_count,636,636,5,numeric_feature,1.000000000,5.000000000,0.589587173
entropy_fraction,636,636,49,numeric_feature,0.000000000,1.000000000,0.138176672
max_fraction,636,636,29,numeric_feature,0.285714286,1.000000000,0.155541455
anion_fraction,636,636,39,numeric_feature,0.000000000,1.000000000,0.201891580
chalcogen_fraction,636,636,36,numeric_feature,0.000000000,1.000000000,0.288893622
halogen_fraction,636,636,27,numeric_feature,0.000000000,1.000000000,0.294467566
pnictogen_fraction,636,636,21,numeric_feature,0.000000000,1.000000000,0.188531637
alkali_fraction,636,636,11,numeric_feature,0.000000000,0.750000000,0.084394113
alkaline_earth_fraction,636,636,16,numeric_feature,0.000000000,0.750000000,0.084587623
transition_metal_fraction,636,636,23,numeric_feature,0.000000000,0.666666667,0.171576871
post_transition_fraction,636,636,21,numeric_feature,0.000000000,1.000000000,0.154791530
metalloid_fraction,636,636,30,numeric_feature,0.000000000,1.000000000,0.245902750
rare_earth_fraction,636,636,12,numeric_feature,0.000000000,0.666666667,0.100882638
mean_atomic_number,636,636,361,numeric_feature,3.600000000,83.000000000,14.814328561
max_atomic_number,636,636,70,numeric_feature,6.000000000,92.000000000,21.642230047
mean_electronegativity,636,636,459,numeric_feature,1.242500000,3.710000000,0.365064348
electronegativity_range,636,636,244,numeric_feature,0.000000000,3.160000000,0.634113793
lattice_a,636,636,636,numeric_feature,2.464193727,14.969231764,1.670113166
lattice_b,636,636,636,numeric_feature,2.464193727,15.707735667,2.398482722
lattice_c,636,636,635,numeric_feature,9.751260000,44.619258000,3.256589121
lattice_alpha,636,636,62,numeric_feature,66.703474535,122.821222430,2.344327347
lattice_beta,636,636,107,numeric_feature,77.790922016,124.532550767,3.863990819
lattice_gamma,636,636,352,numeric_feature,57.805655487,125.757798551,15.950851528
lattice_volume,636,636,636,numeric_feature,109.158043770,2999.686858956,503.232807284
volume_per_site,636,636,636,numeric_feature,20.702854362,330.869136786,39.893271472
abc_anisotropy,636,636,636,numeric_feature,1.731866358,12.500264352,1.820176195
angle_deviation,636,636,426,numeric_feature,0.000000000,0.238450343,0.054027139
density_z_proxy,636,636,636,numeric_feature,0.038833224,1.107209936,0.163045169
site_z_mean,636,636,361,numeric_feature,3.600000000,83.000000000,14.814328561
site_z_std,636,636,432,numeric_feature,0.000000000,37.000000000,8.871183906
frac_H,636,636,12,numeric_feature,0.000000000,0.800000000,0.068022777
frac_He,636,636,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Li,636,636,4,numeric_feature,0.000000000,0.400000000,0.026382899
frac_Be,636,636,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_B,636,636,7,numeric_feature,0.000000000,0.500000000,0.039800852
frac_C,636,636,8,numeric_feature,0.000000000,1.000000000,0.064083728
frac_N,636,636,8,numeric_feature,0.000000000,0.545454545,0.094394064
frac_O,636,636,23,numeric_feature,0.000000000,0.750000000,0.209147382
frac_F,636,636,8,numeric_feature,0.000000000,0.800000000,0.073614961
frac_Ne,636,636,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Na,636,636,5,numeric_feature,0.000000000,0.750000000,0.039682827
frac_Mg,636,636,9,numeric_feature,0.000000000,0.750000000,0.050821995
frac_Al,636,636,14,numeric_feature,0.000000000,0.500000000,0.049928633
frac_Si,636,636,9,numeric_feature,0.000000000,0.750000000,0.066881133
frac_P,636,636,14,numeric_feature,0.000000000,1.000000000,0.105531064
frac_S,636,636,23,numeric_feature,0.000000000,0.777777778,0.208911940
frac_Cl,636,636,19,numeric_feature,0.000000000,0.833333333,0.200569227
frac_Ar,636,636,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_K,636,636,6,numeric_feature,0.000000000,0.571428571,0.047697090
frac_Ca,636,636,6,numeric_feature,0.000000000,0.500000000,0.043717772
frac_Sc,636,636,8,numeric_feature,0.000000000,0.666666667,0.048561206
frac_Ti,636,636,9,numeric_feature,0.000000000,0.666666667,0.066027048
frac_V,636,636,5,numeric_feature,0.000000000,0.333333333,0.040045157
frac_Cr,636,636,8,numeric_feature,0.000000000,0.500000000,0.041830512
frac_Mn,636,636,4,numeric_feature,0.000000000,0.500000000,0.044694498
frac_Fe,636,636,9,numeric_feature,0.000000000,0.500000000,0.049085616
frac_Co,636,636,6,numeric_feature,0.000000000,0.333333333,0.046964176
frac_Ni,636,636,6,numeric_feature,0.000000000,0.500000000,0.044103997
frac_Cu,636,636,4,numeric_feature,0.000000000,0.500000000,0.029095900
frac_Zn,636,636,4,numeric_feature,0.000000000,0.333333333,0.023883245
frac_Ga,636,636,8,numeric_feature,0.000000000,1.000000000,0.071370640
frac_Ge,636,636,8,numeric_feature,0.000000000,0.500000000,0.039403834
frac_As,636,636,13,numeric_feature,0.000000000,1.000000000,0.089463617
frac_Se,636,636,15,numeric_feature,0.000000000,1.000000000,0.197434442
frac_Br,636,636,15,numeric_feature,0.000000000,0.800000000,0.188911797
frac_Kr,636,636,2,numeric_feature,0.000000000,0.333333333,0.013217526
frac_Rb,636,636,7,numeric_feature,0.000000000,0.666666667,0.045883188
frac_Sr,636,636,8,numeric_feature,0.000000000,0.333333333,0.033249644
frac_Y,636,636,6,numeric_feature,0.000000000,0.666666667,0.055850584
frac_Zr,636,636,9,numeric_feature,0.000000000,0.500000000,0.062462715
frac_Nb,636,636,11,numeric_feature,0.000000000,0.400000000,0.062202453
frac_Mo,636,636,4,numeric_feature,0.000000000,0.333333333,0.037840501
frac_Tc,636,636,2,numeric_feature,0.000000000,0.333333333,0.013217526
frac_Ru,636,636,2,numeric_feature,0.000000000,0.250000000,0.017143010
frac_Rh,636,636,3,numeric_feature,0.000000000,0.333333333,0.023311722
frac_Pd,636,636,7,numeric_feature,0.000000000,0.625000000,0.052443522
