target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,6082,2570,2333,0.200338049,0.266359573,0.302236606,0.336058320,0.374112147,0.069698747,0.071875541,0.207400749,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,6082,2570,2333,0.055625246,0.221906706,0.252162289,0.336058320,0.374112147,0.114151615,0.121949858,0.339677990,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,6082,2570,2333,0.129337210,0.218201387,0.230430825,0.336058320,0.374112147,0.117856933,0.143681322,0.350703810,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,6082,2570,2333,0.312343354,0.301755609,0.325663023,0.336058320,0.374112147,0.034302711,0.048449124,0.102073686,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,6082,2570,2333,0.260474332,0.296130523,0.323203164,0.336058320,0.374112147,0.039927797,0.050908983,0.118812107,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,6082,2570,2333,0.285102238,0.290550618,0.311034405,0.336058320,0.374112147,0.045507702,0.063077742,0.135416086,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,6082,2570,2333,0.218890079,0.240203533,0.258412941,0.336058320,0.374112147,0.095854787,0.115699206,0.285232596,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,6082,2570,2333,0.000000000,0.206738618,0.212656349,0.336058320,0.374112147,0.129319702,0.161455798,0.384813273,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,hist_gradient_boosting,6082,2570,2333,0.130104916,0.201637906,0.210143156,0.336058320,0.374112147,0.134420415,0.163968991,0.399991331,false,false
log10_g_vrh,phase129_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,knn,6082,2570,2333,0.190040987,0.216705746,0.249669279,0.336058320,0.374112147,0.119352574,0.124442868,0.355154349,false,false
