column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase135_row_id,18928,0,18928,identifier,,,
composition,18928,0,9646,identifier,,,
e_form,18928,18928,265,target,-0.640000000,5.160000000,0.742501643
dominant_element,18928,0,54,categorical_feature,,,
chemistry_family_key,18928,0,342,categorical_feature,,,
composition_hash16,18928,14,9646,categorical_feature,2237835995540206.000000000,8446380989346217.000000000,2142968361293810.500000000
n_sites,18928,18928,1,numeric_feature,5.000000000,5.000000000,0.000000000
element_count,18928,18928,4,numeric_feature,2.000000000,5.000000000,0.653488159
entropy_fraction,18928,18928,5,numeric_feature,0.864973521,1.000000000,0.048362898
max_fraction,18928,18928,3,numeric_feature,0.200000000,0.600000000,0.127223412
anion_fraction,18928,18928,4,numeric_feature,0.600000000,1.000000000,0.075370906
chalcogen_fraction,18928,18928,7,numeric_feature,0.000000000,1.000000000,0.209666826
halogen_fraction,18928,18928,2,numeric_feature,0.000000000,0.200000000,0.090353177
pnictogen_fraction,18928,18928,7,numeric_feature,0.000000000,1.000000000,0.223754426
alkali_fraction,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.083384831
alkaline_earth_fraction,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.083384831
transition_metal_fraction,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.141006054
post_transition_fraction,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.096540246
metalloid_fraction,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.090366542
rare_earth_fraction,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.038845276
mean_atomic_number,18928,18928,290,numeric_feature,5.400000000,39.600000000,6.621828839
max_atomic_number,18928,18928,53,numeric_feature,7.000000000,83.000000000,20.314215556
mean_electronegativity,18928,18928,789,numeric_feature,2.140000000,3.188000000,0.174859666
electronegativity_range,18928,18928,119,numeric_feature,0.500000000,3.190000000,0.526268210
lattice_a,18928,18928,18928,numeric_feature,3.298507770,5.707277632,0.305934347
lattice_b,18928,18928,18928,numeric_feature,3.298507770,5.707277632,0.305934347
lattice_c,18928,18928,18928,numeric_feature,3.298507770,5.707277632,0.305934347
lattice_alpha,18928,18928,1,numeric_feature,90.000000000,90.000000000,0.000000000
lattice_beta,18928,18928,1,numeric_feature,90.000000000,90.000000000,0.000000000
lattice_gamma,18928,18928,1,numeric_feature,90.000000000,90.000000000,0.000000000
lattice_volume,18928,18928,18928,numeric_feature,35.888270897,185.903256858,16.662575077
volume_per_site,18928,18928,18928,numeric_feature,7.177654179,37.180651372,3.332515015
abc_anisotropy,18928,18928,1,numeric_feature,1.000000000,1.000000000,0.000000000
angle_deviation,18928,18928,1,numeric_feature,0.000000000,0.000000000,0.000000000
density_z_proxy,18928,18928,18928,numeric_feature,0.360929786,2.998623682,0.461423391
site_z_mean,18928,18928,290,numeric_feature,5.400000000,39.600000000,6.621828839
site_z_std,18928,18928,4957,numeric_feature,0.979795897,37.232244090,8.303778499
frac_H,18928,18928,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_He,18928,18928,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Li,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.038845276
frac_Be,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.038845276
frac_B,18928,18928,3,numeric_feature,0.000000000,0.400000000,0.038845276
frac_C,18928,18928,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_N,18928,18928,4,numeric_feature,0.000000000,0.600000000,0.213814642
frac_O,18928,18928,4,numeric_feature,0.000000000,0.600000000,0.180706354
frac_F,18928,18928,2,numeric_feature,0.000000000,0.200000000,0.090353177
frac_Ne,18928,18928,1,numeric_feature,0.000000000,0.000000000,0.000000000
