target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,10233,5070,3625,0.548660309,0.679518605,0.682892140,0.779942937,0.713541064,0.100424332,0.030648924,0.128758564,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,10233,5070,3625,0.490149244,0.621769846,0.608810125,0.779942937,0.713541064,0.158173091,0.104730939,0.202800850,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,10233,5070,3625,0.510598835,0.596264349,0.562942046,0.779942937,0.713541064,0.183678588,0.150599018,0.235502598,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,10233,5070,3625,0.655392123,0.736008837,0.731651760,0.779942937,0.713541064,0.043934100,-0.018110696,0.056329890,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,10233,5070,3625,0.628428992,0.753143992,0.727916206,0.779942937,0.713541064,0.026798945,-0.014375142,0.034360136,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,10233,5070,3625,0.633074189,0.739646899,0.692735229,0.779942937,0.713541064,0.040296038,0.020805835,0.051665367,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,10233,5070,3625,0.545818500,0.669207254,0.619591788,0.779942937,0.713541064,0.110735683,0.093949276,0.141979211,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,10233,5070,3625,0.000000000,0.664001747,0.623077358,0.779942937,0.713541064,0.115941190,0.090463706,0.148653427,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,hist_gradient_boosting,10233,5070,3625,0.473139940,0.641626875,0.605080405,0.779942937,0.713541064,0.138316062,0.108460659,0.177341259,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,knn,10233,5070,3625,0.442906175,0.698385586,0.594931604,0.779942937,0.713541064,0.081557352,0.118609460,0.104568357,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,extra_trees,10233,5070,3625,0.000000000,0.549648585,0.451525498,0.779942937,0.713541064,0.230294352,0.262015566,0.295270771,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,hist_gradient_boosting,10233,5070,3625,0.303165329,0.487051973,0.412936406,0.779942937,0.713541064,0.292890964,0.300604658,0.375528709,true,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,10233,5070,3625,0.686857510,0.781293496,0.708362989,0.779942937,0.713541064,-0.001350559,0.005178075,-0.001731612,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,10233,5070,3625,0.622544882,0.996762433,0.995291472,0.779942937,0.713541064,-0.216819496,-0.281750408,-0.277994050,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,10233,5070,3625,0.772970901,0.810571509,0.753371518,0.779942937,0.713541064,-0.030628572,-0.039830454,-0.039270273,false,false
e_form,phase135_registered_split,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,10233,5070,3625,0.694109448,0.766001407,0.683948540,0.779942937,0.713541064,0.013941530,0.029592524,0.017875064,false,true
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,11209,3873,3846,0.585972279,0.669803031,0.608200280,0.734288265,0.670530243,0.064485234,0.062329964,0.087820053,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,11209,3873,3846,0.531092528,0.553593849,0.546142349,0.734288265,0.670530243,0.180694416,0.124387894,0.246081035,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,11209,3873,3846,0.551547898,0.533738568,0.521808292,0.734288265,0.670530243,0.200549697,0.148721951,0.273121207,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,11209,3873,3846,0.701140159,0.755663063,0.684626530,0.734288265,0.670530243,-0.021374797,-0.014096286,-0.029109545,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,11209,3873,3846,0.676118100,0.715419531,0.672109811,0.734288265,0.670530243,0.018868734,-0.001579568,0.025696630,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,11209,3873,3846,0.680164822,0.684598566,0.657994140,0.734288265,0.670530243,0.049689700,0.012536104,0.067670562,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,11209,3873,3846,0.576121571,0.616800295,0.593530583,0.734288265,0.670530243,0.117487970,0.076999660,0.160002516,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,11209,3873,3846,0.000000000,0.612116861,0.596484112,0.734288265,0.670530243,0.122171404,0.074046131,0.166380712,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,hist_gradient_boosting,11209,3873,3846,0.509727373,0.580630917,0.556898313,0.734288265,0.670530243,0.153657349,0.113631931,0.209260254,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,knn,11209,3873,3846,0.458216516,0.606772477,0.629077536,0.734288265,0.670530243,0.127515789,0.041452707,0.173659031,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,extra_trees,11209,3873,3846,0.000000000,0.478225375,0.471871631,0.734288265,0.670530243,0.256062890,0.198658613,0.348722569,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,hist_gradient_boosting,11209,3873,3846,0.320719785,0.425859450,0.412081975,0.734288265,0.670530243,0.308428815,0.258448268,0.420037783,true,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,11209,3873,3846,0.742565867,0.784290701,0.733890182,0.734288265,0.670530243,-0.050002435,-0.063359939,-0.068096465,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,11209,3873,3846,0.671842753,0.821326382,0.736245078,0.734288265,0.670530243,-0.087038117,-0.065714834,-0.118533988,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,11209,3873,3846,0.778379807,0.709254960,0.642758190,0.734288265,0.670530243,0.025033306,0.027772053,0.034091932,false,false
e_form,chemistry_family_hash_0,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,11209,3873,3846,0.741653829,0.679394899,0.649867131,0.734288265,0.670530243,0.054893366,0.020663112,0.074757243,false,true
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,11870,3027,4031,0.565497478,0.657081476,0.692742640,0.717141326,0.775168129,0.060059850,0.082425489,0.083748974,false,false
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,11870,3027,4031,0.504841063,0.565288974,0.600083065,0.717141326,0.775168129,0.151852351,0.175085064,0.211746759,false,false
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,11870,3027,4031,0.525527555,0.560824752,0.563504750,0.717141326,0.775168129,0.156316573,0.211663378,0.217971783,false,false
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,11870,3027,4031,0.683731648,0.718307718,0.760854556,0.717141326,0.775168129,-0.001166393,0.014313572,-0.001626447,false,false
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,11870,3027,4031,0.648345671,0.694510337,0.762441848,0.717141326,0.775168129,0.022630989,0.012726280,0.031557223,false,false
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,11870,3027,4031,0.653191854,0.659062345,0.728413879,0.717141326,0.775168129,0.058078981,0.046754250,0.080986800,false,false
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,11870,3027,4031,0.540049266,0.677586346,0.661354027,0.717141326,0.775168129,0.039554980,0.113814102,0.055156464,false,false
e_form,chemistry_family_hash_1,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,11870,3027,4031,0.000000000,0.663164380,0.655872151,0.717141326,0.775168129,0.053976946,0.119295978,0.075266818,false,false
