target,profile,method,split,n_rows,balanced_accuracy,accuracy,log_loss,true_positive_rate,true_negative_rate,true_positive_fraction,pred_positive_fraction
gfa,majority,majority,train,3994,0.500000000,0.696795193,4.188929912,1.000000000,0.000000000,0.696795193,1.000000000
gfa,majority,majority,val,771,0.500000000,0.758754864,3.332925485,1.000000000,0.000000000,0.758754864,1.000000000
gfa,majority,majority,test,915,0.500000000,0.728961749,3.744532552,1.000000000,0.000000000,0.728961749,1.000000000
gfa,composition_descriptors,knn,train,3994,0.786541978,0.855282924,0.297784935,0.961192957,0.611890999,0.696795193,0.787431147
gfa,composition_descriptors,knn,val,771,0.644361731,0.749675746,0.701882170,0.847863248,0.440860215,0.758754864,0.778210117
gfa,composition_descriptors,knn,test,915,0.593385767,0.737704918,0.872414946,0.908545727,0.278225806,0.728961749,0.857923497
gfa,composition_descriptors,extra_trees,train,3994,1.000000000,1.000000000,0.000001000,1.000000000,1.000000000,0.696795193,0.696795193
gfa,composition_descriptors,extra_trees,val,771,0.769120485,0.805447471,0.461025021,0.839316239,0.698924731,0.758754864,0.709468223
gfa,composition_descriptors,extra_trees,test,915,0.684187140,0.751912568,0.541279488,0.832083958,0.536290323,0.728961749,0.732240437
gfa,composition_descriptors,hist_gradient_boosting,train,3994,0.972799939,0.979969955,0.102639443,0.991016888,0.954582989,0.696795193,0.704306460
gfa,composition_descriptors,hist_gradient_boosting,val,771,0.780245382,0.802853437,0.566035609,0.823931624,0.736559140,0.758754864,0.688715953
gfa,composition_descriptors,hist_gradient_boosting,test,915,0.709051724,0.747540984,0.594577059,0.793103448,0.625000000,0.728961749,0.679781421
gfa,common_element_fractions,knn,train,3994,0.803302640,0.859789685,0.293488800,0.946819978,0.659785301,0.696795193,0.762894342
gfa,common_element_fractions,knn,val,771,0.636297215,0.745784695,0.714617148,0.847863248,0.424731183,0.758754864,0.782101167
gfa,common_element_fractions,knn,test,915,0.655523045,0.756284153,0.624049178,0.875562219,0.435483871,0.728961749,0.791256831
gfa,common_element_fractions,extra_trees,train,3994,0.981463634,0.978718077,0.039236628,0.974487963,0.988439306,0.696795193,0.682523786
gfa,common_element_fractions,extra_trees,val,771,0.703873725,0.770428016,0.694919930,0.832478632,0.575268817,0.758754864,0.734111543
gfa,common_element_fractions,extra_trees,test,915,0.682687890,0.749726776,0.540558330,0.829085457,0.536290323,0.728961749,0.730054645
gfa,common_element_fractions,hist_gradient_boosting,train,3994,0.917627610,0.939158738,0.177384454,0.972332016,0.862923204,0.696795193,0.719078618
gfa,common_element_fractions,hist_gradient_boosting,val,771,0.661952026,0.765239948,0.544450419,0.861538462,0.462365591,0.758754864,0.783398184
gfa,common_element_fractions,hist_gradient_boosting,test,915,0.672401702,0.766120219,0.547881698,0.877061469,0.467741935,0.728961749,0.783606557
gfa,all_element_fractions,knn,train,3994,0.804812485,0.862543816,0.281545700,0.951491197,0.658133774,0.696795193,0.766649975
gfa,all_element_fractions,knn,val,771,0.682009926,0.748378729,0.809608804,0.810256410,0.553763441,0.758754864,0.722438392
gfa,all_element_fractions,knn,test,915,0.670306984,0.746448087,0.749904917,0.836581709,0.504032258,0.728961749,0.744262295
gfa,all_element_fractions,extra_trees,train,3994,1.000000000,1.000000000,0.000040279,1.000000000,1.000000000,0.696795193,0.696795193
gfa,all_element_fractions,extra_trees,val,771,0.727695065,0.789883268,0.473898959,0.847863248,0.607526882,0.758754864,0.738002594
gfa,all_element_fractions,extra_trees,test,915,0.675270228,0.757377049,0.472385198,0.854572714,0.495967742,0.728961749,0.759562842
gfa,all_element_fractions,hist_gradient_boosting,train,3994,0.939854098,0.955182774,0.145331131,0.978799856,0.900908340,0.696795193,0.712068102
gfa,all_element_fractions,hist_gradient_boosting,val,771,0.706796250,0.785992218,0.514089301,0.859829060,0.553763441,0.758754864,0.760051881
gfa,all_element_fractions,hist_gradient_boosting,test,915,0.673072738,0.748633880,0.575471234,0.838080960,0.508064516,0.728961749,0.744262295
gfa,common_plus_descriptors,knn,train,3994,0.799486412,0.864546820,0.276171918,0.964786202,0.634186623,0.696795193,0.783174762
gfa,common_plus_descriptors,knn,val,771,0.666225531,0.771725032,0.658110929,0.870085470,0.462365591,0.758754864,0.789883268
gfa,common_plus_descriptors,knn,test,915,0.661054553,0.760655738,0.649478557,0.878560720,0.443548387,0.728961749,0.791256831
gfa,common_plus_descriptors,extra_trees,train,3994,1.000000000,1.000000000,0.000043729,1.000000000,1.000000000,0.696795193,0.696795193
gfa,common_plus_descriptors,extra_trees,val,771,0.738075545,0.802853437,0.431027423,0.863247863,0.612903226,0.758754864,0.748378729
gfa,common_plus_descriptors,extra_trees,test,915,0.729318808,0.801092896,0.434740229,0.886056972,0.572580645,0.728961749,0.761748634
gfa,common_plus_descriptors,hist_gradient_boosting,train,3994,0.980736232,0.986479720,0.086417316,0.995328782,0.966143683,0.696795193,0.703805709
