column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase138_row_id,5680,0,5680,identifier,,,
composition,5680,0,5680,identifier,,,
gfa,5680,5680,2,target,0.000000000,1.000000000,0.453622532
dominant_element,5680,0,41,categorical_feature_or_shortcut_audit,,,
chemistry_family_key,5680,0,335,categorical_feature_or_shortcut_audit,,,
composition_hash16,5680,8,5680,identity_or_shortcut_audit,3699833003376107.000000000,,
element_count,5680,5680,3,numeric_chemistry_feature,1.000000000,3.000000000,0.291943673
entropy_fraction,5680,5680,1305,numeric_chemistry_feature,-0.000000000,1.098611289,0.212774840
max_fraction,5680,5680,281,numeric_chemistry_feature,0.334000000,1.000000000,0.143410615
anion_fraction,5680,5680,67,numeric_chemistry_feature,0.000000000,0.420000000,0.043085484
oxygen_fraction,5680,5680,7,numeric_chemistry_feature,0.000000000,0.416000000,0.010994971
chalcogen_fraction,5680,5680,7,numeric_chemistry_feature,0.000000000,0.416000000,0.010994971
halogen_fraction,5680,5680,17,numeric_chemistry_feature,0.000000000,0.330000000,0.010545840
pnictogen_fraction,5680,5680,59,numeric_chemistry_feature,0.000000000,0.420000000,0.040515858
alkali_fraction,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
alkaline_earth_fraction,5680,5680,109,numeric_chemistry_feature,0.000000000,1.000000000,0.189872634
transition_metal_fraction,5680,5680,304,numeric_chemistry_feature,0.000000000,1.000000000,0.324810125
post_transition_fraction,5680,5680,132,numeric_chemistry_feature,0.000000000,1.000000000,0.297626365
metalloid_fraction,5680,5680,162,numeric_chemistry_feature,0.000000000,0.952681388,0.114735069
rare_earth_fraction,5680,5680,126,numeric_chemistry_feature,0.000000000,0.900000000,0.131426797
mean_atomic_number,5680,5680,3427,numeric_chemistry_feature,8.165000000,74.421000000,9.292236319
max_atomic_number,5680,5680,42,numeric_chemistry_feature,12.000000000,92.000000000,15.195772352
mean_electronegativity,5680,5680,4355,numeric_chemistry_feature,0.999300000,2.556300000,0.215279626
electronegativity_range,5680,5680,146,numeric_chemistry_feature,0.000000000,2.150000000,0.252638986
frac_H,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_He,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Li,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Be,5680,5680,20,numeric_chemistry_feature,0.000000000,0.500000000,0.033469998
frac_B,5680,5680,108,numeric_chemistry_feature,0.000000000,0.815000000,0.087127187
frac_C,5680,5680,31,numeric_chemistry_feature,0.000000000,0.250000000,0.036870175
frac_N,5680,5680,9,numeric_chemistry_feature,0.000000000,0.420000000,0.008524945
frac_O,5680,5680,7,numeric_chemistry_feature,0.000000000,0.416000000,0.010994971
frac_F,5680,5680,17,numeric_chemistry_feature,0.000000000,0.330000000,0.010545840
frac_Ne,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Na,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Mg,5680,5680,81,numeric_chemistry_feature,0.000000000,1.000000000,0.182251765
frac_Al,5680,5680,130,numeric_chemistry_feature,0.000000000,1.000000000,0.297609524
frac_Si,5680,5680,80,numeric_chemistry_feature,0.000000000,0.952681388,0.080395010
frac_P,5680,5680,55,numeric_chemistry_feature,0.000000000,0.270000000,0.039494086
frac_S,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Cl,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Ar,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_K,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Ca,5680,5680,23,numeric_chemistry_feature,0.000000000,0.750000000,0.037081022
frac_Sc,5680,5680,4,numeric_chemistry_feature,0.000000000,0.750000000,0.011203828
frac_Ti,5680,5680,95,numeric_chemistry_feature,0.000000000,1.000000000,0.140324979
frac_V,5680,5680,46,numeric_chemistry_feature,0.000000000,0.400000000,0.029255052
frac_Cr,5680,5680,72,numeric_chemistry_feature,0.000000000,0.870000000,0.062517531
frac_Mn,5680,5680,102,numeric_chemistry_feature,0.000000000,0.900000000,0.062827992
frac_Fe,5680,5680,204,numeric_chemistry_feature,0.000000000,0.950000000,0.303249104
frac_Co,5680,5680,186,numeric_chemistry_feature,0.000000000,1.000000000,0.213398501
frac_Ni,5680,5680,176,numeric_chemistry_feature,0.000000000,1.000000000,0.215870418
frac_Cu,5680,5680,143,numeric_chemistry_feature,0.000000000,0.950000000,0.167114714
frac_Zn,5680,5680,15,numeric_chemistry_feature,0.000000000,0.500000000,0.023956767
frac_Ga,5680,5680,13,numeric_chemistry_feature,0.000000000,0.360000000,0.009144617
frac_Ge,5680,5680,34,numeric_chemistry_feature,0.000000000,0.520000000,0.029581806
frac_As,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Se,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Br,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Kr,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Rb,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Sr,5680,5680,27,numeric_chemistry_feature,0.000000000,0.170000000,0.008435932
frac_Y,5680,5680,32,numeric_chemistry_feature,0.000000000,0.600000000,0.036643303
frac_Zr,5680,5680,164,numeric_chemistry_feature,0.000000000,0.975000000,0.169939253
frac_Nb,5680,5680,87,numeric_chemistry_feature,0.000000000,0.850000000,0.082623900
frac_Mo,5680,5680,75,numeric_chemistry_feature,0.000000000,0.900000000,0.076588027
frac_Tc,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Ru,5680,5680,12,numeric_chemistry_feature,0.000000000,0.640000000,0.014987197
frac_Rh,5680,5680,7,numeric_chemistry_feature,0.000000000,0.560000000,0.008627983
frac_Pd,5680,5680,97,numeric_chemistry_feature,0.000000000,0.850000000,0.131012005
frac_Ag,5680,5680,63,numeric_chemistry_feature,0.000000000,0.840000000,0.058768316
frac_Cd,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_In,5680,5680,2,numeric_chemistry_feature,0.000000000,0.060000000,0.000796117
frac_Sn,5680,5680,4,numeric_chemistry_feature,0.000000000,0.090000000,0.001448792
frac_Sb,5680,5680,3,numeric_chemistry_feature,0.000000000,0.225000000,0.003932948
frac_Te,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_I,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Xe,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Cs,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Ba,5680,5680,14,numeric_chemistry_feature,0.000000000,0.670000000,0.009859617
frac_La,5680,5680,87,numeric_chemistry_feature,0.000000000,0.900000000,0.117202445
frac_Ce,5680,5680,25,numeric_chemistry_feature,0.000000000,0.550000000,0.023337003
frac_Pr,5680,5680,6,numeric_chemistry_feature,0.000000000,0.720000000,0.013120659
frac_Nd,5680,5680,46,numeric_chemistry_feature,0.000000000,0.800000000,0.049069824
frac_Pm,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Sm,5680,5680,15,numeric_chemistry_feature,0.000000000,0.550000000,0.011243791
frac_Eu,5680,5680,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Gd,5680,5680,29,numeric_chemistry_feature,0.000000000,0.750000000,0.024276111
frac_Tb,5680,5680,11,numeric_chemistry_feature,0.000000000,0.750000000,0.017815034
frac_Dy,5680,5680,4,numeric_chemistry_feature,0.000000000,0.880000000,0.016140595
