target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_accuracy,test_accuracy,val_log_loss,test_log_loss,majority_val_balanced_accuracy,majority_test_balanced_accuracy,val_balanced_accuracy_gain_vs_majority,test_balanced_accuracy_gain_vs_majority,selected_admissible,selected_negative_control
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,3994,771,915,0.786541978,0.644361731,0.593385767,0.749675746,0.737704918,0.701882170,0.872414946,0.500000000,0.500000000,0.144361731,0.093385767,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,3994,771,915,1.000000000,0.769120485,0.684187140,0.805447471,0.751912568,0.461025021,0.541279488,0.500000000,0.500000000,0.269120485,0.184187140,true,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,3994,771,915,0.972673834,0.766804522,0.711533346,0.796368353,0.753005464,0.564352973,0.594022754,0.500000000,0.500000000,0.266804522,0.211533346,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,3994,771,915,0.804380613,0.636297215,0.657539174,0.745784695,0.757377049,0.718003237,0.623049599,0.500000000,0.500000000,0.136297215,0.157539174,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,3994,771,915,0.981463634,0.703873725,0.682687890,0.770428016,0.749726776,0.694919930,0.540558330,0.500000000,0.500000000,0.203873725,0.182687890,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,3994,771,915,0.917627610,0.661952026,0.672401702,0.765239948,0.766120219,0.544461201,0.547881698,0.500000000,0.500000000,0.161952026,0.172401702,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,all_element_fractions,admissible,knn,3994,771,915,0.804812485,0.682009926,0.670306984,0.748378729,0.746448087,0.809608804,0.737521744,0.500000000,0.500000000,0.182009926,0.170306984,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,all_element_fractions,admissible,extra_trees,3994,771,915,1.000000000,0.727695065,0.675270228,0.789883268,0.757377049,0.473898959,0.472385198,0.500000000,0.500000000,0.227695065,0.175270228,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,all_element_fractions,admissible,hist_gradient_boosting,3994,771,915,0.939854098,0.706796250,0.673072738,0.785992218,0.748633880,0.514089301,0.575471234,0.500000000,0.500000000,0.206796250,0.173072738,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,knn,3994,771,915,0.799486412,0.666225531,0.661054553,0.771725032,0.760655738,0.658110929,0.649607282,0.500000000,0.500000000,0.166225531,0.161054553,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,extra_trees,3994,771,915,1.000000000,0.738075545,0.729318808,0.802853437,0.801092896,0.431027423,0.434740229,0.500000000,0.500000000,0.238075545,0.229318808,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,hist_gradient_boosting,3994,771,915,0.980843347,0.734298318,0.721976713,0.785992218,0.773770492,0.561269605,0.519684661,0.500000000,0.500000000,0.234298318,0.221976713,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,3994,771,915,0.503303055,0.500000000,0.500000000,0.758754864,0.728961749,0.572683494,0.593334508,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,3994,771,915,0.618734632,0.500000000,0.500000000,0.241245136,0.271038251,1.121259490,1.088528407,0.500000000,0.500000000,0.000000000,0.000000000,false,false
