target,split_id,split_strategy,split_viable,split_reason,train_rows,val_rows,test_rows,train_positive_fraction,val_positive_fraction,test_positive_fraction,class_balance_shift,majority_val_balanced_accuracy,majority_test_balanced_accuracy,best_admissible_profile,best_admissible_method,best_admissible_val_balanced_accuracy,best_admissible_test_balanced_accuracy,best_admissible_val_accuracy,best_admissible_test_accuracy,best_admissible_val_log_loss,best_admissible_test_log_loss,best_admissible_val_gain_vs_majority,best_admissible_test_gain_vs_majority,split_pass,best_negative_profile,best_negative_method,best_negative_val_balanced_accuracy,best_negative_test_balanced_accuracy,best_negative_val_log_loss,best_negative_test_log_loss,negative_control_dominates,nearest_neighbor_val_balanced_accuracy,nearest_neighbor_test_balanced_accuracy,nearest_neighbor_val_gain_vs_majority,nearest_neighbor_test_gain_vs_majority,nearest_neighbor_dominates,val_near_duplicate_fraction,test_near_duplicate_fraction
gfa,phase138_registered_split,group_hash_by_chemistry_family_key,true,ok,3994,771,915,0.696795193,0.758754864,0.728961749,0.061959671,0.500000000,0.500000000,composition_descriptors,extra_trees,0.769120485,0.684187140,0.805447471,0.751912568,0.461025021,0.541279488,0.269120485,0.184187140,true,dominant_element_shortcut,knn,0.603501516,0.571150916,0.903845292,0.743934531,false,0.711579818,0.709284471,0.211579818,0.209284471,false,0.000000000,0.000000000
gfa,chemistry_family_hash_0,group_hash_by_chemistry_family_key,true,ok,4112,812,756,0.704523346,0.671182266,0.784391534,0.079868188,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.732189121,0.771873287,0.762315271,0.858465608,0.472772302,0.325884890,0.232189121,0.271873287,true,dominant_element_shortcut,extra_trees,0.551712882,0.653653566,0.684645209,0.630957272,false,0.707995739,0.733304710,0.207995739,0.233304710,false,0.000000000,0.000000000
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,true,ok,3624,1263,793,0.732615894,0.668250198,0.675914250,0.064365696,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.753212343,0.703957111,0.814726841,0.765447667,0.415983097,0.482000920,0.253212343,0.203957111,true,dominant_element_shortcut,extra_trees,0.607798697,0.535883327,0.665458631,0.760243204,false,0.684220498,0.672055578,0.184220498,0.172055578,false,0.000000000,0.000000000
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,true,ok,2379,1465,1836,0.736023539,0.643686007,0.730392157,0.092337532,0.500000000,0.500000000,composition_descriptors,extra_trees,0.732180658,0.711409396,0.748805461,0.783224401,0.491682341,0.512358929,0.232180658,0.211409396,true,dominant_element_shortcut,extra_trees,0.678099974,0.510121348,0.642622795,0.657881779,false,0.586791970,0.642139516,0.086791970,0.142139516,false,0.000000000,0.000000000
gfa,dominant_element_hash,group_hash_by_dominant_element,true,ok,2547,290,2843,0.770710640,0.848275862,0.642279282,0.128431358,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.646895787,0.629109358,0.875862069,0.715793176,0.416406063,0.551330993,0.146895787,0.129109358,true,dominant_element_shortcut,extra_trees,0.500000000,0.500000000,0.430251503,0.731549760,false,0.669623060,0.614161392,0.169623060,0.114161392,true,0.000000000,0.000000000
gfa,element_count_bins,quartile_bins_by_element_count,true,ok,2840,1420,1420,0.739436620,0.831690141,0.530985915,0.208450704,0.500000000,0.500000000,common_plus_descriptors,hist_gradient_boosting,0.644727006,0.713268972,0.828169014,0.716901408,0.461239499,0.735770555,0.144727006,0.213268972,true,dominant_element_shortcut,extra_trees,0.637115203,0.596498355,0.790605113,0.726404813,false,0.655015429,0.704473041,0.155015429,0.204473041,true,0.000000000,0.000000000
gfa,entropy_bins,quartile_bins_by_entropy_fraction,true,ok,2840,1420,1420,0.636971831,0.800704225,0.766901408,0.163732394,0.500000000,0.500000000,all_element_fractions,extra_trees,0.743788284,0.760076735,0.785211268,0.785211268,0.477109488,0.511220522,0.243788284,0.260076735,true,dominant_element_shortcut,extra_trees,0.621684366,0.626839668,0.864468537,0.747925011,false,0.725318627,0.770650754,0.225318627,0.270650754,false,0.000000000,0.000000000
gfa,transition_metal_bins,quartile_bins_by_transition_metal_fraction,true,ok,2840,1420,1420,0.667253521,0.824647887,0.682394366,0.157394366,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.695876589,0.547444161,0.829577465,0.633098592,0.420317517,0.687828802,0.195876589,0.047444161,true,dominant_element_shortcut,extra_trees,0.578165780,0.542903169,0.582585546,0.747341266,false,0.695715398,0.615905716,0.195715398,0.115905716,true,0.000000000,0.000000000
gfa,metalloid_bins,quartile_bins_by_metalloid_fraction,true,ok,2840,1420,1420,0.705281690,0.571126761,0.859859155,0.154577465,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.691028935,0.711119068,0.720422535,0.781690141,0.555589661,0.454079340,0.191028935,0.211119068,true,dominant_element_shortcut,knn,0.613298468,0.563023965,0.733356490,0.625721485,false,0.655057006,0.699313521,0.155057006,0.199313521,false,0.000000000,0.000000000
gfa,max_fraction_bins,quartile_bins_by_max_fraction,true,ok,2840,1420,1420,0.779929577,0.742957746,0.538732394,0.241197183,0.500000000,0.500000000,common_plus_descriptors,hist_gradient_boosting,0.789495553,0.687686474,0.830985915,0.679577465,0.456597942,0.847020877,0.289495553,0.187686474,true,dominant_element_shortcut,extra_trees,0.599578004,0.562001696,0.663277882,0.694999723,false,0.732954619,0.599131866,0.232954619,0.099131866,false,0.000000000,0.000000000
