target,profile,method,split,n_rows,balanced_accuracy,accuracy,log_loss,true_positive_rate,true_negative_rate,true_positive_fraction,pred_positive_fraction
is_metal,majority,majority,train,3001,0.500000000,0.504831723,6.841003067,0.000000000,1.000000000,0.495168277,0.000000000
is_metal,majority,majority,val,1001,0.500000000,0.493506494,6.997466880,0.000000000,1.000000000,0.506493506,0.000000000
is_metal,majority,majority,test,919,0.500000000,0.501632209,6.885205981,0.000000000,1.000000000,0.498367791,0.000000000
is_metal,composition_descriptors,knn,train,3001,0.895060610,0.895034988,0.231991382,0.897711978,0.892409241,0.495168277,0.498833722
is_metal,composition_descriptors,knn,val,1001,0.862867227,0.863136863,0.446499796,0.883629191,0.842105263,0.506493506,0.525474525
is_metal,composition_descriptors,knn,test,919,0.869464521,0.869423286,0.628583123,0.882096070,0.856832972,0.498367791,0.511425462
is_metal,composition_descriptors,extra_trees,train,3001,0.999669967,0.999666778,0.000462975,1.000000000,0.999339934,0.495168277,0.495501500
is_metal,composition_descriptors,extra_trees,val,1001,0.897954947,0.898101898,0.274570889,0.909270217,0.886639676,0.506493506,0.516483516
is_metal,composition_descriptors,extra_trees,test,919,0.883606930,0.883569097,0.320887271,0.895196507,0.872017354,0.498367791,0.510337323
is_metal,composition_descriptors,hist_gradient_boosting,train,3001,0.999669967,0.999666778,0.025531551,1.000000000,0.999339934,0.495168277,0.495501500
is_metal,composition_descriptors,hist_gradient_boosting,val,1001,0.887054915,0.887112887,0.294195752,0.891518738,0.882591093,0.506493506,0.509490509
is_metal,composition_descriptors,hist_gradient_boosting,test,919,0.879225909,0.879216540,0.375185464,0.882096070,0.876355748,0.498367791,0.501632209
is_metal,common_element_fractions,knn,train,3001,0.780772357,0.781072976,0.451314438,0.749663526,0.811881188,0.495168277,0.466177941
is_metal,common_element_fractions,knn,val,1001,0.727473269,0.727272727,0.629947721,0.712031558,0.742914980,0.506493506,0.487512488
is_metal,common_element_fractions,knn,test,919,0.719193134,0.719260065,0.747956595,0.698689956,0.739696312,0.498367791,0.478781284
is_metal,common_element_fractions,extra_trees,train,3001,0.883019957,0.883372209,0.202806480,0.846567968,0.919471947,0.495168277,0.459846718
is_metal,common_element_fractions,extra_trees,val,1001,0.778340081,0.778221778,0.776744069,0.769230769,0.787449393,0.506493506,0.494505495
is_metal,common_element_fractions,extra_trees,test,919,0.725729144,0.725788901,0.922136022,0.707423581,0.744034707,0.498367791,0.480957563
is_metal,common_element_fractions,hist_gradient_boosting,train,3001,0.843522158,0.844051983,0.322913024,0.788694482,0.898349835,0.495168277,0.441852716
is_metal,common_element_fractions,hist_gradient_boosting,val,1001,0.769542199,0.769230769,0.487692171,0.745562130,0.793522267,0.506493506,0.479520480
is_metal,common_element_fractions,hist_gradient_boosting,test,919,0.737503434,0.737758433,0.509510615,0.659388646,0.815618221,0.498367791,0.421109902
is_metal,all_element_fractions,knn,train,3001,0.824283633,0.824725092,0.348650604,0.778600269,0.869966997,0.495168277,0.451182939
is_metal,all_element_fractions,knn,val,1001,0.782777951,0.782217782,0.589037721,0.739644970,0.825910931,0.506493506,0.460539461
