column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase141_row_id,4921,0,4921,identifier,,,
composition,4921,0,4921,identifier,,,
is_metal,4921,4921,2,target,0.000000000,1.000000000,0.500047083
dominant_element,4921,0,80,categorical_feature_or_shortcut_audit,,,
chemistry_family_key,4921,0,2704,categorical_feature_or_shortcut_audit,,,
composition_hash16,4921,4,4921,identity_or_shortcut_audit,3702541450190.000000000,,
element_count,4921,4921,3,numeric_chemistry_feature,2.000000000,4.000000000,0.713783211
entropy_fraction,4921,4921,786,numeric_chemistry_feature,0.007907255,1.386294361,0.216943416
max_fraction,4921,4921,299,numeric_chemistry_feature,0.250000000,0.999000000,0.116540094
anion_fraction,4921,4921,322,numeric_chemistry_feature,0.000000000,1.000000000,0.298660051
oxygen_fraction,4921,4921,166,numeric_chemistry_feature,0.000000000,0.769230769,0.239879546
chalcogen_fraction,4921,4921,278,numeric_chemistry_feature,0.000000000,1.000000000,0.285879782
halogen_fraction,4921,4921,99,numeric_chemistry_feature,0.000000000,1.000000000,0.132779302
pnictogen_fraction,4921,4921,174,numeric_chemistry_feature,0.000000000,1.000000000,0.163884739
alkali_fraction,4921,4921,137,numeric_chemistry_feature,0.000000000,1.000000000,0.117039668
alkaline_earth_fraction,4921,4921,112,numeric_chemistry_feature,0.000000000,0.993333333,0.115281556
transition_metal_fraction,4921,4921,296,numeric_chemistry_feature,0.000000000,1.000000000,0.258162351
post_transition_fraction,4921,4921,224,numeric_chemistry_feature,0.000000000,1.000000000,0.185683093
metalloid_fraction,4921,4921,226,numeric_chemistry_feature,0.000000000,1.000000000,0.218161880
rare_earth_fraction,4921,4921,124,numeric_chemistry_feature,0.000000000,1.000000000,0.152182392
mean_atomic_number,4921,4921,2448,numeric_chemistry_feature,3.750000000,86.857142857,15.305836594
max_atomic_number,4921,4921,78,numeric_chemistry_feature,5.000000000,92.000000000,18.977716112
mean_electronegativity,4921,4921,3489,numeric_chemistry_feature,0.907500000,3.682857143,0.435547115
electronegativity_range,4921,4921,468,numeric_chemistry_feature,0.000000000,3.190000000,0.735626609
frac_H,4921,4921,37,numeric_chemistry_feature,0.000000000,0.818181818,0.044530361
frac_He,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Li,4921,4921,80,numeric_chemistry_feature,0.000000000,0.800000000,0.071903365
frac_Be,4921,4921,16,numeric_chemistry_feature,0.000000000,0.956521739,0.041774383
frac_B,4921,4921,75,numeric_chemistry_feature,0.000000000,0.985074627,0.089710152
frac_C,4921,4921,36,numeric_chemistry_feature,0.000000000,0.983606557,0.055117233
frac_N,4921,4921,46,numeric_chemistry_feature,0.000000000,0.857142857,0.063694353
frac_O,4921,4921,166,numeric_chemistry_feature,0.000000000,0.769230769,0.239879546
frac_F,4921,4921,48,numeric_chemistry_feature,0.000000000,0.857142857,0.079180559
frac_Ne,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Na,4921,4921,55,numeric_chemistry_feature,0.000000000,0.789473684,0.056114131
frac_Mg,4921,4921,41,numeric_chemistry_feature,0.000000000,0.993333333,0.068667314
frac_Al,4921,4921,74,numeric_chemistry_feature,0.000000000,0.909090909,0.088814756
frac_Si,4921,4921,74,numeric_chemistry_feature,0.000000000,0.999000000,0.089090907
frac_P,4921,4921,70,numeric_chemistry_feature,0.000000000,0.937500000,0.087919465
frac_S,4921,4921,126,numeric_chemistry_feature,0.000000000,0.756756757,0.183762867
frac_Cl,4921,4921,46,numeric_chemistry_feature,0.000000000,0.818181818,0.062259945
frac_Ar,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_K,4921,4921,59,numeric_chemistry_feature,0.000000000,0.750000000,0.051264657
frac_Ca,4921,4921,39,numeric_chemistry_feature,0.000000000,0.833333333,0.055804844
frac_Sc,4921,4921,28,numeric_chemistry_feature,0.000000000,0.727272727,0.049887384
frac_Ti,4921,4921,61,numeric_chemistry_feature,0.000000000,0.750000000,0.057138444
frac_V,4921,4921,44,numeric_chemistry_feature,0.000000000,0.888888889,0.048191910
frac_Cr,4921,4921,38,numeric_chemistry_feature,0.000000000,0.750000000,0.041772696
frac_Mn,4921,4921,61,numeric_chemistry_feature,0.000000000,0.923076923,0.059912666
frac_Fe,4921,4921,59,numeric_chemistry_feature,0.000000000,0.906250000,0.065968360
frac_Co,4921,4921,53,numeric_chemistry_feature,0.000000000,0.894736842,0.067185399
frac_Ni,4921,4921,64,numeric_chemistry_feature,0.000000000,0.833333333,0.076147067
frac_Cu,4921,4921,93,numeric_chemistry_feature,0.000000000,0.888888889,0.085769737
frac_Zn,4921,4921,65,numeric_chemistry_feature,0.000000000,0.923076923,0.077465371
frac_Ga,4921,4921,95,numeric_chemistry_feature,0.000000000,0.875000000,0.090047048
frac_Ge,4921,4921,96,numeric_chemistry_feature,0.000000000,0.999000000,0.095383088
frac_As,4921,4921,53,numeric_chemistry_feature,0.000000000,0.750000000,0.085054391
frac_Se,4921,4921,143,numeric_chemistry_feature,0.000000000,0.769230769,0.179868505
frac_Br,4921,4921,26,numeric_chemistry_feature,0.000000000,0.800000000,0.056324735
frac_Kr,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Rb,4921,4921,51,numeric_chemistry_feature,0.000000000,0.857142857,0.044929987
frac_Sr,4921,4921,40,numeric_chemistry_feature,0.000000000,0.625000000,0.040352223
frac_Y,4921,4921,31,numeric_chemistry_feature,0.000000000,0.750000000,0.038256137
frac_Zr,4921,4921,36,numeric_chemistry_feature,0.000000000,0.857142857,0.057347473
frac_Nb,4921,4921,49,numeric_chemistry_feature,0.000000000,0.750000000,0.041401588
frac_Mo,4921,4921,35,numeric_chemistry_feature,0.000000000,0.750000000,0.036876919
frac_Tc,4921,4921,6,numeric_chemistry_feature,0.000000000,0.750000000,0.026557824
frac_Ru,4921,4921,20,numeric_chemistry_feature,0.000000000,0.750000000,0.049161452
frac_Rh,4921,4921,28,numeric_chemistry_feature,0.000000000,0.777777778,0.065273122
frac_Pd,4921,4921,34,numeric_chemistry_feature,0.000000000,0.833333333,0.073810148
frac_Ag,4921,4921,54,numeric_chemistry_feature,0.000000000,0.750000000,0.067823377
frac_Cd,4921,4921,76,numeric_chemistry_feature,0.000000000,0.928571429,0.068647784
frac_In,4921,4921,92,numeric_chemistry_feature,0.000000000,0.800000000,0.089750599
frac_Sn,4921,4921,74,numeric_chemistry_feature,0.000000000,0.750000000,0.071919993
frac_Sb,4921,4921,91,numeric_chemistry_feature,0.000000000,0.750000000,0.085858920
frac_Te,4921,4921,96,numeric_chemistry_feature,0.000000000,0.900000000,0.125712131
frac_I,4921,4921,47,numeric_chemistry_feature,0.000000000,0.800000000,0.069094040
frac_Xe,4921,4921,2,numeric_chemistry_feature,0.000000000,0.058823529,0.000838541
frac_Cs,4921,4921,49,numeric_chemistry_feature,0.000000000,0.750000000,0.043116956
frac_Ba,4921,4921,65,numeric_chemistry_feature,0.000000000,0.750000000,0.054409487
frac_La,4921,4921,54,numeric_chemistry_feature,0.000000000,0.666666667,0.046911431
frac_Ce,4921,4921,40,numeric_chemistry_feature,0.000000000,0.750000000,0.046691870
frac_Pr,4921,4921,34,numeric_chemistry_feature,0.000000000,0.750000000,0.045736614
frac_Nd,4921,4921,31,numeric_chemistry_feature,0.000000000,0.750000000,0.047684330
frac_Pm,4921,4921,4,numeric_chemistry_feature,0.000000000,0.750000000,0.026140624
frac_Sm,4921,4921,37,numeric_chemistry_feature,0.000000000,0.750000000,0.050912927
frac_Eu,4921,4921,26,numeric_chemistry_feature,0.000000000,0.750000000,0.040282968
frac_Gd,4921,4921,32,numeric_chemistry_feature,0.000000000,0.500000000,0.030144891
frac_Tb,4921,4921,32,numeric_chemistry_feature,0.000000000,0.750000000,0.038132045
frac_Dy,4921,4921,33,numeric_chemistry_feature,0.000000000,0.750000000,0.048692075
frac_Ho,4921,4921,28,numeric_chemistry_feature,0.000000000,0.750000000,0.040319838
frac_Er,4921,4921,26,numeric_chemistry_feature,0.000000000,0.666666667,0.037007144
frac_Tm,4921,4921,21,numeric_chemistry_feature,0.000000000,0.666666667,0.041562751
frac_Yb,4921,4921,32,numeric_chemistry_feature,0.000000000,0.750000000,0.044041335
frac_Lu,4921,4921,28,numeric_chemistry_feature,0.000000000,0.750000000,0.046928152
frac_Hf,4921,4921,24,numeric_chemistry_feature,0.000000000,0.833333333,0.051473631
frac_Ta,4921,4921,42,numeric_chemistry_feature,0.000000000,0.750000000,0.037768672
frac_W,4921,4921,33,numeric_chemistry_feature,0.000000000,0.750000000,0.034205983
frac_Re,4921,4921,25,numeric_chemistry_feature,0.000000000,0.750000000,0.030114164
frac_Os,4921,4921,16,numeric_chemistry_feature,0.000000000,0.750000000,0.033574475
frac_Ir,4921,4921,32,numeric_chemistry_feature,0.000000000,0.833333333,0.050977620
frac_Pt,4921,4921,27,numeric_chemistry_feature,0.000000000,0.833333333,0.062919974
frac_Au,4921,4921,23,numeric_chemistry_feature,0.000000000,0.833333333,0.060408947
frac_Hg,4921,4921,54,numeric_chemistry_feature,0.000000000,0.916666667,0.069262114
frac_Tl,4921,4921,35,numeric_chemistry_feature,0.000000000,0.750000000,0.058371099
frac_Pb,4921,4921,74,numeric_chemistry_feature,0.000000000,0.750000000,0.072804845
frac_Bi,4921,4921,81,numeric_chemistry_feature,0.000000000,0.869565217,0.065782157
frac_Po,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_At,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Rn,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Fr,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Ra,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Ac,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_Th,4921,4921,23,numeric_chemistry_feature,0.000000000,0.750000000,0.032359257
frac_Pa,4921,4921,1,numeric_chemistry_feature,0.000000000,0.000000000,0.000000000
frac_U,4921,4921,35,numeric_chemistry_feature,0.000000000,0.857142857,0.038269440
