target,split_id,split_strategy,split_viable,split_reason,train_rows,val_rows,test_rows,train_positive_fraction,val_positive_fraction,test_positive_fraction,class_balance_shift,majority_val_balanced_accuracy,majority_test_balanced_accuracy,best_admissible_profile,best_admissible_method,best_admissible_val_balanced_accuracy,best_admissible_test_balanced_accuracy,best_admissible_val_accuracy,best_admissible_test_accuracy,best_admissible_val_log_loss,best_admissible_test_log_loss,best_admissible_val_gain_vs_majority,best_admissible_test_gain_vs_majority,split_pass,best_negative_profile,best_negative_method,best_negative_val_balanced_accuracy,best_negative_test_balanced_accuracy,best_negative_val_log_loss,best_negative_test_log_loss,negative_control_dominates,nearest_neighbor_val_balanced_accuracy,nearest_neighbor_test_balanced_accuracy,nearest_neighbor_val_gain_vs_majority,nearest_neighbor_test_gain_vs_majority,nearest_neighbor_dominates,val_near_duplicate_fraction,test_near_duplicate_fraction
is_metal,phase141_registered_split,group_hash_by_chemistry_family_key,true,ok,3001,1001,919,0.495168277,0.506493506,0.498367791,0.011325229,0.500000000,0.500000000,composition_descriptors,extra_trees,0.897954947,0.883606930,0.898101898,0.883569097,0.274570889,0.320887271,0.397954947,0.383606930,true,dominant_element_shortcut,knn,0.773071733,0.724950033,0.578975008,0.664686461,false,0.879321084,0.862878781,0.379321084,0.362878781,false,0.000000000,0.000000000
is_metal,chemistry_family_hash_0,group_hash_by_chemistry_family_key,true,ok,2885,1070,966,0.486655113,0.461682243,0.572463768,0.085808655,0.500000000,0.500000000,composition_descriptors,extra_trees,0.884450208,0.893707665,0.887850467,0.892339545,0.297150322,0.302323122,0.384450208,0.393707665,true,dominant_element_shortcut,knn,0.765090812,0.769653968,0.620326717,0.610052952,false,0.875189777,0.860498973,0.375189777,0.360498973,false,0.000000000,0.000000000
is_metal,chemistry_family_hash_1,group_hash_by_chemistry_family_key,true,ok,3037,991,893,0.489298650,0.490413724,0.536394177,0.047095527,0.500000000,0.500000000,composition_descriptors,hist_gradient_boosting,0.892456097,0.869900558,0.893037336,0.870100784,0.346226109,0.329386342,0.392456097,0.369900558,true,dominant_element_shortcut,knn,0.740467750,0.775412746,0.626970405,0.582984295,false,0.891272461,0.843968412,0.391272461,0.343968412,true,0.000000000,0.000000000
is_metal,chemistry_family_hash_2,group_hash_by_chemistry_family_key,true,ok,2919,988,1014,0.522096608,0.448380567,0.477317554,0.073716042,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.890850539,0.881771402,0.891700405,0.881656805,0.262921475,0.281143828,0.390850539,0.381771402,true,dominant_element_shortcut,extra_trees,0.731091184,0.772520661,0.570342867,0.485025887,false,0.832787293,0.850058475,0.332787293,0.350058475,false,0.000000000,0.000000000
is_metal,dominant_element_hash,group_hash_by_dominant_element,true,ok,3626,894,401,0.463596249,0.504474273,0.795511222,0.331914973,0.500000000,0.500000000,composition_descriptors,extra_trees,0.898352295,0.813078217,0.898210291,0.882793017,0.276440589,0.293284321,0.398352295,0.313078217,true,composition_hash_shortcut,knn,0.500000000,0.500000000,0.693147181,0.693147181,false,0.807283038,0.683347351,0.307283038,0.183347351,false,0.000000000,0.000000000
is_metal,element_count_bins,quartile_bins_by_element_count,true,ok,2461,1230,1230,0.392523364,0.678861789,0.528455285,0.286338424,0.500000000,0.500000000,composition_descriptors,hist_gradient_boosting,0.869210945,0.841432361,0.849593496,0.834959350,0.426257919,0.491762736,0.369210945,0.341432361,true,dominant_element_shortcut,knn,0.783923293,0.807851459,1.047329905,0.909121377,false,0.805192147,0.775610080,0.305192147,0.275610080,false,0.000000000,0.000000000
is_metal,entropy_bins,quartile_bins_by_entropy_fraction,true,ok,2461,1230,1230,0.568468102,0.368292683,0.486991870,0.200175419,0.500000000,0.500000000,composition_descriptors,hist_gradient_boosting,0.891320838,0.822112395,0.881300813,0.824390244,0.365415429,0.424749241,0.391320838,0.322112395,true,dominant_element_shortcut,knn,0.769034408,0.741130886,0.629162170,0.622560498,false,0.884319040,0.777618006,0.384319040,0.277618006,false,0.000000000,0.000000000
is_metal,transition_metal_bins,quartile_bins_by_transition_metal_fraction,true,ok,2460,1231,1230,0.464634146,0.248578392,0.814634146,0.350000000,0.500000000,0.500000000,composition_descriptors,extra_trees,0.869123830,0.833398991,0.883834281,0.902439024,0.301538776,0.280640314,0.369123830,0.333398991,true,dominant_element_shortcut,knn,0.757318495,0.758299191,1.023877970,0.507078125,false,0.838729906,0.737025948,0.338729906,0.237025948,false,0.000000000,0.000000000
is_metal,metalloid_bins,quartile_bins_by_metalloid_fraction,true,ok,2460,1230,1231,0.521951220,0.476422764,0.471974005,0.049977215,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.892997583,0.899499537,0.894308943,0.899268887,0.289022815,0.291390606,0.392997583,0.399499537,true,dominant_element_shortcut,extra_trees,0.732368092,0.770628889,0.543264268,0.512093088,false,0.856430055,0.833013372,0.356430055,0.333013372,false,0.000000000,0.000000000
is_metal,anion_fraction_bins,quartile_bins_by_anion_fraction,true,ok,2461,1230,1230,0.621292158,0.466666667,0.282926829,0.338365328,0.500000000,0.500000000,common_plus_descriptors,extra_trees,0.842007840,0.737401282,0.839024390,0.721951220,0.367419780,0.546738294,0.342007840,0.237401282,true,dominant_element_shortcut,extra_trees,0.744773519,0.697454844,1.089828579,0.831557632,false,0.790722997,0.698578857,0.290722997,0.198578857,false,0.000000000,0.000000000
is_metal,max_fraction_bins,quartile_bins_by_max_fraction,true,ok,2461,1230,1230,0.459162942,0.475609756,0.598373984,0.139211042,0.500000000,0.500000000,common_plus_descriptors,hist_gradient_boosting,0.923474458,0.813685421,0.923577236,0.826016260,0.267193053,0.492099581,0.423474458,0.313685421,true,dominant_element_shortcut,knn,0.806440072,0.635811807,0.876063899,1.107228785,false,0.879487179,0.766131073,0.379487179,0.266131073,false,0.000000000,0.000000000
