target,target_label,profile,profile_role,method,split,n_rows,rmse,mae,r2,nrmse_train_std
hardness_hv,Vickers hardness,mean,baseline,mean,train,317,213.572883946,175.527954303,0.000000000,1.000000000
hardness_hv,Vickers hardness,mean,baseline,mean,val,110,213.772881049,177.198150272,-0.000012433,1.000936435
hardness_hv,Vickers hardness,mean,baseline,mean,test,103,208.862310066,164.804447031,-0.003424583,0.977943952
hardness_hv,Vickers hardness,composition_descriptors,admissible,knn,train,317,130.671870372,98.817218717,0.625655040,0.611837364
hardness_hv,Vickers hardness,composition_descriptors,admissible,knn,val,110,153.506587560,114.885000000,0.484350960,0.718755044
hardness_hv,Vickers hardness,composition_descriptors,admissible,knn,test,103,174.688466333,124.209708738,0.298071225,0.817933733
hardness_hv,Vickers hardness,composition_descriptors,admissible,extra_trees,train,317,40.399079940,17.242979320,0.964219144,0.189158283
hardness_hv,Vickers hardness,composition_descriptors,admissible,extra_trees,val,110,118.095764410,82.702257891,0.694811038,0.552952988
hardness_hv,Vickers hardness,composition_descriptors,admissible,extra_trees,test,103,145.062450608,95.319905385,0.515967412,0.679217548
hardness_hv,Vickers hardness,composition_descriptors,admissible,hist_gradient_boosting,train,317,52.165446547,35.710052300,0.940341321,0.244251263
hardness_hv,Vickers hardness,composition_descriptors,admissible,hist_gradient_boosting,val,110,111.258099127,80.941158676,0.729128414,0.520937382
hardness_hv,Vickers hardness,composition_descriptors,admissible,hist_gradient_boosting,test,103,148.323895626,99.266420631,0.493957691,0.694488424
hardness_hv,Vickers hardness,common_element_fractions,admissible,knn,train,317,109.930228866,85.167560463,0.735063350,0.514719972
hardness_hv,Vickers hardness,common_element_fractions,admissible,knn,val,110,152.264354210,114.037878788,0.492662846,0.712938606
hardness_hv,Vickers hardness,common_element_fractions,admissible,knn,test,103,142.738500825,104.841666667,0.531351917,0.668336252
hardness_hv,Vickers hardness,common_element_fractions,admissible,extra_trees,train,317,40.400329286,17.268215913,0.964216931,0.189164132
hardness_hv,Vickers hardness,common_element_fractions,admissible,extra_trees,val,110,111.916558072,79.336025042,0.725912727,0.524020447
hardness_hv,Vickers hardness,common_element_fractions,admissible,extra_trees,test,103,126.495733144,82.006811062,0.631941938,0.592283678
