column,non_missing,numeric_non_missing,unique_values,role,min,max,std
phase144_row_id,1545,0,1545,identifier_or_provenance,,,
reference_id,1545,1545,265,feature,1.000000000,265.000000000,80.288645202
formula,1545,0,630,identifier_or_provenance,,,
normalized_formula,1545,0,630,identifier_or_provenance,,,
microstructure,1545,0,41,categorical_feature_or_shortcut_audit,,,
processing_method,1545,0,6,categorical_feature_or_shortcut_audit,,,
phase_family,1545,0,3,categorical_feature_or_shortcut_audit,,,
grain_size_um,237,237,176,numeric_feature,0.018200000,2000.000000000,182.997395733
exp_density_g_cm3,112,112,52,numeric_feature,1.460000000,13.600000000,2.484074523
calc_density_g_cm3,1545,1545,82,numeric_feature,1.400000000,13.700000000,1.760283879
hardness_hv,530,530,372,candidate_target,94.700000000,1183.000000000,212.896712004
test_type,1545,0,3,categorical_feature_or_shortcut_audit,,,
test_temperature_c,1364,1364,64,numeric_feature,-268.800000000,1600.000000000,379.131987160
yield_strength_mpa,1067,1067,713,candidate_target,24.000000000,3416.000000000,570.135436833
ultimate_tensile_strength_mpa,539,539,441,candidate_target,80.000000000,4023.600000000,720.870146103
elongation_pct,619,619,245,candidate_target,0.000000000,105.000000000,22.010636974
elongation_plastic_pct,149,149,85,feature,0.000000000,189.200000000,25.725757110
young_modulus_gpa,145,145,116,candidate_target,16.600000000,240.000000000,56.943524023
calculated_young_modulus_gpa,729,729,113,feature,72.000000000,298.000000000,48.864222951
oxygen_wppm,57,57,10,numeric_feature,80.000000000,7946.000000000,2084.998458376
nitrogen_wppm,45,45,1,numeric_feature,5.000000000,5.000000000,0.000000000
carbon_wppm,4,4,4,numeric_feature,1900.000000000,36380.000000000,16142.818183845
reference_doi,1545,0,265,identifier_or_provenance,,,
reference_year,1545,1545,16,numeric_feature,2004.000000000,2019.000000000,3.725478821
reference_title,1545,0,263,identifier_or_provenance,,,
dominant_element,1545,0,19,categorical_feature_or_shortcut_audit,,,
chemistry_family_key,1545,0,138,feature,,,
formula_hash16,1545,0,630,identity_or_shortcut_audit,,,
reference_hash16,1545,0,265,identity_or_shortcut_audit,,,
formula_reference_hash16,1545,1,825,identity_or_shortcut_audit,,,
element_count,1545,1545,7,numeric_feature,3.000000000,9.000000000,0.885269108
entropy_fraction,1545,1545,311,numeric_feature,0.774101550,2.190688259,0.187898828
max_fraction,1545,1545,218,numeric_feature,0.115380178,0.801282051,0.088026618
transition_metal_fraction,1545,1545,223,numeric_feature,0.000000000,1.000000000,0.137899132
post_transition_fraction,1545,1545,183,numeric_feature,0.000000000,0.850961538,0.117787856
rare_earth_fraction,1545,1545,2,numeric_feature,0.000000000,0.166666667,0.004240182
mean_atomic_number,1545,1545,583,numeric_feature,8.687668767,57.500000000,10.093235588
max_atomic_number,1545,1545,19,numeric_feature,20.000000000,75.000000000,19.736896822
mean_electronegativity,1545,1545,608,numeric_feature,1.227583258,2.021276596,0.135227999
electronegativity_range,1545,1545,62,numeric_feature,0.080000000,1.250000000,0.232154250
frac_H,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_He,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Li,1545,1545,10,numeric_feature,0.000000000,0.390189019,0.022740982
frac_Be,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_B,1545,1545,7,numeric_feature,0.000000000,0.153846154,0.004750315
frac_C,1545,1545,21,numeric_feature,0.000000000,0.230680507,0.011860321
frac_N,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_O,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_F,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Ne,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Na,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Mg,1545,1545,11,numeric_feature,0.000000000,0.465983225,0.028098377
frac_Al,1545,1545,173,numeric_feature,0.000000000,0.801282051,0.117248079
frac_Si,1545,1545,24,numeric_feature,0.000000000,0.200000000,0.024381406
frac_P,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_S,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Cl,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Ar,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_K,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Ca,1545,1545,6,numeric_feature,0.000000000,0.100069979,0.002861623
frac_Sc,1545,1545,4,numeric_feature,0.000000000,0.250000000,0.009598497
frac_Ti,1545,1545,103,numeric_feature,0.000000000,0.444444444,0.114620528
frac_V,1545,1545,70,numeric_feature,0.000000000,0.428816467,0.074214606
frac_Cr,1545,1545,190,numeric_feature,0.000000000,0.500250125,0.104297091
frac_Mn,1545,1545,77,numeric_feature,0.000000000,0.400000000,0.081956000
frac_Fe,1545,1545,199,numeric_feature,0.000000000,0.550357733,0.119336073
frac_Co,1545,1545,187,numeric_feature,0.000000000,0.590667454,0.110285778
frac_Ni,1545,1545,209,numeric_feature,0.000000000,0.487092060,0.124422602
frac_Cu,1545,1545,94,numeric_feature,0.000000000,0.347124825,0.066242389
frac_Zn,1545,1545,7,numeric_feature,0.000000000,0.200000000,0.017575953
frac_Ga,1545,1545,2,numeric_feature,0.000000000,0.200000000,0.005088219
frac_Ge,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_As,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Se,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Br,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Kr,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Rb,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Sr,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
frac_Y,1545,1545,7,numeric_feature,0.000000000,0.250000000,0.009598982
frac_Zr,1545,1545,45,numeric_feature,0.000000000,0.374953131,0.092309038
frac_Nb,1545,1545,66,numeric_feature,0.000000000,0.788643533,0.113531903
frac_Mo,1545,1545,74,numeric_feature,0.000000000,0.380083618,0.081360950
frac_Tc,1545,1545,1,numeric_feature,0.000000000,0.000000000,0.000000000
