split_id,group_column,salt,n_groups,train_rows,val_rows,test_rows,mean_val_rmse,mean_test_rmse,best_profile,best_method,best_val_rmse,best_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain_vs_mean,best_negative_profile,best_negative_method,best_negative_val_rmse,best_negative_test_rmse,shortcut_blocks,target_distribution_shift_z,formula_cross_split_fraction,reference_cross_split_fraction,status,reason,phase145_split_pass
registered_formula_hash,registered,phase144_registered,377,317,110,103,213.772881049,208.862310066,composition_process_context,hist_gradient_boosting,93.285441178,137.531772469,120.487439871,71.330537597,0.563623596,process_only_control,hist_gradient_boosting,119.843385619,169.490003945,false,0.138126149,0.000000000,0.523364486,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated",true
formula_hash_salt_0,formula_hash16,phase145_formula_0,377,326,105,99,197.383897357,238.709530891,composition_process_context,extra_trees,110.239385706,136.660542199,87.144511651,102.048988692,0.441497573,process_only_control,extra_trees,116.186382335,160.991159454,false,0.343125294,0.000000000,0.579439252,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated",true
formula_hash_salt_1,formula_hash16,phase145_formula_1,377,326,115,89,226.879417971,210.751843635,composition_process_context,hist_gradient_boosting,105.079756409,109.662783893,121.799661562,101.089059743,0.536847558,process_only_control,extra_trees,118.722523731,165.581523118,false,0.306653545,0.000000000,0.551401869,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated",true
formula_hash_salt_2,formula_hash16,phase145_formula_2,377,285,107,138,200.299856059,212.496401328,composition_process_context,hist_gradient_boosting,96.494461811,102.032149199,103.805394248,110.464252129,0.518249969,process_only_control,extra_trees,138.838320033,150.802701763,false,0.588867715,0.000000000,0.514018692,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated",true
chemistry_family,chemistry_family_key,phase145_chemistry_family,98,342,109,79,228.194810595,211.304803111,composition_process_context,hist_gradient_boosting,118.352682570,157.192382843,109.842128025,54.112420268,0.481352436,process_only_control,hist_gradient_boosting,163.801391379,185.592206530,false,0.320529288,0.000000000,0.345794393,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated",true
reference_holdout,reference_hash16,phase145_reference,107,274,123,133,174.420030743,251.300373176,common_element_fractions,hist_gradient_boosting,144.684236365,161.854544965,29.735794378,89.445828211,0.170483827,process_only_control,extra_trees,139.474328710,203.223672759,true,0.573479846,0.053050398,0.000000000,blocked_shortcut_or_process_control_dominance,best negative-control profile matches or beats the admissible validation RMSE,false
formula_reference_holdout,formula_reference_hash16,phase145_formula_reference,425,311,109,110,211.683404518,195.529874753,composition_process_context,hist_gradient_boosting,96.237647985,102.558583638,115.445756533,92.971291115,0.545369897,process_only_control,extra_trees,93.750952427,109.367991280,true,0.184136154,0.050397878,0.532710280,blocked_shortcut_or_process_control_dominance,best negative-control profile matches or beats the admissible validation RMSE,false
processing_method_holdout,processing_method,phase145_processing_method,6,208,30,292,286.375866738,214.987567447,composition_descriptors,knn,103.965305533,180.465488309,182.410561205,34.522079138,0.636962057,process_only_control,hist_gradient_boosting,99.790452477,180.178868244,true,2.089433860,0.079575597,0.102803738,blocked_shortcut_or_process_control_dominance,best negative-control profile matches or beats the admissible validation RMSE,false
phase_family_holdout,phase_family,phase145_phase_family,3,423,0,107,,,,,,,,,,,,,,false,0.935352006,0.018567639,0.186915888,blocked_insufficient_rows_or_split,target or one split is below the minimum row count,false
test_type_holdout,test_type,phase145_test_type,3,478,0,52,,,,,,,,,,,,,,false,1.829157427,0.023872679,0.037383178,blocked_insufficient_rows_or_split,target or one split is below the minimum row count,false
microstructure_holdout,microstructure,phase145_microstructure,29,197,214,119,231.798841842,263.755096431,common_element_fractions,hist_gradient_boosting,153.677681798,204.805378515,78.121160044,58.949717915,0.337021356,process_only_control,hist_gradient_boosting,186.676614094,223.763805625,false,1.013765266,0.047745358,0.271028037,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated",false
process_phase_holdout,process_phase_key,phase145_process_phase,17,250,260,20,180.629223069,167.999577157,composition_process_context,extra_trees,148.683161750,68.293204606,31.946061319,99.706372551,0.176859872,process_only_control,hist_gradient_boosting,199.379840924,88.180563775,false,1.262757276,0.074270557,0.224299065,ready_focused_review,"admissible profile beats mean, preserves test gain, and is not control-dominated",false
