feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
phase106_guard_replay,mean,constant:mean:fit=train,test,26,1.616620459031165,1.3274908603238886,0.06064403018580666,0.28785008108366106,2.0084822122069244,1.616620459031165
phase106_guard_replay,mean,constant:mean:fit=train,train,76,2.475157424815192,1.2858954757617724,0.08981833577250033,0.1094135231205772,4.041212174298709,2.475157424815192
phase106_guard_replay,mean,constant:mean:fit=train,val,26,1.5923420619344277,1.2262419372469653,0.060294052298674246,0.3467779795232453,0.8490472156070283,1.5923420619344277
phase106_guard_replay,knn,model:knn:fit=train,test,26,2.899530030161537,1.7086616282051286,0.10876961607868614,0.51628070746222,7.238994609620658,2.899530030161537
phase106_guard_replay,knn,model:knn:fit=train,train,76,2.059457803518036,1.0617070350877196,0.07473345761815144,0.0910376575412767,3.884762064145337,2.059457803518036
phase106_guard_replay,knn,model:knn:fit=train,val,26,2.1741921921298943,1.3865667435897429,0.08232581483176782,0.4734924696808444,4.981313284031467,2.1741921921298943
phase106_guard_replay,extra_trees,model:extra_trees:fit=train,test,26,4.792691347532865,3.331175034615384,0.17978748018890092,0.8533707372620235,9.22056722418837,4.792691347532865
phase106_guard_replay,extra_trees,model:extra_trees:fit=train,train,76,1.8006160946904698e-14,1.5356137414289008e-14,6.534062818341841e-16,7.959564459719528e-16,2.0524417735663547e-14,1.8006160946904698e-14
phase106_guard_replay,extra_trees,model:extra_trees:fit=train,val,26,3.6830923613746345,2.54036705923077,0.1394603388092342,0.8020985930142375,6.531239575833275,3.6830923613746345
phase106_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.3827508688560513,0.9674086877975386,0.051870916863572994,0.24620803695460597,3.2625995831084857,1.3827508688560513
phase106_guard_replay,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.9742309739847201,1.0771866528220755,0.07164075251782005,0.08727023346143935,2.8364333232176855,1.9742309739847201
