candidate_id,target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse
ambench_line0_1_phase51_dense_csv,target_frame_mean,mean_guard,mean,constant:mean:fit=train,test,7,24.570275,14.054120,0.021024,0.210302
ambench_line0_1_phase51_dense_csv,target_frame_mean,mean_guard,mean,constant:mean:fit=train,train,21,23.458575,11.721515,0.019934,0.200787
ambench_line0_1_phase51_dense_csv,target_frame_mean,mean_guard,mean,constant:mean:fit=train,val,7,8.369028,6.681588,0.007104,0.071632
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,knn,model:knn:fit=train,test,7,27.329179,16.334194,0.023384,0.233916
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,knn,model:knn:fit=train,train,21,21.901989,10.529345,0.018611,0.187464
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,knn,model:knn:fit=train,val,7,9.519976,7.663694,0.008080,0.081484
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,extra_trees,model:extra_trees:fit=train,test,7,23.499954,14.125732,0.020108,0.201141
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,extra_trees,model:extra_trees:fit=train,val,7,10.111256,8.497865,0.008582,0.086544
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,24.570275,14.054120,0.021024,0.210302
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,23.458575,11.721515,0.019934,0.200787
ambench_line0_1_phase51_dense_csv,target_frame_mean,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,8.369028,6.681588,0.007104,0.071632
ambench_line0_1_phase51_dense_csv,target_frame_mean,process_time,knn,model:knn:fit=train,test,7,27.329179,16.334194,0.023384,0.233916
ambench_line0_1_phase51_dense_csv,target_frame_mean,process_time,knn,model:knn:fit=train,train,21,21.901989,10.529345,0.018611,0.187464
