feature,source,mechanism_role,expression,profiles,min,max,std
frac_As,uci_feature,low_capacity_superconductivity_proxy,frac_As,iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,18,1.07604875489
frac_Ba,uci_feature,low_capacity_superconductivity_proxy,frac_Ba,cuprate_oxide_proxy;iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,24,0.983287818617
frac_Bi,uci_feature,low_capacity_superconductivity_proxy,frac_Bi,cuprate_oxide_proxy;mechanism_full_low_capacity,0,14,0.655927454591
frac_Ca,uci_feature,low_capacity_superconductivity_proxy,frac_Ca,cuprate_oxide_proxy;iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,24,0.902731877313
frac_Cu,uci_feature,low_capacity_superconductivity_proxy,frac_Cu,cuprate_oxide_proxy;mechanism_full_low_capacity,0,98,2.07937547086
frac_F,uci_feature,low_capacity_superconductivity_proxy,frac_F,iron_pnictide_chalcogenide_proxy,0,4,0.132118862392
frac_Fe,uci_feature,low_capacity_superconductivity_proxy,frac_Fe,iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,30,0.71307482555
frac_Hg,uci_feature,low_capacity_superconductivity_proxy,frac_Hg,cuprate_oxide_proxy;mechanism_full_low_capacity,0,8,0.205846447714
frac_K,uci_feature,low_capacity_superconductivity_proxy,frac_K,iron_pnictide_chalcogenide_proxy,0,3.3,0.138187058676
frac_La,uci_feature,low_capacity_superconductivity_proxy,frac_La,cuprate_oxide_proxy;mechanism_full_low_capacity,0,98,2.32082192577
frac_O,uci_feature,low_capacity_superconductivity_proxy,frac_O,cuprate_oxide_proxy;iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,66,3.81164871548
frac_P,uci_feature,low_capacity_superconductivity_proxy,frac_P,iron_pnictide_chalcogenide_proxy,0,20,0.466710198157
frac_Se,uci_feature,low_capacity_superconductivity_proxy,frac_Se,iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,19,0.676294107689
frac_Sr,uci_feature,low_capacity_superconductivity_proxy,frac_Sr,cuprate_oxide_proxy;iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,16.7,0.763624696369
frac_Te,uci_feature,low_capacity_superconductivity_proxy,frac_Te,iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,66.7,0.718042789114
frac_Tl,uci_feature,low_capacity_superconductivity_proxy,frac_Tl,cuprate_oxide_proxy;mechanism_full_low_capacity,0,7,0.272297633403
frac_Y,uci_feature,low_capacity_superconductivity_proxy,frac_Y,cuprate_oxide_proxy;mechanism_full_low_capacity,0,9,0.429952985406
max_element_fraction,uci_feature,low_capacity_superconductivity_proxy,max_element_fraction,composition_complexity_linear;mechanism_compact;mechanism_full_low_capacity,0.095,185,10.2034069809
number_of_elements,uci_feature,low_capacity_superconductivity_proxy,number_of_elements,composition_complexity_linear;weighted_property_linear;mechanism_compact;mechanism_full_low_capacity,1,9,1.43929465213
phase157_alkaline_earth_fe_pnictide_proxy,phase157_derived,low_capacity_superconductivity_proxy,phase157_alkaline_earth_fe_pnictide_proxy,iron_pnictide_chalcogenide_proxy;mechanism_full_low_capacity,0,1800,88.722866155
phase157_ba_sr_ca_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_ba_sr_ca_fraction,cuprate_oxide_proxy,0,24.4,1.56960413434
phase157_cu_o_interaction,phase157_derived,low_capacity_superconductivity_proxy,phase157_cu_o_interaction,cuprate_oxide_proxy;mechanism_compact;mechanism_full_low_capacity,0,1004.16,31.705193548
phase157_cuprate_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_cuprate_fraction,composition_complexity_linear;cuprate_oxide_proxy;mechanism_compact,0,104,7.13436455241
phase157_cuprate_layer_proxy,phase157_derived,low_capacity_superconductivity_proxy,phase157_cuprate_layer_proxy,cuprate_oxide_proxy;mechanism_full_low_capacity,0,24472.712,485.715700759
phase157_fe_as_interaction,phase157_derived,low_capacity_superconductivity_proxy,phase157_fe_as_interaction,iron_pnictide_chalcogenide_proxy;mechanism_compact;mechanism_full_low_capacity,0,180,9.60142315552
phase157_fe_chalcogen_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_fe_chalcogen_fraction,iron_pnictide_chalcogenide_proxy,0,66.7,1.22568291819
phase157_fe_pnictide_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_fe_pnictide_fraction,composition_complexity_linear;iron_pnictide_chalcogenide_proxy;mechanism_compact,0,66,4.00253793603
phase157_fe_se_te_interaction,phase157_derived,low_capacity_superconductivity_proxy,phase157_fe_se_te_interaction,iron_pnictide_chalcogenide_proxy;mechanism_compact;mechanism_full_low_capacity,0,20,0.305472574805
phase157_fraction_entropy,phase157_derived,low_capacity_superconductivity_proxy,phase157_fraction_entropy,composition_complexity_linear;mechanism_compact;mechanism_full_low_capacity,-971.026437086,1.38629436112,54.5345030961
phase157_heavy_fraction,phase157_derived,low_capacity_superconductivity_proxy,phase157_heavy_fraction,composition_complexity_linear;mechanism_compact,0,100,3.20579618783
