target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2
target_critical_temp_K,composition_complexity_linear,ordinary_least_squares,ordinary_least_squares,,,train,11644,8,21.5805287656,15.4924553928,0.558006389719
target_critical_temp_K,composition_complexity_linear,ordinary_least_squares,ordinary_least_squares,,,val,3661,8,23.8950221167,17.1977308562,0.540408310128
target_critical_temp_K,composition_complexity_linear,ordinary_least_squares,ordinary_least_squares,,,test,5958,8,31.6145315642,20.2930819469,0.213440985836
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=0.0001,0.0001,,train,11644,8,21.5805287656,15.4924554543,0.558006389719
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=0.0001,0.0001,,val,3661,8,23.8950221158,17.1977309101,0.540408310162
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=0.0001,0.0001,,test,5958,8,31.6145311602,20.2930820194,0.213441005936
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=0.01,0.01,,train,11644,8,21.5805287657,15.4924615365,0.558006389713
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=0.01,0.01,,val,3661,8,23.8950220284,17.1977362499,0.540408313523
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=0.01,0.01,,test,5958,8,31.614491169,20.2930892019,0.213442995871
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=1,1,,train,11644,8,21.5805302621,15.4930694147,0.558006328421
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=1,1,,val,3661,8,23.8950143641,17.1982698504,0.54040860835
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=1,1,,test,5958,8,31.6104964007,20.2938061536,0.213641760069
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=10,10,,train,11644,8,21.5806745376,15.4986391337,0.55800041855
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=10,10,,val,3661,8,23.8950394284,17.2030854326,0.540407644189
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=10,10,,test,5958,8,31.5745815016,20.3002204546,0.215427618324
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=100,100,,train,11644,8,21.5921548138,15.554767769,0.557530032234
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=100,100,,val,3661,8,23.9026555903,17.249267607,0.540114622062
target_critical_temp_K,composition_complexity_linear,ridge,ridge;alpha=100,100,,test,5958,8,31.2565427792,20.3587396176,0.231153414455
target_critical_temp_K,composition_complexity_linear,lasso,lasso;alpha=0.0001,0.0001,,train,11644,8,21.5805288019,15.4924434076,0.558006388234
target_critical_temp_K,composition_complexity_linear,lasso,lasso;alpha=0.0001,0.0001,,val,3661,8,23.8950376083,17.1977156007,0.540407714204
target_critical_temp_K,composition_complexity_linear,lasso,lasso;alpha=0.0001,0.0001,,test,5958,8,31.6146398635,20.293155888,0.213435596925
