split_id,profile,method,role,split,rmse,mae,r2,n_rows
phase158_registered_mix_design,train_mean,mean,mean_baseline,train,16.53,13.31,0,652
phase158_registered_mix_design,train_mean,mean,mean_baseline,val,16.95,13.47,-0.03052,186
phase158_registered_mix_design,train_mean,mean,mean_baseline,test,17.09,13.82,-0.002812,192
phase158_registered_mix_design,raw_mix_age,extra_trees,admissible,train,2.273,1.354,0.9811,652
phase158_registered_mix_design,raw_mix_age,extra_trees,admissible,val,5.991,4.564,0.8713,186
phase158_registered_mix_design,raw_mix_age,extra_trees,admissible,test,6.268,4.193,0.8651,192
phase158_registered_mix_design,raw_mix_age,hist_gradient_boosting,admissible,train,2.536,1.594,0.9765,652
phase158_registered_mix_design,raw_mix_age,hist_gradient_boosting,admissible,val,6.497,4.767,0.8487,186
phase158_registered_mix_design,raw_mix_age,hist_gradient_boosting,admissible,test,6.109,4.227,0.8719,192
phase158_registered_mix_design,binder_ratio_age_core,extra_trees,admissible,train,2.463,1.484,0.9778,652
phase158_registered_mix_design,binder_ratio_age_core,extra_trees,admissible,val,6.097,4.552,0.8667,186
phase158_registered_mix_design,binder_ratio_age_core,extra_trees,admissible,test,5.576,3.85,0.8933,192
phase158_registered_mix_design,binder_ratio_age_core,hist_gradient_boosting,admissible,train,2.603,1.687,0.9752,652
phase158_registered_mix_design,binder_ratio_age_core,hist_gradient_boosting,admissible,val,6.204,4.571,0.862,186
phase158_registered_mix_design,binder_ratio_age_core,hist_gradient_boosting,admissible,test,5.55,3.788,0.8942,192
phase158_registered_mix_design,full_concrete_features,extra_trees,admissible,train,1.935,1.047,0.9863,652
phase158_registered_mix_design,full_concrete_features,extra_trees,admissible,val,5.925,4.357,0.8741,186
phase158_registered_mix_design,full_concrete_features,extra_trees,admissible,test,5.649,3.843,0.8904,192
phase158_registered_mix_design,full_concrete_features,hist_gradient_boosting,admissible,train,2.172,1.314,0.9827,652
phase158_registered_mix_design,full_concrete_features,hist_gradient_boosting,admissible,val,5.665,4.351,0.8849,186
phase158_registered_mix_design,full_concrete_features,hist_gradient_boosting,admissible,test,5.366,3.528,0.9011,192
phase158_registered_mix_design,age_only_control,extra_trees,shortcut_control,train,12.78,10.17,0.402,652
phase158_registered_mix_design,age_only_control,extra_trees,shortcut_control,val,13.04,10.01,0.3902,186
phase158_registered_mix_design,age_only_control,extra_trees,shortcut_control,test,13.02,10.09,0.4182,192
phase158_registered_mix_design,coarse_mix_presence_control,extra_trees,shortcut_control,train,5.676,4.259,0.8821,652
phase158_registered_mix_design,coarse_mix_presence_control,extra_trees,shortcut_control,val,8.12,6.051,0.7636,186
phase158_registered_mix_design,coarse_mix_presence_control,extra_trees,shortcut_control,test,8.213,6.357,0.7684,192
phase158_registered_mix_design,mix_design_hash_control,extra_trees,shortcut_control,train,9.711,7.584,0.6548,652
phase158_registered_mix_design,mix_design_hash_control,extra_trees,shortcut_control,val,12.73,9.621,0.4185,186
phase158_registered_mix_design,mix_design_hash_control,extra_trees,shortcut_control,test,14.42,11.2,0.2861,192
phase158_registered_mix_design,row_order_control,extra_trees,shortcut_control,train,9.216,7.282,0.6891,652
phase158_registered_mix_design,row_order_control,extra_trees,shortcut_control,val,16.26,12.45,0.05252,186
phase158_registered_mix_design,row_order_control,extra_trees,shortcut_control,test,13.54,10.7,0.3704,192
mix_design_hash_0,train_mean,mean,mean_baseline,train,16.56,13.22,0,645
