target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase159_guard_profile,phase159_guard_method,phase159_guard_val_rmse,phase159_guard_test_rmse,val_gain_vs_phase159,relative_val_gain_vs_phase159,test_gain_vs_phase159,test_reversal_ratio_vs_phase159,clears_phase159_validation_guard,clears_phase159_test_guard,selected_low_capacity
target_compressive_strength_mpa,abrams_age_core,ordinary_least_squares,ordinary_least_squares,,,10,7.08378694004,6.46775394885,6.75208130941,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.802564659639,-0.141665991844,-1.38570329633,1.25821947186,false,false,false
target_compressive_strength_mpa,abrams_age_core,ridge,ridge;alpha=0.0001,0.0001,,10,7.08378694099,6.4677488716,6.7520923672,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.802559582391,-0.141665095625,-1.38571435412,1.25822153243,false,false,false
target_compressive_strength_mpa,abrams_age_core,ridge,ridge;alpha=0.01,0.01,,10,7.08379603871,6.46727908037,6.75317957417,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.802089791158,-0.14158216967,-1.38680156108,1.25842412847,false,false,false
target_compressive_strength_mpa,abrams_age_core,ridge,ridge;alpha=1,1,,10,7.09649522181,6.48984502712,6.81278583878,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.824655737911,-0.145565434059,-1.4464078257,1.26953148328,false,false,false
target_compressive_strength_mpa,abrams_age_core,ridge,ridge;alpha=10,10,,10,7.18692284266,6.69693354979,6.99751739315,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.03174426058,-0.182119997746,-1.63113938007,1.30395536358,false,false,false
target_compressive_strength_mpa,abrams_age_core,ridge,ridge;alpha=100,100,,10,7.7498702489,7.52621702516,7.8222691144,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.86102773594,-0.328502304325,-2.45589110131,1.45764407489,false,false,false
target_compressive_strength_mpa,abrams_age_core,lasso,lasso;alpha=0.0001,0.0001,,10,7.08379207703,6.46729095465,6.75297110855,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.802101665436,-0.141584265677,-1.38659309546,1.25838528186,false,false,false
target_compressive_strength_mpa,abrams_age_core,lasso,lasso;alpha=0.001,0.001,,10,7.0843002754,6.46348312565,6.76154995156,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.798293836434,-0.140912120616,-1.39517193847,1.25998391002,false,false,false
target_compressive_strength_mpa,abrams_age_core,lasso,lasso;alpha=0.01,0.01,,10,7.09710749594,6.48162224411,6.80802065793,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.816432954894,-0.144113976288,-1.44164264485,1.26864351362,false,false,false
target_compressive_strength_mpa,abrams_age_core,lasso,lasso;alpha=0.1,0.1,,10,7.21158847141,6.73326802695,7.01866815153,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.06807873773,-0.188533636426,-1.65229013844,1.30789671067,false,false,false
target_compressive_strength_mpa,abrams_age_core,lasso,lasso;alpha=1,1,,10,7.58684619714,7.27571794858,7.63257180902,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.61052865936,-0.284285056888,-2.26619379594,1.4222948496,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,10,7.09072008747,6.47522889605,6.79326856939,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.810039606836,-0.142985444172,-1.42689055631,1.26589452939,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,10,7.08822826547,6.4706766378,6.78372923682,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.805487348586,-0.142181894985,-1.41735122374,1.26411691839,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,10,7.0856912536,6.46621891168,6.77169438339,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.801029622466,-0.141395032288,-1.40531637031,1.2618742785,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,10,7.13860457469,6.59960454239,6.91206854791,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.934415253174,-0.164939811447,-1.54569053483,1.28803236206,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,10,7.12346857167,6.56056800173,6.87966265002,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.895378712514,-0.158049213681,-1.51328463694,1.2819936712,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,10,7.10928189298,6.51588603959,6.84313398554,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-0.850696750374,-0.150162105262,-1.47675597245,1.27518672163,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,10,7.56338691127,7.26299531747,7.55038863306,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.59780602826,-0.282039301194,-2.18401061998,1.40698039062,false,false,false
target_compressive_strength_mpa,abrams_age_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,10,7.46913124698,7.12623635975,7.4104503004,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-1.46104707054,-0.257899073791,-2.04407228731,1.38090352233,false,false,false
