profile,method,role,split,balanced_accuracy,macro_f1,accuracy,n_rows
train_majority,majority,majority_baseline,train,0.142857,0.0730857,0.343725,1251
train_majority,majority,majority_baseline,val,0.142857,0.0673737,0.308571,350
train_majority,majority,majority_baseline,test,0.142857,0.081203,0.397059,340
geometry_luminosity_full,logistic_regression,admissible,train,0.981763,0.968401,0.978417,1251
geometry_luminosity_full,logistic_regression,admissible,val,0.931207,0.886125,0.945714,350
geometry_luminosity_full,logistic_regression,admissible,test,0.904234,0.896696,0.938235,340
geometry_luminosity_full,knn,admissible,train,1,1,1,1251
geometry_luminosity_full,knn,admissible,val,0.791735,0.753478,0.768571,350
geometry_luminosity_full,knn,admissible,test,0.757955,0.740952,0.782353,340
geometry_luminosity_full,extra_trees,admissible,train,1,1,1,1251
geometry_luminosity_full,extra_trees,admissible,val,0.886381,0.896513,0.917143,350
geometry_luminosity_full,extra_trees,admissible,test,0.849529,0.853091,0.9,340
geometry_luminosity_full,hist_gradient_boosting,admissible,train,1,1,1,1251
geometry_luminosity_full,hist_gradient_boosting,admissible,val,0.986628,0.976404,0.982857,350
geometry_luminosity_full,hist_gradient_boosting,admissible,test,0.971429,0.974387,0.982353,340
shape_luminosity_core,logistic_regression,admissible,train,0.702957,0.586946,0.58753,1251
shape_luminosity_core,logistic_regression,admissible,val,0.573134,0.52938,0.557143,350
shape_luminosity_core,logistic_regression,admissible,test,0.622004,0.496695,0.452941,340
shape_luminosity_core,knn,admissible,train,1,1,1,1251
shape_luminosity_core,knn,admissible,val,0.51425,0.515524,0.574286,350
shape_luminosity_core,knn,admissible,test,0.455602,0.495842,0.508824,340
shape_luminosity_core,extra_trees,admissible,train,0.990629,0.974344,0.981615,1251
shape_luminosity_core,extra_trees,admissible,val,0.547991,0.529698,0.582857,350
shape_luminosity_core,extra_trees,admissible,test,0.642794,0.625529,0.602941,340
shape_luminosity_core,hist_gradient_boosting,admissible,train,1,1,1,1251
shape_luminosity_core,hist_gradient_boosting,admissible,val,0.548466,0.564299,0.614286,350
shape_luminosity_core,hist_gradient_boosting,admissible,test,0.566939,0.596797,0.605882,340
steel_context_control,logistic_regression,shortcut_control,train,0.653697,0.543642,0.565148,1251
steel_context_control,logistic_regression,shortcut_control,val,0.604582,0.469781,0.514286,350
steel_context_control,logistic_regression,shortcut_control,test,0.6042,0.446724,0.461765,340
steel_context_control,knn,shortcut_control,train,0.746362,0.725265,0.713829,1251
steel_context_control,knn,shortcut_control,val,0.589245,0.562775,0.557143,350
steel_context_control,knn,shortcut_control,test,0.63605,0.595663,0.626471,340
steel_context_control,extra_trees,shortcut_control,train,0.787121,0.707313,0.705835,1251
steel_context_control,extra_trees,shortcut_control,val,0.648222,0.57632,0.591429,350
steel_context_control,extra_trees,shortcut_control,test,0.717091,0.598112,0.602941,340
location_only_control,logistic_regression,shortcut_control,train,0.546286,0.350287,0.398881,1251
location_only_control,logistic_regression,shortcut_control,val,0.43807,0.282091,0.337143,350
location_only_control,logistic_regression,shortcut_control,test,0.385925,0.251344,0.247059,340
location_only_control,knn,shortcut_control,train,1,1,1,1251
location_only_control,knn,shortcut_control,val,0.495908,0.495299,0.557143,350
location_only_control,knn,shortcut_control,test,0.384844,0.388124,0.526471,340
location_only_control,extra_trees,shortcut_control,train,0.952958,0.890392,0.907274,1251
location_only_control,extra_trees,shortcut_control,val,0.577543,0.557888,0.565714,350
location_only_control,extra_trees,shortcut_control,test,0.439435,0.421568,0.494118,340
size_only_control,logistic_regression,shortcut_control,train,0.612243,0.489827,0.503597,1251
size_only_control,logistic_regression,shortcut_control,val,0.510453,0.449947,0.451429,350
size_only_control,logistic_regression,shortcut_control,test,0.513863,0.3814,0.344118,340
size_only_control,knn,shortcut_control,train,0.997655,0.998063,0.997602,1251
size_only_control,knn,shortcut_control,val,0.467422,0.460616,0.491429,350
size_only_control,knn,shortcut_control,test,0.420937,0.446597,0.455882,340
size_only_control,extra_trees,shortcut_control,train,0.960842,0.910061,0.92486,1251
size_only_control,extra_trees,shortcut_control,val,0.498858,0.479135,0.502857,350
size_only_control,extra_trees,shortcut_control,test,0.481179,0.482113,0.464706,340
row_order_control,logistic_regression,shortcut_control,train,0.917875,0.839712,0.896083,1251
row_order_control,logistic_regression,shortcut_control,val,0.915069,0.802183,0.882857,350
row_order_control,logistic_regression,shortcut_control,test,0.848103,0.781113,0.879412,340
row_order_control,knn,shortcut_control,train,1,1,1,1251
row_order_control,knn,shortcut_control,val,0.995355,0.994721,0.994286,350
row_order_control,knn,shortcut_control,test,0.98836,0.988945,0.988235,340
row_order_control,extra_trees,shortcut_control,train,0.998436,0.995345,0.997602,1251
row_order_control,extra_trees,shortcut_control,val,0.991459,0.977817,0.988571,350
row_order_control,extra_trees,shortcut_control,test,0.981185,0.971446,0.982353,340
